hier	ADV	hier
,	PUN	,
vers	PRP	vers
18	NUM	@card@
h	ABR	heure
50	NUM	@card@
un	DET:ART	un
accident	NOM	accident
de	PRP	de
la	DET:ART	le
circulation	NOM	circulation
s'	PRO:PER	se
est	VER:pres	être
produit	VER:pper	produire
à	PRP	à
hauteur	NOM	hauteur
du	PRP:det	du
numéro	NOM	numéro
2	NUM	@card@
de	PRP	de
la	DET:ART	le
rue	NOM	rue
aristide-briand	ADJ	aristide-briand
,	PUN	,
à	PRP	à
epinal	NOM	epinal
.	SENT	.
nadine	ADJ	nadine
kaplan	NOM	kaplan
,	PUN	,
23	NUM	@card@
ans	NOM	an
,	PUN	,
demeurant	VER:ppre	demeurer
dans	PRP	dans
la	DET:ART	le
cité	NOM	cité
des	PRP:det	du
images	NOM	image
,	PUN	,
s'	PRO:PER	se
est	VER:pres	être
engagée	VER:pper	engager
pour	PRP	pour
traverser	VER:infi	traverser
la	DET:ART	le
chaussée	NOM	chaussée
dans	PRP	dans
le	DET:ART	le
sens	NOM	sen|sens
des	PRP:det	du
numéros	NOM	numéro
impairs-pairs	NOM	impairs-pairs
lorsqu'elle	ADJ	lorsqu'elle
a	VER:pres	avoir
été	VER:pper	être
heurtée	VER:pper	heurter
par	PRP	par
l'	DET:ART	le
avant	NOM	avant
gauche	ADJ	gauche
d'	PRP	de
un	DET:ART	un
véhicule	NOM	véhicule
arrivant	VER:ppre	arriver
à	PRP	à
sa	DET:POS	son
rencontre	NOM	rencontre
.	SENT	.
l'	DET:ART	le
enquête	NOM	enquête
tentera	VER:futu	tenter
d'	PRP	de
établir	VER:infi	établir
les	DET:ART	le
circonstances	NOM	circonstance
exactes	ADJ	exact
de	PRP	de
la	DET:ART	le
collision	NOM	collision
.	SENT	.
blessée	VER:pper	blesser
,	PUN	,
la	DET:ART	le
jeune	ADJ	jeune
femme	NOM	femme
a	VER:pres	avoir
été	VER:pper	être
transportée	VER:pper	transporter
au	PRP:det	au
centre	NOM	centre
hospitalier	ADJ	hospitalier
jean-monnet	NOM	jean-monnet
d'	PRP	de
epinal	NOM	epinal
par	PRP	par
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
.	SENT	.
les	DET:ART	le
policiers	NOM	policier
ont	VER:pres	avoir
procédé	VER:pper	procéder
aux	PRP:det	au
constatations	NOM	constatation
d'	PRP	de
usage	NOM	usage
.	SENT	.
