a	VER:pres	avoir
l'	DET:ART	le
initiative	NOM	initiative
du	PRP:det	du
ccas	NOM	ccas
,	PUN	,
les	DET:ART	le
personnes	NOM	personne
du	PRP:det	du
troisième	NUM	troisième
âge	NOM	âge
étaient	VER:impf	être
invitées	VER:pper	inviter
à	PRP	à
tirer	VER:infi	tirer
les	DET:ART	le
rois	NOM	roi
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
en	PRP	en
présence	NOM	présence
du	PRP:det	du
maire	NOM	maire
gilbert	NOM	gilbert
bansept	NOM	bansept
et	KON	et
de	PRP	de
son	DET:POS	son
épouse	NOM	épouse
.	SENT	.
les	PRO:PER	la|le
couronnés	VER:pper	couronner
de	PRP	de
la	DET:ART	le
fête	NOM	fête
:	PUN	:
cécile	NOM	cécile
vincent	NAM	Vincent
et	KON	et
françois	ADJ	françois
valance	NOM	valance
;	PUN	;
lucie	NOM	lucie
vacchaire	ADJ	vacchaire
et	KON	et
eugène	NOM	eugène
labourel	ADJ	labourel
.	SENT	.
