mme	VER:cond	mme
simone	ADJ	simone
cizel	NOM	cizel
de	PRP	de
besançon	NOM	besançon
,	PUN	,
nous	PRO:PER	nous
adresse	VER:pres	adresser
copie	NOM	copie
de	PRP	de
ce	PRO:DEM	ce
courrier	NOM	courrier
qu'	PRO:REL	que
elle	PRO:PER	elle
a	VER:pres	avoir
envoyé	VER:pper	envoyer
à	PRP	à
ginko	NOM	ginko
:	PUN	:
«	PUN:cit	«
j'	PRO:PER	je
ai	VER:pres	avoir
été	VER:pper	être
très	ADV	très
touchée	VER:pper	toucher
par	PRP	par
votre	DET:POS	votre
cadeau	NOM	cadeau
qui	PRO:REL	qui
m'	PRO:PER	me
a	VER:pres	avoir
beaucoup	ADV	beaucoup
surpris	VER:pper	surprendre
»,	ADJ	»,
dit-elle	NOM	dit-elle
,	PUN	,
«	PUN:cit	«
depuis	PRP	depuis
des	PRP:det	du
années	NOM	année
que	PRO:REL	que
je	PRO:PER	je
prends	VER:pres	prendre
le	DET:ART	le
bus	NOM	bus
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
première	NUM	premier
fois	NOM	foi|fois
.	SENT	.
j'	PRO:PER	je
avais	VER:impf	avoir
répondu	VER:pper	répondre
à	PRP	à
un	DET:ART	un
questionnaire	NOM	questionnaire
où	PRO:REL	où
j'	PRO:PER	je
ai	VER:pres	avoir
dit	VER:pper	dire
combien	ADV	combien
j'	PRO:PER	je
appréciais	VER:impf	apprécier
les	DET:ART	le
bus	NOM	bus
anti-pollution	NOM	anti-pollution
,	PUN	,
leurs	DET:POS	leur
circuits	NOM	circuit
,	PUN	,
ainsi	KON	ainsi
que	KON	que
leurs	DET:POS	leur
chauffeurs	NOM	chauffeur
très	ADV	très
sympas	VER:simp	sympas
.	SENT	.
j'	PRO:PER	je
avais	VER:impf	avoir
complètement	ADV	complètement
oublié	VER:pper	oublier
lorsque	KON	lorsque
,	PUN	,
ce	PRO:DEM	ce
matin	NOM	matin
,	PUN	,
j'	PRO:PER	je
ai	VER:pres	avoir
reçu	VER:pper	recevoir
personnellement	ADV	personnellement
des	PRP:det	du
renseignements	NOM	renseignement
publicitaires	ADJ	publicitaire
et	KON	et
une	DET:ART	un
semaine	NOM	semaine
gratuite	ADJ	gratuit
.	SENT	.
comme	KON	comme
quoi	PRO:REL	quoi
vous	PRO:PER	vous
êtes	VER:pres	être
soucieux	ADJ	soucieux
du	PRP:det	du
bien-être	NOM	bien-être
que	PRO:REL	que
vous	PRO:PER	vous
apportez	VER:pres	apporter
à	PRP	à
votre	DET:POS	votre
clientèle	NOM	clientèle
.	SENT	.
encore	ADV	encore
merci	NOM	merci
et	KON	et
continuez	VER:pres	continuer
!	SENT	!
»	PUN:cit	»
