«	PUN:cit	«
tout	PRO:IND	tout
bascule	VER:pres	basculer
»,	ADJ	»,
comédie	NOM	comédie
d'	PRP	de
olivier	NOM	olivier
lejeune	NOM	lejeune
,	PUN	,
se	PRO:PER	se
situe	VER:pres	situer
dans	PRP	dans
la	DET:ART	le
plus	ADV	plus
pure	ADJ	pur
tradition	NOM	tradition
du	PRP:det	du
théâtre	NOM	théâtre
de	PRP	de
boulevard	NOM	boulevard
:	PUN	:
amants	NOM	amant
,	PUN	,
maîtresses	NOM	maître|maîtresse
,	PUN	,
quiproquos	NOM	quiproquo
,	PUN	,
rebondissements	NOM	rebondissement
à	PRP	à
répétition	NOM	répétition
.	SENT	.
avec	PRP	avec
georges	ADJ	georges
beller	NOM	beller
,	PUN	,
julie	NOM	julie
arnold	NAM	arnold
,	PUN	,
olivier	NOM	olivier
lejeune	NOM	lejeune
,	PUN	,
hélène	NOM	hélène
rodier	NOM	rodier
.	SENT	.
qu'	KON	que
est-ce	ADJ	est-ce
qui	PRO:REL	qui
peut	VER:pres	pouvoir
bien	ADV	bien
pousser	VER:infi	pousser
un	DET:ART	un
homme	NOM	homme
à	PRP	à
divorcer	VER:infi	divorcer
deux	NUM	deux
heures	NOM	heure
après	PRP	après
s'	PRO:PER	se
être	VER:infi	être
marié	VER:pper	marier
?	SENT	?
jacques	NOM	jacque|jacques
lassegue	NOM	lassegue
,	PUN	,
publicitaire	ADJ	publicitaire
renommé	ADJ	renommé
et	KON	et
séducteur	ADJ	séducteur
impénitent	NOM	impénitent
,	PUN	,
s'	PRO:PER	se
est	VER:pres	être
enfin	ADV	enfin
résigné	VER:pper	résigner
à	PRP	à
officialiser	VER:infi	officialiser
ses	DET:POS	son
quatorze	NUM	quatorze
ans	NOM	an
de	PRP	de
vie	NOM	vie
comune	ADJ	comune
avec	PRP	avec
corinne	NOM	corinne
.	SENT	.
alors	ADV	alors
que	KON	que
la	DET:ART	le
noce	NOM	noce
se	PRO:PER	se
déroule	VER:pres	dérouler
dans	PRP	dans
une	DET:ART	un
auberge	NOM	auberge
à	PRP	à
quelques	PRO:IND	quelque
mètres	NOM	mètre
de	PRP	de
sa	DET:POS	son
maison	NOM	maison
,	PUN	,
il	PRO:PER	il
se	PRO:PER	se
réfugie	VER:pres	réfugier
chez	PRP	chez
lui	PRO:PER	lui
à	PRP	à
sa	DET:POS	son
sortie	NOM	sortie
de	PRP	de
l'	DET:ART	le
église	NOM	église
.	SENT	.
sa	DET:POS	son
s	NOM	s
	ADJ	
ur	VER:simp	ur
aînée	ADJ	aîné
,	PUN	,
lucie	NOM	lucie
,	PUN	,
gaffeuse	NOM	gaffeur
invétérée	ADJ	invétéré
,	PUN	,
lui	PRO:PER	lui
a	VER:pres	avoir
envoyé	VER:pper	envoyer
un	DET:ART	un
grain	NOM	grain
de	PRP	de
riz	NOM	riz
dans	PRP	dans
l'	NOM	l'
il	PRO:PER	il
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
grain	NOM	grain
qui	PRO:REL	qui
va	VER:pres	aller
enrayer	VER:infi	enrayer|enrayer
la	DET:ART	le
machine	NOM	machine
.	SENT	.
car	KON	car
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
là	ADV	là
,	PUN	,
tout	PRO:IND	tout
bacule	NOM	bacule
!	SENT	!
au	PRP:det	au
kursaal	NOM	kursaal
de	PRP	de
besançon	NOM	besançon
,	PUN	,
le	DET:ART	le
14	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
réservations	NOM	réservation
au	PRP:det	au
03.81	NUM	@card@
.	SENT	.
81.11	NUM	@card@
.	SENT	.
11	NUM	@card@
