chaque	PRO:IND	chaque
matin	NOM	matin
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
désormais	ADV	désormais
mme	ADJ	mme
benoiton	NOM	benoiton
,	PUN	,
de	PRP	de
lérouville	NOM	lérouville
,	PUN	,
qui	PRO:REL	qui
effectuera	VER:futu	effectuer
la	DET:ART	le
tournée	NOM	tournée
de	PRP	de
portage	NOM	portage
de	PRP	de
l'	DET:ART	le
est	NOM	est
républicain	ADJ	républicain
à	PRP	à
sampigny	NAM	sampigny
.	SENT	.
si	KON	si
d'	PRP	de
aventure	NOM	aventure
nos	DET:POS	notre
lecteurs	NOM	lecteur
n'	ADV	ne
avaient	VER:impf	avoir
pas	ADV	pas
leur	DET:POS	leur
journal	NOM	journal
dans	PRP	dans
leur	DET:POS	leur
boîte	NOM	boîte
à	PRP	à
lettres	NOM	lettre
,	PUN	,
ils	PRO:PER	il
peuvent	VER:pres	pouvoir
contacter	VER:infi	contacter
m.	VER:futu	m.
arnould	NOM	arnould
,	PUN	,
dépositaire	NOM	dépositaire
au	PRP:det	au
06	NUM	@card@
81	NUM	@card@
29	NUM	@card@
38	ABR	@card@
61	NUM	@card@
ou	KON	ou
au	PRP:det	au
03	NUM	@card@
29	NUM	@card@
91	NUM	@card@
18	ABR	@card@
65	NUM	@card@
