dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
de	PRP	de
l'	DET:ART	le
action	NOM	action
pour	PRP	pour
l'	DET:ART	le
enfance	NOM	enfance
et	KON	et
la	DET:ART	le
jeunesse	NOM	jeunesse
,	PUN	,
m.	ABR	m.
quéva	NOM	quéva
,	PUN	,
délégué	VER:pper	déléguer
à	PRP	à
la	DET:ART	le
fédération	NOM	fédération
des	PRP:det	du
francas	NOM	francas
de	PRP	de
meurthe	NOM	meurthe
et	KON	et
moselle	ADJ	moselle
,	PUN	,
et	KON	et
m.	VER:subi	m.
salin	ADJ	salin
,	PUN	,
représentant	VER:ppre	représenter
la	DET:ART	le
caisse	NOM	caisse
d'	PRP	de
allocations	NOM	allocation
familiales	ADJ	familial
ont	VER:pres	avoir
présenté	VER:pper	présenter
aux	PRP:det	au
élus	VER:pper	élire
le	DET:ART	le
projet	NOM	projet
de	PRP	de
«	PUN:cit	«
contrat	NOM	contrat
temps	NOM	temps
libre	ADJ	libre
»	PUN:cit	»
lors	ADV	lors
du	PRP:det	du
dernier	ADJ	dernier
conseil	NOM	conseil
municipal	ADJ	municipal
.	SENT	.
ce	PRO:DEM	ce
projet	NOM	projet
est	VER:pres	être
aussi	ADV	aussi
proposé	VER:pper	proposer
aux	PRP:det	au
communes	NOM	commune
associées	VER:pper	associer
de	PRP	de
bayon	NOM	bayon
et	KON	et
virecourt	NOM	virecourt
.	SENT	.
l'	DET:ART	le
objectif	NOM	objectif
retenu	VER:pper	retenir
serait	VER:cond	être
de	PRP	de
renforcer	VER:infi	renforcer
l'	DET:ART	le
accueil	NOM	accueil
des	PRP:det	du
jeunes	NOM	jeune
de	PRP	de
6	NUM	@card@
à	PRP	à
16	NUM	@card@
ans	NOM	an
.	SENT	.
certaines	PRO:IND	certain
activités	NOM	activité
complémentaires	ADJ	complémentaire
telles	PRO:DEM	tel
que	PRO:REL	que
le	DET:ART	le
clsh	NOM	clsh
(	PUN	(
centre	NOM	centre
de	PRP	de
loisirs	NOM	loisir
sans	PRP	sans
hébergement	NOM	hébergement
)	PUN	)
les	DET:ART	le
mercredis	NOM	mercredi
et	KON	et
pendant	PRP	pendant
les	DET:ART	le
petites	ADJ	petit
vacances	NOM	vacance
scolaires	ADJ	scolaire
,	PUN	,
stages	NOM	stage
multisports	ADJ	multisports
,	PUN	,
sorties	NOM	sortie
exceptionnelles	ADJ	exceptionnel
,	PUN	,
activités	NOM	activité
