c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
une	DET:ART	un
fierté	NOM	fierté
bien	ADV	bien
légitime	ADJ	légitime
que	KON	que
pierre	NOM	pierre
perrin	NOM	perrin
,	PUN	,
le	DET:ART	le
président	NOM	président
de	PRP	de
l'	DET:ART	le
amicale	ADJ	amical
rhin	NOM	rhin
et	KON	et
danube	ADJ	danube
,	PUN	,
a	VER:pres	avoir
annoncé	VER:pper	annoncer
samedi	NOM	samedi
que	KON	que
son	DET:POS	son
collègue	NOM	collègue
et	KON	et
ami	ADJ	ami
fernand	NOM	fernand
bohrer	ADJ	bohrer
se	PRO:PER	se
fera	VER:futu	faire
épingler	VER:infi	épingler
la	DET:ART	le
médaille	NOM	médaille
militaire	ADJ	militaire
le	DET:ART	le
8	NUM	@card@
mai	NOM	mai
prochain	ADJ	prochain
.	SENT	.
nos	DET:POS	notre
félicitations	NOM	félicitation
.	SENT	.
