c'	PRO:DEM	ce
est	VER:pres	être
en	PRP	en
présence	NOM	présence
d'	PRP	de
un	DET:ART	un
grand	ADJ	grand
nombre	NOM	nombre
d'	PRP	de
habitants	NOM	habitant
que	KON	que
le	DET:ART	le
maire	NOM	maire
a	VER:pres	avoir
formulé	VER:pper	formuler
ses	DET:POS	son
v	NOM	v
	ADJ	
ux	ADJ	ux
et	KON	et
a	VER:pres	avoir
fait	VER:pper	faire
part	NOM	part
de	PRP	de
ses	DET:POS	son
projets	NOM	projet
:	PUN	:
la	DET:ART	le
fin	NOM	fin
de	PRP	de
l'	DET:ART	le
assainissement	NOM	assainissement
,	PUN	,
la	DET:ART	le
réhabilitation	NOM	réhabilitation
de	PRP	de
certains	PRO:IND	certain
logements	NOM	logement
communaux	ADJ	communal
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
souhaité	VER:pper	souhaiter
que	KON	que
se	PRO:PER	se
continue	VER:pres	continuer
un	DET:ART	un
développement	NOM	développement
harmonieux	ADJ	harmonieux
dans	PRP	dans
le	DET:ART	le
village	NOM	village
,	PUN	,
sans	PRP	sans
oublier	VER:infi	oublier
les	DET:ART	le
projets	NOM	projet
intercommunaux	ADJ	intercommunal
avec	PRP	avec
le	DET:ART	le
ccpo	NOM	ccpo
.	SENT	.
