«	PUN:cit	«
réveillon	NOM	réveillon
à	PRP	à
la	DET:ART	le
montagne	NOM	montagne
»,	ADJ	»,
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
titre	NOM	titre
d'	PRP	de
une	DET:ART	un
comédie	NOM	comédie
en	PRP	en
trois	NUM	trois
actes	NOM	acte
d'	PRP	de
yves	NOM	yves
taburet	ADJ	taburet
que	KON	que
la	DET:ART	le
compagnie	NOM	compagnie
de	PRP	de
théâtre	NOM	théâtre
amateur	NOM	amateur
a.b	NOM	a.b
.	SENT	.
c.d	NOM	c.d
.	SENT	.
e.	ABR	e.
f	VER:futu	f
vient	VER:pres	venir
de	PRP	de
monter	VER:infi	monter
.	SENT	.
huit	NUM	huit
représentations	NOM	représentation
sont	VER:pres	être
programmées	VER:pper	programmer
.	SENT	.
la	DET:ART	le
première	NUM	premier
a	VER:pres	avoir
lieu	NOM	lieu
ce	PRO:DEM	ce
dimanche	NOM	dimanche
à	PRP	à
15	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
de	PRP	de
boujailles	NOM	boujailles
.	SENT	.
autres	ADJ	autre
dates	NOM	date
:	PUN	:
-	PUN	-
frasne	NOM	frasne
:	PUN	:
vendredi	NOM	vendredi
7	NUM	@card@
et	KON	et
samedi	NOM	samedi
8	NUM	@card@
février	NOM	février
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
d'	PRP	de
animation	NOM	animation
.	SENT	.
-	PUN	-
goux-les-usiers	NOM	goux-les-usiers
:	PUN	:
samedi	NOM	samedi
15	NUM	@card@
février	NOM	février
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
-	PUN	-
la	DET:ART	le
rivière	NOM	rivière
drugeon	NOM	drugeon
:	PUN	:
samedi	NOM	samedi
8	NUM	@card@
mars	NOM	mars
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
du	PRP:det	du
temps	NOM	temps
libre	ADJ	libre
.	SENT	.
