samedi	NOM	samedi
,	PUN	,
à	PRP	à
l'	DET:ART	le
occasion	NOM	occasion
du	PRP:det	du
vernissage	NOM	vernissage
de	PRP	de
l'	DET:ART	le
exposition	NOM	exposition
«	PUN:cit	«
vivre	VER:infi	vivre
en	PRP	en
ville-vivre	NOM	ville-vivre
sa	DET:POS	son
ville	NOM	ville
»,	ADJ	»,
françois	ADJ	françois
dosé	VER:pper	doser
annonçait	VER:impf	annoncer
à	PRP	à
ses	DET:POS	son
hôtes	NOM	hôte
que	KON	que
la	DET:ART	le
ville	NOM	ville
de	PRP	de
commercy	NOM	commercy
avait	VER:impf	avoir
rejoint	VER:pper	rejoindre
les	DET:ART	le
membres	NOM	membre
fondateurs	NOM	fondateur
d'	PRP	de
une	DET:ART	un
nouvelle	ADJ	nouveau
association	NOM	association
baptisée	VER:pper	baptiser
«	PUN:cit	«
lunéville	NAM	Lunéville
,	PUN	,
château	NOM	château
des	PRP:det	du
lumières	NOM	lumière
»	PUN:cit	»
créée	VER:pper	créer
à	PRP	à
la	DET:ART	le
suite	NOM	suite
de	PRP	de
l'	DET:ART	le
incendie	NOM	incendie
qui	PRO:REL	qui
a	VER:pres	avoir
ravagé	VER:pper	ravager
le	DET:ART	le
château	NOM	château
de	PRP	de
lunéville	NAM	Lunéville
,	PUN	,
cette	PRO:DEM	ce
association	NOM	association
s'	PRO:PER	se
est	VER:pres	être
donnée	VER:pper	donner
pour	PRP	pour
objectif	ADJ	objectif
de	PRP	de
rassembler	VER:infi	rassembler
et	KON	et
de	PRP	de
mobiliser	VER:infi	mobiliser
tous	PRO:IND	tout
ceux	PRO:DEM	celui
qui	PRO:REL	qui
souhaitent	VER:pres	souhaiter
participer	VER:infi	participer
à	PRP	à
la	DET:ART	le
promotion	NOM	promotion
du	PRP:det	du
projet	NOM	projet
de	PRP	de
reconstruction	NOM	reconstruction
et	KON	et
d'	PRP	de
animation	NOM	animation
culturelle	ADJ	culturel
et	KON	et
touristique	ADJ	touristique
du	PRP:det	du
château	NOM	château
de	PRP	de
lunéville	NAM	Lunéville
comme	KON	comme
de	PRP	de
la	DET:ART	le
restauration	NOM	restauration
des	PRP:det	du
collections	NOM	collection
de	PRP	de
son	DET:POS	son
musée	NOM	musée
.	SENT	.
avec	PRP	avec
le	DET:ART	le
conseil	NOM	conseil
général	ADJ	général
de	PRP	de
la	DET:ART	le
meurthe-et-moselle	NOM	meurthe-et-moselle
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
régional	ADJ	régional
de	PRP	de
lorraine	NOM	lorrain
,	PUN	,
la	DET:ART	le
codecom	NOM	codecom
du	PRP:det	du
lunévillois	ADJ	lunévillois
,	PUN	,
les	DET:ART	le
autres	ADJ	autre
villes	NOM	ville
«	PUN:cit	«
ducales	ADJ	ducal
»	PUN:cit	»
que	PRO:REL	que
sont	VER:pres	être
nancy	NOM	nancy
et	KON	et
lunéville	ADJ	lunéville
,	PUN	,
l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
,	PUN	,
le	DET:ART	le
républicain	NOM	républicain
lorrain	ADJ	lorrain
,	PUN	,
france	NOM	france
3	NUM	@card@
lorraine	NOM	lorrain
et	KON	et
france-bleue	NOM	france-bleue
sud-lorraine	ADJ	sud-lorraine
,	PUN	,
la	DET:ART	le
ville	NOM	ville
de	PRP	de
commercy	NOM	commercy
fait	VER:pres	faire
partie	VER:pper	partir
des	PRP:det	du
membres	NOM	membre
fondateurs	NOM	fondateur
de	PRP	de
l'	DET:ART	le
association	NOM	association
placée	VER:pper	placer
sous	PRP	sous
la	DET:ART	le
présidence	NOM	présidence
d'	PRP	de
honneur	NOM	honneur
de	PRP	de
sai	VER:simp	sai
l'	DET:ART	le
archiduc	NOM	archiduc
otto	NOM	otto
de	PRP	de
habsbourg-lorraine	NOM	habsbourg-lorraine
.	SENT	.
«	PUN:cit	«
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
entre	PRP	entre
nous	PRO:PER	nous
des	PRP:det	du
connivences	NOM	connivence
territoriales	ADJ	territorial
,	PUN	,
nous	PRO:PER	nous
sommes	VER:pres	sommer|être
deux	NUM	deux
villes	NOM	ville
lorraines	ADJ	lorrain
,	PUN	,
des	PRP:det	du
connivences	NOM	connivence
historiques	ADJ	historique
,	PUN	,
nous	PRO:PER	nous
avons	VER:pres	avoir
accueilli	VER:pper	accueillir
chez	PRP	chez
nous	PRO:PER	nous
elisabeth	ADJ	elisabeth
charlotte	NOM	charlotte
d'	PRP	de
orléans	NOM	orléans
et	KON	et
le	DET:ART	le
roi	NOM	roi
stanislas	NOM	stanislas
et	KON	et
nous	PRO:PER	nous
