«	PUN:cit	«
pelouse	NOM	pelouse
interdite	VER:pper	interdire
»,	ADJ	»,
peut-on	NOM	peut-on
lire	VER:infi	lire
sur	PRP	sur
cette	PRO:DEM	ce
pancarte	NOM	pancarte
givrée	ADJ	givré
qui	PRO:REL	qui
monte	VER:pres	monter
la	DET:ART	le
garde	NOM	garde
sur	PRP	sur
les	DET:ART	le
pelouses	NOM	pelouse
du	PRP:det	du
stade	NOM	stade
de	PRP	de
la	DET:ART	le
colombière	NOM	colombière
.	SENT	.
saupoudré	VER:pper	saupoudrer
de	PRP	de
neige	NOM	neige
verglacée	VER:pper	verglacer
,	PUN	,
difficile	ADJ	difficile
d'	PRP	de
apercevoir	VER:infi	apercevoir
un	DET:ART	un
brin	NOM	brin
de	PRP	de
gazon	NOM	gazon
.	SENT	.
mais	KON	mais
maudit	VER:pres	maudire
soit	KON	soit
celui	PRO:DEM	celui
qui	PRO:REL	qui
oserait	VER:cond	oser
s'	PRO:PER	se
y	PRO:PER	y
aventurer	VER:infi	aventurer
.	SENT	.
eté	VER:cond	eté
comme	ADV	comme
hiver	NOM	hiver
,	PUN	,
l'	DET:ART	le
herbe	NOM	herbe
de	PRP	de
la	DET:ART	le
colombière	NOM	colombière
se	PRO:PER	se
ménage	VER:pres	ménager
des	PRP:det	du
plages	NOM	plage
de	PRP	de
repos	NOM	repos
.	SENT	.
après	PRP	après
tant	ADV	tant
de	PRP	de
souffrances	NOM	souffrance
endurées	VER:pper	endurer
-	PUN	-
crampons	NOM	crampon
de	PRP	de
footballeurs	NOM	footballeur
,	PUN	,
pointes	VER:pper	poindre
d'	PRP	de
athlètes	NOM	athlète
,	PUN	,
marteaux	NOM	marteau
de	PRP	de
lanceurs	NOM	lanceur
...	PUN	...
-	PUN	-
la	DET:ART	le
pelouse	NOM	pelouse
profite	VER:pres	profiter
de	PRP	de
la	DET:ART	le
période	NOM	période
du	PRP:det	du
blanc	ADJ	blanc
pour	PRP	pour
se	PRO:PER	se
mettre	VER:infi	mettre
au	PRP:det	au
vert	NOM	vert
.	SENT	.
