ce	PRO:DEM	ce
magnifique	ADJ	magnifique
berger	NOM	berger
allemand	ADJ	allemand
est	VER:pres	être
un	DET:ART	un
mâle	NOM	mâle
de	PRP	de
6	NUM	@card@
ans	NOM	an
.	SENT	.
débordant	VER:ppre	déborder
d'	PRP	de
amour	NOM	amour
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
très	ADV	très
obéissant	VER:ppre	obéir
et	KON	et
un	DET:ART	un
peu	ADV	peu
vif	ADJ	vif
,	PUN	,
mais	KON	mais
qui	PRO:REL	qui
ne	ADV	ne
le	PRO:PER	le
serait	VER:cond	être
pas	ADV	pas
,	PUN	,
enfermé	VER:pper	enfermer
derrière	PRP	derrière
des	PRP:det	du
barreaux	NOM	barreau
?	SENT	?
il	PRO:PER	il
cherche	VER:pres	chercher
une	DET:ART	un
maison	NOM	maison
avec	PRP	avec
jardin	NOM	jardin
et	KON	et
maîtres	NOM	maître
aimants	ADJ	aimant
pour	PRP	pour
finir	VER:infi	finir
ses	DET:POS	son
jours	NOM	jour
heureux	ADJ	heureux
.	SENT	.
-	PUN	-
contact	NOM	contact
:	PUN	:
spa	VER:simp	spa
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
91.88	NUM	@card@
.	SENT	.
21	NUM	@card@
