sécurité	NOM	sécurité
sociale	ADJ	social
:	PUN	:
permanence	NOM	permanence
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
mairie	NOM	mairie
de	PRP	de
marnay	NOM	marnay
.	SENT	.
gym	NOM	gym
douce	ADJ	doux
:	PUN	:
avec	PRP	avec
emilie	NOM	emilie
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
corinne-gillier-barbe	NOM	corinne-gillier-barbe
.	SENT	.
peinture	NOM	peinture
sur	PRP	sur
soie	NOM	soie
:	PUN	:
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
corinne-gillier-barbe	NOM	corinne-gillier-barbe
.	SENT	.
baby-gym	NOM	baby-gym
:	PUN	:
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
de	PRP	de
16	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
corinne-gillier-barbe	NOM	corinne-gillier-barbe
.	SENT	.
