besançon	NOM	besançon
.	SENT	.
_	ADJ	_
sluc	NOM	sluc
nancy	NOM	nancy
(	PUN	(
2	NUM	@card@
)	PUN	)
bat	VER:pres	battre
plancher-bas	NOM	plancher-bas
11	NUM	@card@
-	PUN	-
9	NUM	@card@
les	DET:ART	le
sans-fautes	NOM	sans-fautes
des	PRP:det	du
nancéiens	NOM	nancéiens
galek	ADJ	galek
et	KON	et
meline	ADJ	meline
ont	VER:pres	avoir
été	VER:pper	être
décisifs	ADJ	décisif
.	SENT	.
les	DET:ART	le
résultats	NOM	résultat
:	PUN	:
les	DET:ART	le
simples	ADJ	simple
:	PUN	:
durand	NOM	durand
(	PUN	(
sluc	NOM	sluc
,	PUN	,
à	PRP	à
25	NUM	@card@
)	PUN	)
bat	VER:pres	battre
rokotozafy	NOM	rokotozafy
(	PUN	(
n	VER:simp	n
°	NOM	°
739	NUM	@card@
),	NOM	),
bat	VER:pres	battre
lombard	ADJ	lombard
(	PUN	(
à	PRP	à
30	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
2	NUM	@card@
battu	VER:pper	battre
par	PRP	par
miolin	NOM	miolin
(	PUN	(
à	PRP	à
25	NUM	@card@
)	PUN	)
2	NUM	@card@
-	PUN	-
3	NUM	@card@
galek	NOM	galek
(	PUN	(
sluc	NOM	sluc
,	PUN	,
n	VER:simp	n
°	NOM	°
452	NUM	@card@
)	PUN	)
bat	NOM	bat
lombard	ADJ	lombard
3	NUM	@card@
-	PUN	-
2	NUM	@card@
bat	NOM	bat
miolin	NOM	miolin
3	NUM	@card@
-	PUN	-
0	NUM	@card@
bat	NOM	bat
rakotozafy	NOM	rakotozafy
3	NUM	@card@
-	PUN	-
1	NUM	@card@
cochet	NOM	cochet
(	PUN	(
sluc	NOM	sluc
,	PUN	,
à	PRP	à
25	NUM	@card@
)	PUN	)
battu	VER:pper	battre
par	PRP	par
rakotozafy	NOM	rakotozafy
2	NUM	@card@
-	PUN	-
3	NUM	@card@
par	PRP	par
lombard	NOM	lombard
2	NUM	@card@
-	PUN	-
3	NUM	@card@
et	KON	et
par	PRP	par
miolin	NOM	miolin
0	NUM	@card@
-	PUN	-
3	NUM	@card@
méline	NOM	méline
(	PUN	(
sluc	NOM	sluc
,	PUN	,
à	PRP	à
25	NUM	@card@
)	PUN	)
bat	VER:pres	battre
piette	NOM	piette
(	PUN	(
à	PRP	à
35	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
0	NUM	@card@
bat	NOM	bat
laïly	ADJ	laïly
(	PUN	(
à	PRP	à
25	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
1	NUM	@card@
bat	NOM	bat
senn	ADJ	senn
(	PUN	(
à	PRP	à
35	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
0	NUM	@card@
les	DET:ART	le
doubles	NOM	double
:	PUN	:
miolin-rakotozafy	NOM	miolin-rakotozafy
battent	VER:pres	battre
durand-galek	NOM	durand-galek
3	NUM	@card@
-	PUN	-
1	NUM	@card@
;	PUN	;
frey-méline	NOM	frey-méline
battent	VER:pres	battre
senn-laïly	NOM	senn-laïly
3	NUM	@card@
-	PUN	-
2	NUM	@card@
