chaque	PRO:IND	chaque
matin	NOM	matin
,	PUN	,
les	DET:ART	le
cris	NOM	cri
des	PRP:det	du
enfants	NOM	enfant
des	PRP:det	du
écoles	NOM	école
et	KON	et
la	DET:ART	le
voix	NOM	voix
forte	ADJ	fort
d'	PRP	de
encouragement	NOM	encouragement
du	PRP:det	du
moniteur	NOM	moniteur
et	KON	et
des	PRP:det	du
enseignants	NOM	enseignant
réveillent	VER:pres	réveiller
la	DET:ART	le
place	NOM	place
de	PRP	de
la	DET:ART	le
république	NOM	république
.	SENT	.
les	DET:ART	le
bénévoles	ADJ	bénévole
sont	VER:pres	être
là	ADV	là
,	PUN	,
pas	ADV	pas
très	ADV	très
réchauffés	VER:pper	réchauffer
,	PUN	,
qui	PRO:REL	qui
s'	PRO:PER	se
affairent	VER:pres	affairer
en	PRP	en
fournissant	VER:ppre	fournir
le	DET:ART	le
matériel	NOM	matériel
aux	PRP:det	au
scolaires	ADJ	scolaire
.	SENT	.
ces	PRO:DEM	ce
enfants	NOM	enfant
viennent	VER:pres	venir
des	PRP:det	du
écoles	NOM	école
de	PRP	de
baume-les-dames	NOM	baume-les-dames
,	PUN	,
de	PRP	de
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
et	KON	et
même	ADV	même
de	PRP	de
plus	ADV	plus
loin	ADV	loin
.	SENT	.
inutile	ADJ	inutile
de	PRP	de
dire	VER:infi	dire
combien	ADV	combien
ils	PRO:PER	il
apprécient	VER:pres	apprécier
ce	PRO:DEM	ce
moment	NOM	moment
de	PRP	de
détente	NOM	détente
mais	KON	mais
également	ADV	également
l'	DET:ART	le
apprentissage	NOM	apprentissage
.	SENT	.
il	PRO:PER	il
faut	VER:pres	falloir
les	PRO:PER	la|le
avoir	VER:infi	avoir
vus	VER:pper	voir
patiner	VER:infi	patiner
le	DET:ART	le
premier	NUM	premier
jour	NOM	jour
,	PUN	,
se	PRO:PER	se
replaçant	VER:ppre	replacer
avec	PRP	avec
crainte	NOM	crainte
,	PUN	,
tombant	ADJ	tombant
.	SENT	.
les	DET:ART	le
progrès	NOM	progrès
d'	PRP	de
aujourd'hui	ADV	aujourd'hui
sont	VER:pres	être
spectaculaires	ADJ	spectaculaire
.	SENT	.
plus	ADV	plus
de	PRP	de
crainte	NOM	crainte
,	PUN	,
ils	PRO:PER	il
dominent	VER:pres	dominer
leur	DET:POS	leur
sujet	NOM	sujet
et	KON	et
font	VER:pres	faire
preuve	NOM	preuve
de	PRP	de
hardiesse	NOM	hardiesse
grâce	NOM	grâce
aux	PRP:det	au
jeux	NOM	jeu
et	KON	et
aux	PRP:det	au
courses	NOM	course
qui	PRO:REL	qui
sont	VER:pres	être
organisés	VER:pper	organiser
.	SENT	.
le	DET:ART	le
président	NOM	président
du	PRP:det	du
comité	NOM	comité
des	PRP:det	du
fêtes	NOM	fête
a	VER:pres	avoir
déjà	ADV	déjà
exprimé	VER:pper	exprimer
sa	DET:POS	son
satisfaction	NOM	satisfaction
suite	NOM	suite
à	PRP	à
l'	DET:ART	le
intérêt	NOM	intérêt
que	KON	que
les	DET:ART	le
baumois	NOM	baumois
ont	VER:pres	avoir
montré	VER:pper	montrer
jusqu'à	NOM	jusqu'à
ce	PRO:DEM	ce
jour	NOM	jour
pour	PRP	pour
la	DET:ART	le
patinoire	NOM	patinoire
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
bon	ADJ	bon
de	PRP	de
rappeler	VER:infi	rappeler
qu'	KON	que
elle	PRO:PER	elle
restera	VER:futu	rester
en	PRP	en
place	NOM	place
jusqu'au	NOM	jusqu'au
2	NUM	@card@
février	NOM	février
.	SENT	.
les	DET:ART	le
horaires	NOM	horaire
sont	VER:pres	être
les	DET:ART	le
suivants	NOM	suivant
hors	PRP	hors
vacances	NOM	vacance
scolaires	ADJ	scolaire
:	PUN	:
mercredi	NOM	mercredi
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
15	NUM	@card@
;	PUN	;
vendredi	NOM	vendredi
,	PUN	,
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
22	NUM	@card@
h	ABR	heure
45	NUM	@card@
;	PUN	;
samedi	NOM	samedi
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
22	NUM	@card@
h	ABR	heure
45	NUM	@card@
;	PUN	;
dimanche	NOM	dimanche
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
15	NUM	@card@
tarifs	NOM	tarif
:	PUN	:
4	NUM	@card@
	NOM	
pour	PRP	pour
les	DET:ART	le
enfants	NOM	enfant
;	PUN	;
5	NUM	@card@
	NOM	
pour	PRP	pour
les	DET:ART	le
adultes	NOM	adulte
.	SENT	.
carnet	NOM	carnet
de	PRP	de
10	NUM	@card@
au	PRP:det	au
prix	NOM	prix
de	PRP	de
9	NUM	@card@
.	ABR	.
