l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
chantal	ADJ	chantal
schneider	NOM	schneider
à	PRP	à
nicey	NOM	nicey
,	PUN	,
tél/fax	NOM	tél/fax
03.29	NUM	@card@
.	SENT	.
75.03	NUM	@card@
.	SENT	.
20	NUM	@card@
mairie	NOM	mairie
:	PUN	:
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
;	PUN	;
03.29	NUM	@card@
.	SENT	.
75.03	NUM	@card@
.	SENT	.
76	NUM	@card@
fax	NOM	fax
03.29	NUM	@card@
.	SENT	.
75.00	NUM	@card@
.	SENT	.
86	NUM	@card@
codecom	NOM	codecom
:	PUN	:
8	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
75.06	NUM	@card@
.	SENT	.
22	NUM	@card@
communes	NOM	commune
forestières	ADJ	forestier
:	PUN	:
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
75.05	NUM	@card@
.	SENT	.
25	NUM	@card@
multimédia	ADJ	multimédia
:	PUN	:
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
www	NOM	www
.	SENT	.
cc	NOM	cc
.	SENT	.
entreaireetmeuse	NOM	entreaireetmeuse
.	SENT	.
fr	NOM	fr
football	NOM	football
:	PUN	:
entraînement	NOM	entraînement
adultes	ADJ	adulte
au	PRP:det	au
stade	NOM	stade
à	PRP	à
18	NUM	@card@
h	ABR	heure
45	NUM	@card@
judo	NOM	judo
:	PUN	:
19	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
(	PUN	(
ados	NOM	ado|ados
)	PUN	)
et	KON	et
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
21	NUM	@card@
h	ABR	heure
15	NUM	@card@
(	PUN	(
adultes	ADJ	adulte
)	PUN	)
en	PRP	en
mairie	NOM	mairie
.	SENT	.
danse	NOM	danse
country	NOM	country
:	PUN	:
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
21	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
foyer	NOM	foyer
de	PRP	de
longchamps-sur-aire	NOM	longchamps-sur-aire
.	SENT	.
musique	NOM	musique
:	PUN	:
groupe	NOM	groupe
vocal	ADJ	vocal
,	PUN	,
répétition	NOM	répétition
de	PRP	de
21	NUM	@card@
h	ABR	heure
à	PRP	à
22	NUM	@card@
h	ABR	heure
30	NUM	@card@
en	PRP	en
mairie	NOM	mairie
.	SENT	.
