il	PRO:PER	il
faut	VER:pres	falloir
noter	VER:infi	noter
que	KON	que
par	PRP	par
arrêté	NOM	arrêté
préfectoral	ADJ	préfectoral
,	PUN	,
des	PRP:det	du
géomètres	NOM	géomètre
et	KON	et
photographes	NOM	photographe
qui	PRO:REL	qui
travaillent	VER:pres	travailler
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
de	PRP	de
la	DET:ART	le
mission	NOM	mission
tgv	NOM	tgv
,	PUN	,
sont	VER:pres	être
autorisés	VER:pper	autoriser
à	PRP	à
pénétrer	VER:infi	pénétrer
dans	PRP	dans
des	PRP:det	du
propriétés	NOM	propriété
privées	VER:pper	priver
pour	PRP	pour
l'	DET:ART	le
exercice	NOM	exercice
de	PRP	de
leur	DET:POS	leur
fonction	NOM	fonction
.	SENT	.
