correspondants	ADJ	correspondant
:	PUN	:
véronique	NOM	véronique
millet	NOM	millet
,	PUN	,
tél	ABR	téléphone
.	SENT	.
06.62	NUM	@card@
.	SENT	.
12.52	NUM	@card@
.	SENT	.
91	NUM	@card@
ou	KON	ou
paula	VER:simp	paula
serra	NOM	serra
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
30.01	NUM	@card@
.	SENT	.
34	NUM	@card@
mairie	NOM	mairie
et	KON	et
police	NOM	police
municipale	ADJ	municipal
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
32.30	NUM	@card@
.	SENT	.
00	NUM	@card@
police	NOM	police
nationale	ADJ	national
:	PUN	:
centre	NOM	centre
meurthe-canal	ADJ	meurthe-canal
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
35.43	NUM	@card@
.	SENT	.
72	NUM	@card@
;	PUN	;
aux	PRP:det	au
aulnes	NOM	aulne
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
98.57	NUM	@card@
.	SENT	.
77	NUM	@card@
service	NOM	service
de	PRP	de
l'	DET:ART	le
environnement	NOM	environnement
et	KON	et
de	PRP	de
l'	DET:ART	le
urbanisme	NOM	urbanisme
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
32.30	NUM	@card@
.	SENT	.
00	NUM	@card@
service	NOM	service
jeunesse	NOM	jeunesse
animation	NOM	animation
sports	NOM	sport
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
37.01	NUM	@card@
.	SENT	.
67	NUM	@card@
pôle	NOM	pôle
emploi	NOM	emploi
du	PRP:det	du
centre	NOM	centre
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
32.30	NUM	@card@
.	SENT	.
00	NUM	@card@
halte-garderie	NOM	halte-garderie
:	PUN	:
pumuckl	NOM	pumuckl
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
37.95	NUM	@card@
.	SENT	.
41	NUM	@card@
