m.	ABR	m.
michel	NOM	michel
gardeux	NOM	gardeux
13	NUM	@card@
rue	NOM	rue
des	PRP:det	du
pinsons	NOM	pinson
54110	NUM	@card@
dombasle	NOM	dombasle
.	SENT	.
l'	DET:ART	le
hécatombe	NOM	hécatombe
ne	ADV	ne
semble	VER:pres	sembler
évidente	ADJ	évident
que	KON	que
dans	PRP	dans
les	DET:ART	le
statistiques	NOM	statistique
,	PUN	,
pas	ADV	pas
dans	PRP	dans
l'	DET:ART	le
esprit	NOM	esprit
des	PRP:det	du
gens	NOM	gens
.	SENT	.
notre	DET:POS	notre
inconscience	NOM	inconscience
que	PRO:REL	que
multiplie	VER:pres	multiplier
notre	DET:POS	notre
suffisance	NOM	suffisance
,	PUN	,
devrait	VER:cond	devoir
nous	PRO:PER	nous
faire	VER:infi	faire
frémir	VER:infi	frémir
.	SENT	.
chacun	PRO:IND	chacun
de	PRP	de
nous	PRO:PER	nous
sait	VER:pres	savoir
conduire	VER:infi	conduire
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
l'	DET:ART	le
évidence	NOM	évidence
,	PUN	,
chacun	PRO:IND	chacun
de	PRP	de
nous	PRO:PER	nous
est	VER:pres	être
le	DET:ART	le
meilleur	ADJ	meilleur
,	PUN	,
il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
doutes	NOM	doute
,	PUN	,
n'	ADV	ne
est-ce	ADJ	est-ce
pas	ADV	pas
?	SENT	?
vous	PRO:PER	vous
comme	ADV	comme
moi	PRO:PER	moi
...	PUN	...
nous	PRO:PER	nous
avons	VER:pres	avoir
besoin	NOM	besoin
d'	PRP	de
une	DET:ART	un
bonne	ADJ	bon
pincée	NOM	pincée
d'	PRP	de
humilité	NOM	humilité
!	SENT	!
l'	DET:ART	le
image	NOM	image
du	PRP:det	du
but	NOM	but
à	PRP	à
atteindre	VER:infi	atteindre
occulte	VER:pres	occulter
la	DET:ART	le
place	NOM	place
du	PRP:det	du
compteur	NOM	compteur
quand	KON	quand
nous	PRO:PER	nous
sommes	VER:pres	sommer|être
dans	PRP	dans
la	DET:ART	le
voiture	NOM	voiture
.	SENT	.
la	DET:ART	le
critique	NOM	critique
est	VER:pres	être
tellement	ADV	tellement
facile	ADJ	facile
envers	PRP	envers
les	DET:ART	le
autres	ADJ	autre
,	PUN	,
mais	KON	mais
ce	PRO:DEM	ce
qui	PRO:REL	qui
est	VER:pres	être
sûr	ADJ	sûr
c'	PRO:DEM	ce
est	VER:pres	être
qu'	KON	que
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
les	DET:ART	le
bons	NOM	bon
conducteurs	ADJ	conducteur
,	PUN	,
les	DET:ART	le
moins	ADV	moins
bons	ADJ	bon
et	KON	et
une	DET:ART	un
multitude	NOM	multitude
de	PRP	de
classements	NOM	classement
suivant	VER:ppre	suivre
le	DET:ART	le
jugement	NOM	jugement
de	PRP	de
chacun	PRO:IND	chacun
!	SENT	!
qu'	KON	que
on	PRO:PER	on
le	PRO:PER	le
veuille	VER:subp	vouloir
ou	KON	ou
pas	ADV	pas
,	PUN	,
dès	PRP	dès
que	KON	que
nous	PRO:PER	nous
montons	VER:pres	monter
dans	PRP	dans
notre	DET:POS	notre
véhicule	NOM	véhicule
les	DET:ART	le
dés	NOM	dé
sont	VER:pres	être
jetés	VER:pper	jeter
,	PUN	,
le	DET:ART	le
télescopage	NOM	télescopage
est	VER:pres	être
programmé	VER:pper	programmer
si	KON	si
les	DET:ART	le
critères	NOM	critère
du	PRP:det	du
destin	NOM	destin
sont	VER:pres	être
réunis	VER:pper	réunir
.	SENT	.
bien	ADV	bien
heureusement	ADV	heureusement
,	PUN	,
nous	PRO:PER	nous
arrivons	VER:pres	arriver
à	PRP	à
bon	ADJ	bon
port	NOM	port
pour	KON	pour
beaucoup	ADV	beaucoup
,	PUN	,
mais	KON	mais
les	DET:ART	le
milliers	NOM	millier
de	PRP	de
morts	NOM	mort
sont	VER:pres	être
bien	ADV	bien
réels	ADJ	réel
.	SENT	.
la	DET:ART	le
route	NOM	route
ne	ADV	ne
tue	VER:subp	tuer
pas	ADV	pas
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
nous	PRO:PER	nous
qui	PRO:REL	qui
commettons	VER:pres	commettre
l'	DET:ART	le
acte	NOM	acte
,	PUN	,
fabriquons	VER:pres	fabriquer
les	DET:ART	le
obstacles	NOM	obstacle
.	SENT	.
alors	ADV	alors
programmons	VER:pres	programmer
une	DET:ART	un
ba	NOM	ba
,	PUN	,
