ce	PRO:DEM	ce
soir	NOM	soir
vendredi	NOM	vendredi
,	PUN	,
au	PRP:det	au
théâtre	NOM	théâtre
de	PRP	de
poche	NOM	poche
à	PRP	à
delle	NOM	delle
,	PUN	,
delle	NOM	delle
animation	NOM	animation
vous	PRO:PER	vous
propose	VER:pres	proposer
une	DET:ART	un
conférence	NOM	conférence
filmée	VER:pper	filmer
sur	PRP	sur
la	DET:ART	le
scandinavie	NOM	scandinavie
.	SENT	.
vous	PRO:PER	vous
pourrez	VER:futu	pouvoir
découvrir	VER:infi	découvrir
les	DET:ART	le
pays	NOM	pays
vickings	ADJ	vickings
,	PUN	,
copenhague	NAM	Copenhague
et	KON	et
l'	PRO:PER	la|le
exubérant	VER:ppre	exubérer
été	VER:pper	être
nordique	ADJ	nordique
,	PUN	,
la	DET:ART	le
suède	NOM	suède
avec	PRP	avec
ses	DET:POS	son
lacs	NOM	lac|lacs
et	KON	et
forêts	NOM	forêt
,	PUN	,
stockholm	NOM	stockholm
et	KON	et
le	DET:ART	le
gota	NOM	gota
kanal	ADJ	kanal
et	KON	et
la	DET:ART	le
vasaloppett	NOM	vasaloppett
,	PUN	,
la	DET:ART	le
norvège	NOM	norvège
insolite	ADJ	insolite
avec	PRP	avec
son	DET:POS	son
train	NOM	train
des	PRP:det	du
neiges	NOM	neige
,	PUN	,
son	DET:POS	son
soleil	NOM	soleil
de	PRP	de
minuit	NOM	minuit
,	PUN	,
bergen	NOM	bergen
et	KON	et
le	DET:ART	le
mystère	NOM	mystère
des	PRP:det	du
églises	NOM	église
en	PRO:PER	en
boit	VER:pres	boire
debout	ADV	debout
et	KON	et
enfin	ADV	enfin
la	DET:ART	le
laponie	NOM	laponie
,	PUN	,
le	DET:ART	le
pays	NOM	pays
des	PRP:det	du
rennes	NOM	renne
et	KON	et
du	PRP:det	du
père	NOM	père
noël	NOM	noël
.	SENT	.
«	PUN:cit	«
des	PRP:det	du
pays	NOM	pays
où	PRO:REL	où
l'	DET:ART	le
éclat	NOM	éclat
du	PRP:det	du
paradis	NOM	paradis
alterne	ADJ	alterne
avec	PRP	avec
la	DET:ART	le
nuit	NOM	nuit
menaçante	ADJ	menaçant
et	KON	et
profonde	ADJ	profond
»	PUN:cit	»
ainsi	ADV	ainsi
parlait	VER:impf	parler
goethe	ADJ	goethe
de	PRP	de
la	DET:ART	le
scandinavie	NOM	scandinavie
.	SENT	.
aujourd'hui	ADV	aujourd'hui
,	PUN	,
la	DET:ART	le
nuit	NOM	nuit
est	VER:pres	être
toujours	ADV	toujours
menaçante	ADJ	menaçant
