«	PUN:cit	«
si	KON	si
cette	PRO:DEM	ce
réunion	NOM	réunion
est	VER:pres	être
pour	PRP	pour
moi	PRO:PER	moi
une	DET:ART	un
première	NUM	premier
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
également	ADV	également
une	DET:ART	un
première	NUM	premier
pour	PRP	pour
les	DET:ART	le
communes	NOM	commune
.	SENT	.
je	PRO:PER	je
vous	PRO:PER	vous
présente	VER:pres	présenter
à	PRP	à
toutes	PRO:IND	tout
et	KON	et
à	PRP	à
tous	PRO:IND	tout
et	KON	et
au	PRP:det	au
nom	NOM	nom
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
communale	ADJ	communal
mes	DET:POS	mon
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
pour	PRP	pour
l'	DET:ART	le
année	NOM	année
nouvelle	ADJ	nouveau
»,	NOM	»,
débutait	VER:impf	débuter
m.	VER:pper	m.
carly	NOM	carly
,	PUN	,
maire	NOM	maire
du	PRP:det	du
village	NOM	village
.	SENT	.
si	KON	si
la	DET:ART	le
municipalité	NOM	municipalité
avait	VER:impf	avoir
le	DET:ART	le
plaisir	NOM	plaisir
d'	PRP	de
accueillir	VER:infi	accueillir
non	ADV	non
seulement	ADV	seulement
les	DET:ART	le
représentants	NOM	représentant
cantonaux	ADJ	cantonal
et	KON	et
les	DET:ART	le
institutions	NOM	institution
nationales	ADJ	national
et	KON	et
départementales	ADJ	départemental
,	PUN	,
m.	ABR	m.
carly	NOM	carly
souhaitait	VER:impf	souhaiter
la	DET:ART	le
bienvenue	NOM	bienvenu|bienvenue
aux	PRP:det	au
nouveaux	ADJ	nouveau
habitants	NOM	habitant
au	PRP:det	au
nombre	NOM	nombre
de	PRP	de
7	NUM	@card@
a	VER:pres	avoir
l'	DET:ART	le
occasion	NOM	occasion
de	PRP	de
cette	PRO:DEM	ce
réunion	NOM	réunion
,	PUN	,
m.	ABR	m.
bazard	NOM	bazard
,	PUN	,
conseiller	NOM	conseiller
général	ADJ	général
avait	VER:impf	avoir
le	DET:ART	le
plaisir	NOM	plaisir
de	PRP	de
remettre	VER:infi	remettre
la	DET:ART	le
médaille	NOM	médaille
d'	PRP	de
honneur	NOM	honneur
régionale	ADJ	régional
départementale	ADJ	départemental
et	KON	et
communale	ADJ	communal
à	PRP	à
michel	ADJ	michel
canton	NOM	canton
pour	PRP	pour
32	NUM	@card@
années	NOM	année
passées	VER:pper	passer
au	PRP:det	au
sein	NOM	sein
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
et	KON	et
à	PRP	à
yvan	ADJ	yvan
carly	NOM	carly
pour	PRP	pour
30	NUM	@card@
années	NOM	année
d'	PRP	de
activité	NOM	activité
.	SENT	.
