hier	ADV	hier
,	PUN	,
vers	PRP	vers
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
un	DET:ART	un
semi-remorque	NOM	semi-remorque
des	PRP:det	du
transports	NOM	transport
michel	ADJ	michel
a	VER:pres	avoir
perdu	VER:pper	perdre
son	DET:POS	son
chargement	NOM	chargement
de	PRP	de
fermettes	NOM	fermette
sur	PRP	sur
la	DET:ART	le
rn	NOM	rn
411	NUM	@card@
au	PRP:det	au
lieu-dit	NOM	lieu-dit
«	PUN:cit	«
pont	NOM	pont
de	PRP	de
jaillon	NOM	jaillon
»	PUN:cit	»
provoquant	VER:ppre	provoquer
un	DET:ART	un
ralentissement	NOM	ralentissement
dans	PRP	dans
la	DET:ART	le
montée	NOM	montée
de	PRP	de
jaillon	NOM	jaillon
.	SENT	.
