mme	VER:cond	mme
christine	ADJ	christine
bouquin	NOM	bouquin
,	PUN	,
maire	NOM	maire
de	PRP	de
charquemont	VER:futu	charquemont
,	PUN	,
a	VER:pres	avoir
présenté	VER:pper	présenter
ses	DET:POS	son
v	NOM	v
	ADJ	
ux	ADJ	ux
aux	PRP:det	au
associations	NOM	association
,	PUN	,
au	PRP:det	au
personnel	NOM	personnel
communal	ADJ	communal
,	PUN	,
aux	PRP:det	au
conseillers	NOM	conseiller
municipaux	ADJ	municipal
et	KON	et
aux	PRP:det	au
sapeurs-pompiers	NOM	sapeurs-pompiers
lors	ADV	lors
d'	PRP	de
une	DET:ART	un
sympathique	ADJ	sympathique
cérémonie	NOM	cérémonie
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
laquelle	PRO:REL	lequel
furent	VER:simp	être
également	ADV	également
remises	VER:pper	remettre
deux	NUM	deux
médailles	NOM	médaille
.	SENT	.
signe	NOM	signe
de	PRP	de
la	DET:ART	le
jeunesse	NOM	jeunesse
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
des	PRP:det	du
jeunes	NOM	jeune
sera	VER:futu	être
mis	VER:pper	mettre
en	PRP	en
place	NOM	place
dès	PRP	dès
fin	ADJ	fin
janvier	NOM	janvier
.	SENT	.
une	DET:ART	un
structure	NOM	structure
périscolaire	ADJ	périscolaire
a	VER:pres	avoir
débuté	VER:pper	débuter
cette	PRO:DEM	ce
semaine	NOM	semaine
.	SENT	.
la	DET:ART	le
nouvelle	ADJ	nouveau
maternelle	ADJ	maternel
sera	VER:futu	être
construite	VER:pper	construire
.	SENT	.
les	DET:ART	le
travaux	NOM	travail
d'	PRP	de
assainissement	NOM	assainissement
sont	VER:pres	être
également	ADV	également
au	PRP:det	au
programme	NOM	programme
avec	PRP	avec
la	DET:ART	le
construction	NOM	construction
d'	PRP	de
une	DET:ART	un
nouvelle	ADJ	nouveau
station	NOM	station
d'	PRP	de
épuration	NOM	épuration
fin	NOM	fin
2003	NUM	@card@
le	DET:ART	le
lotissement	NOM	lotissement
de	PRP	de
22	NUM	@card@
lots	NOM	lot
,	PUN	,
situé	VER:pper	situer
près	ADV	près
de	PRP	de
la	DET:ART	le
fromagerie	NOM	fromagerie
,	PUN	,
se	PRO:PER	se
met	VER:pres	mettre
en	PRP	en
place	NOM	place
.	SENT	.
les	DET:ART	le
anciens	ADJ	ancien
locaux	NOM	local
de	PRP	de
l'	DET:ART	le
entreprise	NOM	entreprise
fresard	NOM	fresard
composants	ADJ	composant
du	PRP:det	du
2	NUM	@card@
rue	NOM	rue
cuvier	NOM	cuvier
seront	VER:futu	être
aménagés	VER:pper	aménager
en	PRP	en
une	DET:ART	un
vingtaine	NOM	vingtaine
de	PRP	de
logements	NOM	logement
.	SENT	.
evénement	NOM	evénement
de	PRP	de
l'	DET:ART	le
année	NOM	année
,	PUN	,
les	DET:ART	le
yacks	NOM	yack
of	VER:futu	of
the	VER:pper	the
road	NOM	road
,	PUN	,
association	NOM	association
locale	ADJ	local
,	PUN	,
font	VER:pres	faire
venir	VER:infi	venir
soldat	NOM	soldat
louis	NOM	louis
le	DET:ART	le
dernier	ADJ	dernier
week-end	NOM	week-end
de	PRP	de
juin	NOM	juin
.	SENT	.
le	DET:ART	le
maire	NOM	maire
a	VER:pres	avoir
parlé	VER:pper	parler
solidarité	NOM	solidarité
et	KON	et
lutte	NOM	lutte
contre	PRP	contre
l'	DET:ART	le
indifférence	NOM	indifférence
avant	PRP	avant
de	PRP	de
remettre	VER:infi	remettre
deux	NUM	deux
médailles	NOM	médaille
d'	PRP	de
honneur	NOM	honneur
départementale	ADJ	départemental
au	PRP:det	au
caporal-chef	NOM	caporal-chef
christian	ADJ	christian
nappez	VER:pres	napper
,	PUN	,
employé	VER:pper	employer
municipal	ADJ	municipal
pour	PRP	pour
vingt	NUM	vingt
ans	NOM	an
de	PRP	de
service	NOM	service
au	PRP:det	au
sein	NOM	sein
du	PRP:det	du
corps	NOM	corps
des	PRP:det	du
sapeurs-pompiers	NOM	sapeurs-pompiers
,	PUN	,
ainsi	KON	ainsi
qu'	KON	que
à	PRP	à
l'	DET:ART	le
adjudant-chef	NOM	adjudant-chef
et	KON	et
chef	NOM	chef
de	PRP	de
corps	NOM	corps
jean-luc	NOM	jean-luc
sandoz	NOM	sandoz
pour	PRP	pour
vingt	NUM	vingt
ans	NOM	an
de	PRP	de
service	NOM	service
.	SENT	.
m.	ABR	m.
sandoz	NOM	sandoz
est	VER:pres	être
également	ADV	également
conseiller	VER:infi	conseiller
municipal	ADJ	municipal
.	SENT	.
