ce	PRO:DEM	ce
samedi	NOM	samedi
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
20	NUM	@card@
h	ABR	heure
,	PUN	,
dans	PRP	dans
les	DET:ART	le
locaux	NOM	local
de	PRP	de
la	DET:ART	le
jonchère	NOM	jonchère
à	PRP	à
colombier	NOM	colombier
,	PUN	,
l'	DET:ART	le
association	NOM	association
«	PUN:cit	«
imperio	NOM	imperio
»	PUN:cit	»
de	PRP	de
montcey	NOM	montcey
organise	VER:pres	organiser
son	DET:POS	son
premier	NUM	premier
loto	NOM	loto
.	SENT	.
début	NOM	début
du	PRP:det	du
jeu	NOM	jeu
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
nombreux	ADJ	nombreux
lots	NOM	lot
.	SENT	.
buffet	NOM	buffet
,	PUN	,
buvette	NOM	buvette
.	SENT	.
