tous	PRO:IND	tout
les	DET:ART	le
matchs	NOM	match
programmés	VER:pper	programmer
ce	PRO:DEM	ce
week-end	NOM	week-end
sont	VER:pres	être
reportés	VER:pper	reporter
.	SENT	.
seuls	ADJ	seul
les	DET:ART	le
débutants	ADJ	débutant
ont	VER:pres	avoir
rendez-vous	NOM	rendez-vous
aujourd'hui	ADV	aujourd'hui
à	PRP	à
darney	NOM	darney
où	PRO:REL	où
ils	PRO:PER	il
participent	VER:pres	participer
à	PRP	à
un	DET:ART	un
plateau	NOM	plateau
.	SENT	.
le	DET:ART	le
tournoi	NOM	tournoi
vétérans	NOM	vétéran
,	PUN	,
lui	PRO:PER	lui
,	PUN	,
programmé	VER:pper	programmer
aujourd'hui	ADV	aujourd'hui
à	PRP	à
partir	VER:infi	partir
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
cpo	NOM	cpo
,	PUN	,
aura	VER:futu	avoir
bien	ADV	bien
lieu	NOM	lieu
.	SENT	.
la	DET:ART	le
huitième	ADJ	huitième
édition	NOM	édition
du	PRP:det	du
challenge	NOM	challenge
yves	VER:subp	yves
fioravanti	NOM	fioravanti
,	PUN	,
tournoi	NOM	tournoi
de	PRP	de
football	NOM	football
à	PRP	à
cinq	NUM	cinq
en	PRP	en
salle	NOM	salle
,	PUN	,
verra	VER:futu	voir
aux	PRP:det	au
prises	VER:pper	prendre
24	NUM	@card@
équipes	NOM	équipe
et	KON	et
l'	PRO:PER	la|le
on	PRO:PER	on
saura	VER:futu	savoir
sur	PRP	sur
les	DET:ART	le
coups	NOM	coup
de	PRP	de
22	NUM	@card@
h	ABR	heure
qui	PRO:REL	qui
sera	VER:futu	être
le	DET:ART	le
successeur	NOM	successeur
de	PRP	de
novéant	VER:ppre	novéant
.	SENT	.
le	DET:ART	le
déplacement	NOM	déplacement
au	PRP:det	au
cpo	NOM	cpo
vaudra	VER:futu	valoir
d'	PRP	de
être	VER:infi	être
fait	VER:pper	faire
car	KON	car
nombreuses	ADJ	nombreux
sont	VER:pres	être
les	DET:ART	le
équipes	NOM	équipe
de	PRP	de
qualité	NOM	qualité
.	SENT	.
basket-ball	NOM	basket-ball
:	PUN	:
un	DET:ART	un
seul	ADJ	seul
match	NOM	match
est	VER:pres	être
prévu	VER:pper	prévoir
pour	PRP	pour
la	DET:ART	le
srv	NOM	srv
ce	PRO:DEM	ce
week-end	NOM	week-end
.	SENT	.
il	PRO:PER	il
s'	PRO:PER	se
agit	VER:pres	agir
de	PRP	de
celui	PRO:DEM	celui
que	PRO:REL	que
livreront	VER:futu	livrer
les	DET:ART	le
hommes	NOM	homme
de	PRP	de
thierry	NOM	thierry
dillmann	NOM	dillmann
à	PRP	à
saint-nicolas-fléville	NOM	saint-nicolas-fléville
,	PUN	,
équipe	NOM	équipe
du	PRP:det	du
milieu	NOM	milieu
de	PRP	de
tableau	NOM	tableau
que	KON	que
les	DET:ART	le
vittellois	NOM	vittellois
avaient	VER:impf	avoir
battue	VER:pper	battre
à	PRP	à
l'	DET:ART	le
aller	NOM	aller
(	PUN	(
79	NUM	@card@
-	PUN	-
60	NUM	@card@
).	ABR	).
restant	VER:ppre	rester
sur	PRP	sur
deux	NUM	deux
revers	NOM	revers
consécutifs	ADJ	consécutif
,	PUN	,
les	DET:ART	le
basketteurs	NOM	basketteur
thermaux	ADJ	thermal
feront	VER:futu	faire
le	DET:ART	le
maximum	NOM	maximum
pour	PRP	pour
renouer	VER:infi	renouer
avec	PRP	avec
le	DET:ART	le
succès	NOM	succès
et	KON	et
ainsi	ADV	ainsi
préserver	VER:infi	préserver
