ce	PRO:DEM	ce
sont	VER:pres	être
trente-cinq	NUM	trente-cinq
«	PUN:cit	«
vaillants	ADJ	vaillant
»	PUN:cit	»
convives	NOM	convive
,	PUN	,
à	PRP	à
la	DET:ART	le
pointe	NOM	pointe
de	PRP	de
«	PUN:cit	«
l'	DET:ART	le
avant-garde	NOM	avant-garde
»	PUN:cit	»
qui	PRO:REL	qui
ont	VER:pres	avoir
partagé	VER:pper	partager
les	DET:ART	le
galettes	NOM	galette
des	PRP:det	du
rois	NOM	roi
.	SENT	.
une	DET:ART	un
belle	ADJ	beau
occasion	NOM	occasion
de	PRP	de
se	PRO:PER	se
commémorer	VER:infi	commémorer
l'	DET:ART	le
année	NOM	année
écoulée	VER:pper	écouler
,	PUN	,
la	DET:ART	le
kermesse	NOM	kermesse
avec	PRP	avec
son	DET:POS	son
bal	NOM	bal
,	PUN	,
le	DET:ART	le
coq	NOM	coq
au	PRP:det	au
vin	NOM	vin
,	PUN	,
la	DET:ART	le
location	NOM	location
de	PRP	de
la	DET:ART	le
salle	NOM	salle
rénovée	VER:pper	rénover
.	SENT	.
des	PRP:det	du
jeux	NOM	jeu
:	PUN	:
scrabble	NOM	scrabble
,	PUN	,
cartes	NOM	carte
ont	VER:pres	avoir
permis	VER:pper	permettre
aux	PRP:det	au
participants	NOM	participant
du	PRP:det	du
canton	NOM	canton
de	PRP	de
passer	VER:infi	passer
un	DET:ART	un
bel	ADJ	beau
après-midi	NOM	après-midi
.	SENT	.
le	DET:ART	le
foyer	NOM	foyer
,	PUN	,
avec	PRP	avec
son	DET:POS	son
cadre	NOM	cadre
champêtre	ADJ	champêtre
au	PRP:det	au
milieu	NOM	milieu
du	PRP:det	du
village	NOM	village
,	PUN	,
est	VER:pres	être
l'	DET:ART	le
endroit	NOM	endroit
idéal	ADJ	idéal
pour	PRP	pour
les	DET:ART	le
fêtes	NOM	fête
et	KON	et
les	DET:ART	le
animations	NOM	animation
.	SENT	.
