m.	ABR	m.
j.p	NOM	j.p
.	SENT	.
zbienewn	NOM	zbienewn
90300	NUM	@card@
cravanche	NOM	cravanche
.	SENT	.
ce	PRO:DEM	ce
titre	NOM	titre
est	VER:pres	être
celui	PRO:DEM	celui
d'	PRP	de
un	DET:ART	un
opuscule	NOM	opuscule
publié	VER:pper	publier
par	PRP	par
les	DET:ART	le
editions	NOM	editions
du	PRP:det	du
témoignage	NOM	témoignage
chrétien	ADJ	chrétien
en	PRP	en
octobre	NOM	octobre
1943	NUM	@card@
et	KON	et
consacré	VER:pper	consacrer
aux	PRP:det	au
différents	ADJ	différent
aspects	NOM	aspect
de	PRP	de
la	DET:ART	le
«	PUN:cit	«
nazification	NOM	nazification
»	PUN:cit	»
de	PRP	de
l'	DET:ART	le
alsace	NOM	alsace
et	KON	et
de	PRP	de
la	DET:ART	le
moselle	ADJ	moselle
.	SENT	.
a	VER:pres	avoir
présent	ADJ	présent
,	PUN	,
le	DET:ART	le
même	ADJ	même
cri	NOM	cri
d'	PRP	de
alarme	NOM	alarme
retentit	VER:pres	retentir
une	DET:ART	un
fois	NOM	foi|fois
de	PRP	de
plus	ADV	plus
dans	PRP	dans
le	DET:ART	le
c	NOM	c
	ADJ	
ur	VER:simp	ur
et	KON	et
l'	DET:ART	le
esprit	NOM	esprit
d'	PRP	de
un	DET:ART	un
grand	ADJ	grand
nombre	NOM	nombre
de	PRP	de
nos	DET:POS	notre
compatriotes	NOM	compatriote
devant	PRP	devant
les	DET:ART	le
entreprises	NOM	entreprise
de	PRP	de
démantèlement	NOM	démantèlement
physique	ADJ	physique
et	KON	et
moral	ADJ	moral
de	PRP	de
la	DET:ART	le
france	NOM	france
par	PRP	par
ses	DET:POS	son
dirigeants	NOM	dirigeant
politiques	ADJ	politique
.	SENT	.
quelles	PRO:REL	quel
que	KON	que
soient	VER:subp	être
leurs	DET:POS	leur
obédiences	NOM	obédience
,	PUN	,
ils	PRO:PER	il
unissent	VER:pres	unir
plus	ADV	plus
que	KON	que
jamais	ADV	jamais
leurs	DET:POS	leur
efforts	NOM	effort
pour	PRP	pour
faire	VER:infi	faire
éclater	VER:infi	éclater
l'	DET:ART	le
etat-nation	NOM	etat-nation
,	PUN	,
forgé	ADJ	forgé
et	KON	et
maintenu	VER:pper	maintenir
pendant	PRP	pendant
un	DET:ART	un
millénaire	NOM	millénaire
contre	PRP	contre
tous	PRO:IND	tout
les	DET:ART	le
vents	NOM	vent
et	KON	et
marées	NOM	marée
ravageurs	ADJ	ravageur
qu'	PRO:REL	que
il	PRO:PER	il
a	VER:pres	avoir
pu	VER:pper	pouvoir
connaître	VER:infi	connaître
.	SENT	.
leur	DET:POS	leur
objectif	NOM	objectif
«	PUN:cit	«
d'	PRP	de
européistes	NOM	européistes
»	PUN:cit	»
inconditionnels	ADJ	inconditionnel
consiste	VER:pres	consister
à	PRP	à
ressusciter	VER:infi	ressusciter
les	DET:ART	le
régions-provinces	NOM	régions-provinces
à	PRP	à
l'	DET:ART	le
intérieur	NOM	intérieur
de	PRP	de
nos	DET:POS	notre
frontières	NOM	frontière
provisoires	ADJ	provisoire
,	PUN	,
en	PRO:PER	en
attendant	VER:ppre	attendre
de	PRP	de
les	PRO:PER	la|le
rattacher	VER:infi	rattacher
à	PRP	à
des	PRP:det	du
entités	NOM	entité
identiques	ADJ	identique
étrangères	ADJ	étranger
puis	ADV	puis
de	PRP	de
fondre	VER:infi	fondre
les	DET:ART	le
uns	NOM	un
et	KON	et
les	DET:ART	le
autres	ADJ	autre
,	PUN	,
dans	PRP	dans
un	DET:ART	un
magma	NOM	magma
informe	ADJ	informe
.	SENT	.
la	DET:ART	le
réforme	NOM	réforme
constitutionnelle	ADJ	constitutionnel
en	PRP	en
cours	NOM	cour|cours
d'	PRP	de
élaboration	NOM	élaboration
s'	PRO:PER	se
inscrit	VER:pres	inscrire
directement	ADV	directement
dans	PRP	dans
ce	PRO:DEM	ce
funeste	ADJ	funeste
dessein	NOM	dessein
de	PRP	de
mettre	VER:infi	mettre
,	PUN	,
le	DET:ART	le
plus	ADV	plus
tôt	ADV	tôt
possible	ADJ	possible
,	PUN	,
un	DET:ART	un
terme	NOM	terme
à	PRP	à
notre	DET:POS	notre
souveraineté	NOM	souveraineté
.	SENT	.
a	VER:pres	avoir
cet	PRO:DEM	ce
effet	NOM	effet
,	PUN	,
il	PRO:PER	il
s'	PRO:PER	se
agit	VER:pres	agir
bien	ADV	bien
évidemment	ADV	évidemment
de	PRP	de
saper	VER:infi	saper
les	DET:ART	le
fondements	NOM	fondement
mêmes	ADJ	même
de	PRP	de
la	DET:ART	le
république	NOM	république
,	PUN	,
une	NUM	un
et	KON	et
indivisible	ADJ	indivisible
.	SENT	.
si	KON	si
nous	PRO:PER	nous
voulons	VER:pres	vouloir
sauvegarder	VER:infi	sauvegarder
notre	DET:POS	notre
statut	NOM	statut
de	PRP	de
citoyens	NOM	citoyen
et	KON	et
éviter	VER:infi	éviter
de	PRP	de
nous	PRO:PER	nous
transformer	VER:infi	transformer
malgré	PRP	malgré
nous	PRO:PER	nous
en	PRP	en
sujets	NOM	sujet
d'	PRP	de
un	DET:ART	un
pouvoir	NOM	pouvoir
anonyme	ADJ	anonyme
,	PUN	,
lointain	ADJ	lointain
et	KON	et
technocratique	ADJ	technocratique
,	PUN	,
prenons	VER:pres	prendre
garde	NOM	garde
...	PUN	...
!	SENT	!
