hier	ADV	hier
,	PUN	,
aux	PRP:det	au
alentours	NOM	alentour
de	PRP	de
12	NUM	@card@
h	ABR	heure
20	NUM	@card@
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
sont	VER:pres	être
intervenus	VER:pper	intervenir
pour	PRP	pour
des	PRP:det	du
odeurs	NOM	odeur
suspectes	ADJ	suspect
de	PRP	de
gaz	NOM	gaz
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
saint-jacques	ADJ	saint-jacques
,	PUN	,
dans	PRP	dans
les	DET:ART	le
locaux	NOM	local
de	PRP	de
la	DET:ART	le
faculté	NOM	faculté
de	PRP	de
médecine	NOM	médecine
.	SENT	.
deux	NUM	deux
fuites	NOM	fuite
ont	VER:pres	avoir
été	VER:pper	être
détectées	VER:pper	détecter
.	SENT	.
les	DET:ART	le
services	NOM	service
de	PRP	de
gaz	NOM	gaz
de	PRP	de
france	NOM	france
ont	VER:pres	avoir
procédé	VER:pper	procéder
aux	PRP:det	au
réparations	NOM	réparation
.	SENT	.
