lors	ADV	lors
de	PRP	de
la	DET:ART	le
soirée	NOM	soirée
annuelle	ADJ	annuel
de	PRP	de
remise	NOM	remise
des	PRP:det	du
trophées	NOM	trophée
,	PUN	,
le	DET:ART	le
comité	NOM	comité
régional	ADJ	régional
d'	PRP	de
équitation	NOM	équitation
a	VER:pres	avoir
récompensé	VER:pper	récompenser
tous	PRO:IND	tout
les	DET:ART	le
cavaliers	NOM	cavalier
de	PRP	de
franche-comté	NOM	franche-comté
qui	PRO:REL	qui
se	PRO:PER	se
sont	VER:pres	être
distingués	VER:pper	distinguer
dans	PRP	dans
les	DET:ART	le
épreuves	NOM	épreuve
nationales	ADJ	national
de	PRP	de
l'	DET:ART	le
année	NOM	année
2002	NUM	@card@
parmi	PRP	parmi
eux	PRO:PER	eux
figuraient	VER:impf	figurer
en	PRP	en
bonne	ADJ	bon
position	NOM	position
sur	PRP	sur
le	DET:ART	le
podium	NOM	podium
l'	DET:ART	le
équipe	NOM	équipe
du	PRP:det	du
club	NOM	club
castelmontois	NOM	castelmontois
qui	PRO:REL	qui
,	PUN	,
pour	PRP	pour
la	DET:ART	le
2	NUM	@card@
e	ADJ	e
année	NOM	année
consécutive	ADJ	consécutif
,	PUN	,
a	VER:pres	avoir
obtenu	VER:pper	obtenir
la	DET:ART	le
médaille	NOM	médaille
d'	PRP	de
argent	NOM	argent
du	PRP:det	du
championnat	NOM	championnat
de	PRP	de
france	NOM	france
par	PRP	par
équipes	NOM	équipe
.	SENT	.
félicitations	NOM	félicitation
à	PRP	à
ces	PRO:DEM	ce
trois	NUM	trois
jeunes	NOM	jeune
espoirs	NOM	espoir
qui	PRO:REL	qui
composaient	VER:impf	composer
l'	DET:ART	le
équipe	NOM	équipe
:	PUN	:
anna	VER:simp	anna
martin	NOM	martin
,	PUN	,
maurine	ADJ	maurine
péterlé	NOM	péterlé
et	KON	et
alexandre	NOM	alexandre
pugin	ADJ	pugin
.	SENT	.
