demain	ADV	demain
samedi	NOM	samedi
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
communale	ADJ	communal
de	PRP	de
la	DET:ART	le
cité	NOM	cité
,	PUN	,
l'	DET:ART	le
asr	NOM	asr
organise	VER:pres	organiser
un	DET:ART	un
loto	NOM	loto
,	PUN	,
doté	VER:pper	doter
de	PRP	de
2	NUM	@card@
500	NUM	@card@
	NOM	
de	PRP	de
lots	NOM	lot
.	SENT	.
renseignements	NOM	renseignement
:	PUN	:
03.84	NUM	@card@
.	SENT	.
29.09	NUM	@card@
.	SENT	.
92	NUM	@card@
ou	KON	ou
03.84	NUM	@card@
.	SENT	.
29.53	NUM	@card@
.	SENT	.
83	NUM	@card@
(	PUN	(
après	PRP	après
18	NUM	@card@
h	ABR	heure
).	ABR	).
