m.	ABR	m.
andré	ADJ	andré
aubry	NOM	aubry
est	VER:pres	être
décédé	VER:pper	décéder
subitement	ADV	subitement
samedi	NOM	samedi
8	NUM	@card@
février	NOM	février
2003	NUM	@card@
à	PRP	à
l'	DET:ART	le
âge	NOM	âge
de	PRP	de
69	NUM	@card@
ans	NOM	an
.	SENT	.
il	PRO:PER	il
s'	PRO:PER	se
est	VER:pres	être
éteint	VER:pper	éteindre
dans	PRP	dans
sa	DET:POS	son
voiture	NOM	voiture
alors	ADV	alors
qu'	KON	que
il	PRO:PER	il
arrivait	VER:impf	arriver
chez	PRP	chez
sa	DET:POS	son
fille	NOM	fille
à	PRP	à
belleherbe	NOM	belleherbe
.	SENT	.
ce	PRO:DEM	ce
décès	NOM	décès
brutal	ADJ	brutal
consterne	VER:pres	consterner
sa	DET:POS	son
famille	NOM	famille
et	KON	et
toute	PRO:IND	tout
la	DET:ART	le
population	NOM	population
du	PRP:det	du
secteur	NOM	secteur
de	PRP	de
sancey-le-grand	NOM	sancey-le-grand
où	PRO:REL	où
andré	NOM	andré
était	VER:impf	être
très	ADV	très
connu	VER:pper	connaître
.	SENT	.
andré	ADJ	andré
aubry	NOM	aubry
est	VER:pres	être
né	VER:pper	naître
à	PRP	à
la	DET:ART	le
lizerne	NOM	lizerne
,	PUN	,
près	ADV	près
de	PRP	de
maîche	NOM	maîche
,	PUN	,
le	DET:ART	le
8	NUM	@card@
mars	NOM	mars
1934	NUM	@card@
;	PUN	;
il	PRO:PER	il
est	VER:pres	être
le	DET:ART	le
fils	NOM	fil|fils
d'	PRP	de
urbain	ADJ	urbain
aubry	NOM	aubry
et	KON	et
de	PRP	de
marie-louise	NOM	marie-louise
vivot	ADJ	vivot
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
7	NUM	@card@
e	ADJ	e
enfant	NOM	enfant
d'	PRP	de
une	DET:ART	un
famille	NOM	famille
de	PRP	de
neuf	ADJ	neuf
.	SENT	.
son	DET:POS	son
père	NOM	père
exerçait	VER:impf	exercer
l'	DET:ART	le
activité	NOM	activité
de	PRP	de
maréchal-ferrant	NOM	maréchal-ferrant
.	SENT	.
en	PRP	en
1942	NUM	@card@
andré	NOM	andré
vient	VER:pres	venir
à	PRP	à
sancey-le-grand	NOM	sancey-le-grand
exploiter	VER:infi	exploiter
la	DET:ART	le
ferme	NOM	ferme
d'	PRP	de
etard	NOM	etard
.	SENT	.
il	PRO:PER	il
effectue	VER:pres	effectuer
son	DET:POS	son
service	NOM	service
militaire	ADJ	militaire
au	PRP:det	au
maroc	NOM	maroc
dans	PRP	dans
le	DET:ART	le
132	NUM	@card@
e	ADJ	e
régiment	NOM	régiment
du	PRP:det	du
train	NOM	train
où	PRO:REL	où
il	PRO:PER	il
reste	VER:pres	rester
vingt-sept	NUM	vingt-sept
mois	NOM	moi|mois
.	SENT	.
il	PRO:PER	il
achève	VER:pres	achever
son	DET:POS	son
service	NOM	service
avec	PRP	avec
le	DET:ART	le
grade	NOM	grade
de	PRP	de
