«	PUN:cit	«
lorsque	KON	lorsque
l'	PRO:PER	la|le
on	PRO:PER	on
commence	VER:pres	commencer
à	PRP	à
répéter	VER:infi	répéter
,	PUN	,
dans	PRP	dans
notre	DET:POS	notre
jargon	NOM	jargon
,	PUN	,
nous	PRO:PER	nous
appelons	VER:pres	appeler
cela	PRO:DEM	cela
une	DET:ART	un
mise	NOM	mise
en	PRP	en
bouche	NOM	bouche
»,	ADJ	»,
expliquait	VER:impf	expliquer
le	DET:ART	le
président	NOM	président
andré	ADJ	andré
loosveld	NOM	loosveld
.	SENT	.
vendredi	NOM	vendredi
soir	NOM	soir
,	PUN	,
la	DET:ART	le
renaissance	NOM	renaissance
,	PUN	,
à	PRP	à
l'	DET:ART	le
issue	NOM	issue
de	PRP	de
sa	DET:POS	son
répétition	NOM	répétition
,	PUN	,
en	PRO:PER	en
a	VER:pres	avoir
fait	VER:pper	faire
une	DET:ART	un
seconde	NUM	second
,	PUN	,
plus	ADV	plus
sucrée	VER:pper	sucrer
celle-là	ADJ	celle-là
,	PUN	,
en	PRP	en
dégustant	VER:ppre	déguster
la	DET:ART	le
galette	NOM	galette
.	SENT	.
c'	PRO:DEM	ce
était	VER:impf	être
aussi	ADV	aussi
la	DET:ART	le
rentrée	NOM	rentrée
des	PRP:det	du
musiciens	NOM	musicien
du	PRP:det	du
soir	NOM	soir
,	PUN	,
après	PRP	après
quelques	PRO:IND	quelque
semaines	NOM	semaine
de	PRP	de
repos	NOM	repos
bien	ADV	bien
méritées	VER:pper	mériter
.	SENT	.
une	DET:ART	un
première	NOM	premier|première
marquée	VER:pper	marquer
par	PRP	par
un	DET:ART	un
froid	NOM	froid
très	ADV	très
vif	ADJ	vif
,	PUN	,
qui	PRO:REL	qui
a	VER:pres	avoir
retenu	VER:pper	retenir
au	PRP:det	au
chaud	ADJ	chaud
,	PUN	,
dans	PRP	dans
leur	DET:POS	leur
foyer	NOM	foyer
,	PUN	,
bon	ADJ	bon
nombre	NOM	nombre
d'	PRP	de
instrumentistes	NOM	instrumentiste
.	SENT	.
pour	PRP	pour
les	DET:ART	le
personnes	NOM	personne
qui	PRO:REL	qui
avaient	VER:impf	avoir
fait	VER:pper	faire
le	DET:ART	le
déplacement	NOM	déplacement
,	PUN	,
l'	DET:ART	le
instant	NOM	instant
fut	VER:simp	être
convivial	ADJ	convivial
et	KON	et
apprécié	VER:pper	apprécier
.	SENT	.
