souffrant	VER:ppre	souffrir
depuis	PRP	depuis
plusieurs	PRO:IND	plusieurs
années	NOM	année
,	PUN	,
moni	NOM	moni
gaillard	ADJ	gaillard
est	VER:pres	être
décédé	VER:pper	décéder
au	PRP:det	au
centre	NOM	centre
de	PRP	de
long	ADJ	long
séjour	NOM	séjour
de	PRP	de
quingey	NOM	quingey
où	PRO:REL	où
il	PRO:PER	il
était	VER:impf	être
entré	VER:pper	entrer
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
quelques	PRO:IND	quelque
mois	NOM	moi|mois
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
figure	NOM	figure
bien	ADV	bien
connue	VER:pper	connaître
des	PRP:det	du
boussiérois	NOM	boussiérois
qui	PRO:REL	qui
disparaît	VER:pres	disparaître
aujourd'hui	ADV	aujourd'hui
,	PUN	,
car	KON	car
on	PRO:PER	on
le	PRO:PER	le
rencontrait	VER:impf	rencontrer
souvent	ADV	souvent
lors	ADV	lors
des	PRP:det	du
diverses	ADJ	divers
manifestations	NOM	manifestation
festives	ADJ	festif
.	SENT	.
né	VER:pper	naître
à	PRP	à
boussières	NOM	boussières
le	DET:ART	le
23	NUM	@card@
décembre	NOM	décembre
1931	NUM	@card@
moni	NOM	moni
gaillard	ADJ	gaillard
a	VER:pres	avoir
toujours	ADV	toujours
travaillé	VER:pper	travailler
à	PRP	à
la	DET:ART	le
papeterie	NOM	papeterie
,	PUN	,
d'	PRP	de
abord	NOM	abord
à	PRP	à
la	DET:ART	le
cartonnerie	NOM	cartonnerie
où	PRO:REL	où
il	PRO:PER	il
était	VER:impf	être
«	PUN:cit	«
cuisinier	NOM	cuisinier
»,	ADJ	»,
à	PRP	à
savoir	VER:infi	savoir
dans	PRP	dans
le	DET:ART	le
langage	NOM	langage
des	PRP:det	du
papetiers	NOM	papetier
,	PUN	,
qu'	PRO:REL	que
il	PRO:PER	il
préparait	VER:impf	préparer
la	DET:ART	le
colle	NOM	colle
pour	PRP	pour
les	DET:ART	le
papiers	NOM	papier
gommés	ADJ	gommé
;	PUN	;
puis	ADV	puis
il	PRO:PER	il
fut	VER:simp	être
chargé	VER:pper	charger
de	PRP	de
l'	DET:ART	le
entretien	NOM	entretien
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
en	PRP	en
1957	NUM	@card@
qu'	KON	que
il	PRO:PER	il
épousa	VER:simp	épouser
renée	VER:pper	renaître
aubry	NOM	aubry
.	SENT	.
le	DET:ART	le
couple	NOM	couple
installé	VER:pper	installer
aux	PRP:det	au
cités	NOM	cité
avec	PRP	avec
leurs	DET:POS	leur
enfants	NOM	enfant
michel	ADJ	michel
et	KON	et
annie	VER:pper	annie
,	PUN	,
emménagea	VER:simp	emménager
au	PRP:det	au
village	NOM	village
en	PRP	en
1972	NUM	@card@
dans	PRP	dans
une	DET:ART	un
maison	NOM	maison
neuve	ADJ	neuf
.	SENT	.
en	PRP	en
1991	NUM	@card@
la	DET:ART	le
disparition	NOM	disparition
de	PRP	de
leur	DET:POS	leur
fils	NOM	fil|fils
michel	ADJ	michel
fut	VER:simp	être
une	DET:ART	un
grande	ADJ	grand
épreuve	NOM	épreuve
pour	PRP	pour
toute	PRO:IND	tout
la	DET:ART	le
famille	NOM	famille
.	SENT	.
les	DET:ART	le
obsèques	NOM	obsèques
seront	VER:futu	être
célébrées	VER:pper	célébrer
ce	PRO:DEM	ce
vendredi	NOM	vendredi
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
en	PRP	en
l'	DET:ART	le
église	NOM	église
de	PRP	de
boussières	NOM	boussières
.	SENT	.
a	VER:pres	avoir
son	DET:POS	son
épouse	NOM	épouse
,	PUN	,
à	PRP	à
sa	DET:POS	son
fille	NOM	fille
et	KON	et
à	PRP	à
toute	PRO:IND	tout
la	DET:ART	le
famille	NOM	famille
,	PUN	,
notre	DET:POS	notre
journal	NOM	journal
présente	VER:pres	présenter
ses	DET:POS	son
sincères	ADJ	sincère
condoléances	NOM	condoléance
.	SENT	.
