ce	PRO:DEM	ce
samedi	NOM	samedi
,	PUN	,
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
était	VER:impf	être
comble	ADJ	comble
à	PRP	à
l'	DET:ART	le
occasion	NOM	occasion
de	PRP	de
la	DET:ART	le
cérémonie	NOM	cérémonie
des	PRP:det	du
v	NOM	v
	ADJ	
ux	ADJ	ux
du	PRP:det	du
maire	NOM	maire
.	SENT	.
alain	NOM	alain
pierre	NOM	pierre
a	VER:pres	avoir
eu	VER:pper	avoir
la	DET:ART	le
joie	NOM	joie
et	KON	et
le	DET:ART	le
plaisir	NOM	plaisir
d'	PRP	de
accueillir	VER:infi	accueillir
michel	NOM	michel
heinrich	NOM	heinrich
,	PUN	,
député	VER:pper	députer
maire	NOM	maire
d'	PRP	de
epinal	NOM	epinal
,	PUN	,
jackie	NOM	jackie
pierre	NOM	pierre
,	PUN	,
vice-président	NOM	vice-président
du	PRP:det	du
conseil	NOM	conseil
général	ADJ	général
des	PRP:det	du
vosges	ADJ	vosges
et	KON	et
président	NOM	président
de	PRP	de
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
maires	NOM	maire
des	PRP:det	du
vosges	ADJ	vosges
,	PUN	,
tous	PRO:IND	tout
les	DET:ART	le
maires	NOM	maire
du	PRP:det	du
canton	NOM	canton
de	PRP	de
xertigny	NAM	xertigny
,	PUN	,
les	DET:ART	le
conseillers	NOM	conseiller
municipaux	ADJ	municipal
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
des	PRP:det	du
jeunes	NOM	jeune
,	PUN	,
les	DET:ART	le
vice-présidents	NOM	vice-président
du	PRP:det	du
syndicat	NOM	syndicat
intercommunal	ADJ	intercommunal
des	PRP:det	du
eaux	NOM	eau
des	PRP:det	du
monts	NOM	mont
faucilles	NOM	faucille
,	PUN	,
les	DET:ART	le
chefs	NOM	chef
de	PRP	de
centre	NOM	centre
des	PRP:det	du
sapeurs-pompiers	NOM	sapeurs-pompiers
du	PRP:det	du
sigsis	NOM	sigsis
de	PRP	de
la	DET:ART	le
vôge	NOM	vôge
,	PUN	,
les	DET:ART	le
prêtres	NOM	prêtre
de	PRP	de
la	DET:ART	le
paroisse	NOM	paroisse
,	PUN	,
les	DET:ART	le
représentants	NOM	représentant
de	PRP	de
la	DET:ART	le
subdivision	NOM	subdivision
de	PRP	de
l'	DET:ART	le
équipement	NOM	équipement
de	PRP	de
bains-les-bains	NOM	bains-les-bains
,	PUN	,
de	PRP	de
l'	DET:ART	le
éducation	NOM	éducation
nationale	ADJ	national
et	KON	et
de	PRP	de
l'	DET:ART	le
onf	NOM	onf
,	PUN	,
les	DET:ART	le
enseignants	NOM	enseignant
de	PRP	de
l'	DET:ART	le
école	NOM	école
,	PUN	,
le	DET:ART	le
personnel	NOM	personnel
communal	ADJ	communal
,	PUN	,
les	DET:ART	le
présidents	NOM	président
d'	PRP	de
associations	NOM	association
et	KON	et
tous	PRO:IND	tout
les	DET:ART	le
manuziens	NOM	manuziens
qui	PRO:REL	qui
avaient	VER:impf	avoir
répondu	VER:pper	répondre
à	PRP	à
l'	DET:ART	le
invitation	NOM	invitation
.	SENT	.
jean-pierre	NOM	jean-pierre
larrière	ADJ	larrière
,	PUN	,
maire-adjoint	NOM	maire-adjoint
,	PUN	,
a	VER:pres	avoir
pris	VER:pper	prendre
le	DET:ART	le
premier	NOM	premier
la	DET:ART	le
parole	NOM	parole
afin	KON	afin
de	PRP	de
faire	VER:infi	faire
la	DET:ART	le
rétrospective	NOM	rétrospectif|rétrospective
de	PRP	de
l'	DET:ART	le
année	NOM	année
écoulée	VER:pper	écouler
qui	PRO:REL	qui
a	VER:pres	avoir
été	VER:pper	être
agrémentée	VER:pper	agrémenter
par	PRP	par
une	DET:ART	un
projection	NOM	projection
de	PRP	de
photos	NOM	photo
relatives	ADJ	relatif
aux	PRP:det	au
événements	NOM	événement
2002	NUM	@card@
le	DET:ART	le
maire-adjoint	NOM	maire-adjoint
en	PRO:PER	en
a	VER:pres	avoir
profité	VER:pper	profiter
pour	PRP	pour
rappeler	VER:infi	rappeler
l'	DET:ART	le
entière	ADJ	entier
confiance	NOM	confiance
et	KON	et
le	DET:ART	le
soutien	NOM	soutien
