voici	ADV	voici
les	DET:ART	le
premiers	NUM	premier
rendez-vous	NOM	rendez-vous
figurant	VER:ppre	figurer
sur	PRP	sur
notre	DET:POS	notre
agenda	NOM	agenda
de	PRP	de
ce	PRO:DEM	ce
mois	NOM	moi|mois
de	PRP	de
janvier	NOM	janvier
2003	NUM	@card@
le	DET:ART	le
3	NUM	@card@
:	PUN	:
assemblée	NOM	assemblée
de	PRP	de
l'	DET:ART	le
amicale	ADJ	amical
des	PRP:det	du
retraités	NOM	retraité
,	PUN	,
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
verdun	ADJ	verdun
.	SENT	.
réunion	NOM	réunion
classe	NOM	classe
47	NUM	@card@
salle	NOM	salle
j.	VER:subi	j.
ferry	NOM	ferry
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
le	DET:ART	le
4	NUM	@card@
:	PUN	:
a.g	NOM	a.g
.	SENT	.
de	PRP	de
«	PUN:cit	«
vie	NOM	vie
libre	ADJ	libre
»,	ADJ	»,
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
jules	NOM	jules
ferry	NOM	ferry
.	SENT	.
galette	NOM	galette
des	PRP:det	du
médaillés	VER:pper	médailler
militaires	ADJ	militaire
,	PUN	,
salle	NOM	salle
verdun	ADJ	verdun
.	SENT	.
le	DET:ART	le
5	NUM	@card@
:	PUN	:
repas	NOM	repas
des	PRP:det	du
rois	NOM	roi
,	PUN	,
amicale	ADJ	amical
des	PRP:det	du
retraités	NOM	retraité
,	PUN	,
la	DET:ART	le
rotonde	NOM	rotonde
.	SENT	.
le	DET:ART	le
6	NUM	@card@
:	PUN	:
dédicaces	NOM	dédicace
d'	PRP	de
albert	NOM	albert
fäh	ADJ	fäh
«	PUN:cit	«
1939	NUM	@card@
-	PUN	-
1945	NUM	@card@
le	DET:ART	le
long	ADJ	long
martyrologe	NOM	martyrologe
vosgien	ADJ	vosgien
»,	ADJ	»,
bibliothèque	NOM	bibliothèque
municipale	ADJ	municipal
,	PUN	,
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
le	DET:ART	le
7	NUM	@card@
:	PUN	:
galette	NOM	galette
de	PRP	de
«	PUN:cit	«
rhin	NOM	rhin
et	KON	et
danube	ADJ	danube
»,	NOM	»,
salle	NOM	salle
j.	VER:subi	j.
ferry	NOM	ferry
.	SENT	.
le	DET:ART	le
9	NUM	@card@
:	PUN	:
marché	NOM	marché
d'	PRP	de
antan	NOM	antan
en	PRP	en
centre	NOM	centre
ville	NOM	ville
.	SENT	.
epiphanie	NOM	epiphanie
des	PRP:det	du
«	PUN:cit	«
jeudis	NOM	jeudi
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
»,	ADJ	»,
salle	NOM	salle
lederlin	ADJ	lederlin
ou	KON	ou
rotonde	ADJ	rotond
.	SENT	.
le	DET:ART	le
10	NUM	@card@
:	PUN	:
a.g	NOM	a.g
.	SENT	.
