c'	PRO:DEM	ce
est	VER:pres	être
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
du	PRP:det	du
village	NOM	village
que	KON	que
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
aînés	NOM	aîné
ruraux	ADJ	rural
de	PRP	de
la	DET:ART	le
localité	NOM	localité
«	PUN:cit	«
l'	DET:ART	le
âge	NOM	âge
d'	PRP	de
or	NOM	or
»,	ADJ	»,
a	VER:pres	avoir
tenu	VER:pper	tenir
son	DET:POS	son
assemblée	NOM	assemblée
générale	ADJ	général
annuelle	ADJ	annuel
.	SENT	.
le	DET:ART	le
président	NOM	président
degli-esposti	NOM	degli-esposti
a	VER:pres	avoir
tout	ADV	tout
d'	PRP	de
abord	NOM	abord
souhaité	VER:pper	souhaiter
la	DET:ART	le
bienvenue	NOM	bienvenu|bienvenue
à	PRP	à
tous	PRO:IND	tout
les	DET:ART	le
membres	NOM	membre
et	KON	et
en	PRP	en
particulier	NOM	particulier
à	PRP	à
m.	ABR	m.
jean	NOM	jean
henri	VER:pper	henri
lorette	NOM	lorette
,	PUN	,
ancien	ADJ	ancien
président	NOM	président
de	PRP	de
la	DET:ART	le
fédération	NOM	fédération
des	PRP:det	du
aînés	NOM	aîné
ruraux	ADJ	rural
du	PRP:det	du
département	NOM	département
et	KON	et
m.	ABR	m.
alfred	ADJ	alfred
pettazzoni	NOM	pettazzoni
,	PUN	,
maire	NOM	maire
du	PRP:det	du
village	NOM	village
.	SENT	.
dans	PRP	dans
son	DET:POS	son
allocution	NOM	allocution
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
présenté	VER:pper	présenter
le	DET:ART	le
bilan	NOM	bilan
moral	ADJ	moral
de	PRP	de
l'	DET:ART	le
association	NOM	association
,	PUN	,
très	ADV	très
satisfaisant	ADJ	satisfaisant
sur	PRP	sur
l'	DET:ART	le
année	NOM	année
écoulée	VER:pper	écouler
.	SENT	.
toutes	PRO:IND	tout
les	DET:ART	le
activités	NOM	activité
programmées	VER:pper	programmer
ont	VER:pres	avoir
connu	VER:pper	connaître
un	DET:ART	un
enthousiasme	NOM	enthousiasme
sans	PRP	sans
égal	ADJ	égal
de	PRP	de
la	DET:ART	le
part	NOM	part
des	PRP:det	du
quatre-vingts	NUM	quatre-vingts
membres	NOM	membre
que	PRO:REL	que
compte	VER:pres	compter
le	DET:ART	le
club	NOM	club
actuellement	ADV	actuellement
.	SENT	.
il	PRO:PER	il
s'	PRO:PER	se
est	VER:pres	être
félicité	VER:pper	féliciter
de	PRP	de
la	DET:ART	le
participation	NOM	participation
du	PRP:det	du
plus	ADV	plus
grand	ADJ	grand
nombre	NOM	nombre
des	PRP:det	du
adhérents	NOM	adhérent
et	KON	et
du	PRP:det	du
travail	NOM	travail
réalisé	VER:pper	réaliser
par	PRP	par
le	DET:ART	le
bureau	NOM	bureau
directeur	ADJ	directeur
et	KON	et
le	DET:ART	le
conseil	NOM	conseil
d'	PRP	de
administration	NOM	administration
qui	PRO:REL	qui
	NOM	
uvrent	ADJ	uvrent
