médecin	NOM	médecin
de	PRP	de
garde	NOM	garde
:	PUN	:
appeler	VER:infi	appeler
le	DET:ART	le
15	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
mme	VER:simp	mme
ducret	NOM	ducret
,	PUN	,
23	NUM	@card@
avenue	NOM	avenue
pierre	NOM	pierre
sémard	ADJ	sémard
à	PRP	à
blainville	NOM	blainville
;	PUN	;
said	NOM	said
des	PRP:det	du
trois-rivières	NOM	trois-rivières
:	PUN	:
permanence	NOM	permanence
1	NUM	@card@
rue	NOM	rue
du	PRP:det	du
presbytère	NOM	presbytère
,	PUN	,
tél	ABR	téléphone
03.83	NUM	@card@
.	SENT	.
75.94	NUM	@card@
.	SENT	.
50	NUM	@card@
mission	NOM	mission
emploi	NOM	emploi
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
saint-dominique	ADJ	saint-dominique
.	SENT	.
ccas	NOM	ccas
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
en	PRP	en
mairie	NOM	mairie
.	SENT	.
ines	NOM	ines
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
saint-dominique	ADJ	saint-dominique
.	SENT	.
emploi-jeunes	NOM	emploi-jeunes
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
saint-dominique	ADJ	saint-dominique
.	SENT	.
kiosque	NOM	kiosque
ij	NOM	ij
:	PUN	:
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
21	NUM	@card@
rue	NOM	rue
saint-dominique	ADJ	saint-dominique
.	SENT	.
coffre	NOM	coffre
des	PRP:det	du
découvertes	NOM	découverte
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
mfc	NOM	mfc
.	SENT	.
fgrcf	NOM	fgrcf
:	PUN	:
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
bâtiment	NOM	bâtiment
c	ADJ	c
,	PUN	,
entrée	NOM	entrée
a	VER:pres	avoir
,	PUN	,
4	NUM	@card@
rue	NOM	rue
du	PRP:det	du
grand	ADJ	grand
pré	NOM	pré
à	PRP	à
damelevières	NOM	damelevières
.	SENT	.
mutuelle	ADJ	mutuel
générale	NOM	général|générale
des	PRP:det	du
cheminots	NOM	cheminot
:	PUN	:
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
2	NUM	@card@
rue	NOM	rue
du	PRP:det	du
grand	ADJ	grand
pré	NOM	pré
.	SENT	.
centre	NOM	centre
médico-social	ADJ	médico-social
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
au	PRP:det	au
rampeux	NOM	rampeux
.	SENT	.
