a	VER:pres	avoir
compter	VER:infi	compter
de	PRP	de
demain	ADV	demain
,	PUN	,
le	DET:ART	le
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
sera	VER:futu	être
ouvert	VER:pper	ouvrir
les	DET:ART	le
mercredis	NOM	mercredi
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
(	PUN	(
au	PRP:det	au
lieu	NOM	lieu
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
)	PUN	)
et	KON	et
vendredis	NOM	vendredi
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
(	PUN	(
inchangé	ADJ	inchangé
).	NOM	).
