metz	ABR	metz
.	SENT	.
_	NOM	_
pour	PRP	pour
aujourd'hui	ADV	aujourd'hui
,	PUN	,
le	DET:ART	le
bulletin	NOM	bulletin
prévisionnel	ADJ	prévisionnel
routier	ADJ	routier
du	PRP:det	du
service	NOM	service
régional	ADJ	régional
de	PRP	de
l'	DET:ART	le
equipement	NOM	equipement
fait	VER:pres	faire
état	NOM	état
de	PRP	de
petites	ADJ	petit
pluies	NOM	pluie
verglaçantes	ADJ	verglaçant
sur	PRP	sur
la	DET:ART	le
région	NOM	région
champagne-ardenne	ADJ	champagne-ardenne
et	KON	et
le	DET:ART	le
nord	NOM	nord
de	PRP	de
la	DET:ART	le
bourgogne	NOM	bourgogne
.	SENT	.
sur	PRP	sur
la	DET:ART	le
côte-d'or	NOM	côte-d'or
,	PUN	,
il	PRO:PER	il
s'	PRO:PER	se
agira	VER:futu	agir
plutôt	ADV	plutôt
de	PRP	de
faibles	ADJ	faible
chutes	NOM	chute
de	PRP	de
neige	NOM	neige
ou	KON	ou
de	PRP	de
pluie	NOM	pluie
et	KON	et
neige	NOM	neige
mêlées	VER:pper	mêler
.	SENT	.
en	PRP	en
fin	NOM	fin
de	PRP	de
matinée	NOM	matinée
,	PUN	,
de	PRP	de
la	DET:ART	le
neige	NOM	neige
faible	ADJ	faible
arrive	VER:pres	arriver
sur	PRP	sur
la	DET:ART	le
lorraine	NOM	lorrain
puis	ADV	puis
s'	PRO:PER	se
étend	VER:pres	étendre
à	PRP	à
l'	DET:ART	le
alsace	NOM	alsace
et	KON	et
au	PRP:det	au
nord	NOM	nord
de	PRP	de
la	DET:ART	le
franche-comté	NOM	franche-comté
.	SENT	.
ces	PRO:DEM	ce
phénomènes	NOM	phénomène
glissants	ADJ	glissant
sont	VER:pres	être
de	PRP	de
nature	NOM	nature
à	PRP	à
rendre	VER:infi	rendre
les	DET:ART	le
conditions	NOM	condition
de	PRP	de
circulation	NOM	circulation
délicates	ADJ	délicat
,	PUN	,
voire	ADV	voire
difficiles	ADJ	difficile
.	SENT	.
pour	PRP	pour
se	PRO:PER	se
rendre	VER:infi	rendre
en	PRP	en
altitude	NOM	altitude
les	DET:ART	le
équipements	NOM	équipement
spéciaux	ADJ	spécial
sont	VER:pres	être
recommandés	VER:pper	recommander
quand	KON	quand
ils	PRO:PER	il
ne	ADV	ne
sont	VER:pres	être
pas	ADV	pas
obligatoires	ADJ	obligatoire
.	SENT	.
pour	PRP	pour
les	DET:ART	le
inondations	NOM	inondation
,	PUN	,
une	DET:ART	un
trentaine	NOM	trentaine
d'	PRP	de
axes	NOM	axe
secondaires	ADJ	secondaire
sont	VER:pres	être
coupés	VER:pper	couper
dans	PRP	dans
les	DET:ART	le
départements	NOM	département
des	PRP:det	du
ardennes	NOM	ardennes
,	PUN	,
de	PRP	de
l'	DET:ART	le
aube	NOM	aube
,	PUN	,
de	PRP	de
la	DET:ART	le
côte-d'or	NOM	côte-d'or
,	PUN	,
de	PRP	de
la	DET:ART	le
marne	NOM	marne
,	PUN	,
de	PRP	de
la	DET:ART	le
moselle	ADJ	moselle
,	PUN	,
de	PRP	de
la	DET:ART	le
meuse	NOM	meuse
et	KON	et
du	PRP:det	du
bas-rhin	NOM	bas-rhin
.	SENT	.
des	PRP:det	du
déviations	NOM	déviation
sont	VER:pres	être
en	PRP	en
place	NOM	place
,	PUN	,
la	DET:ART	le
liste	NOM	liste
est	VER:pres	être
consultable	ADJ	consultable
sur	PRP	sur
le	DET:ART	le
site	NOM	site
internet	ADJ	internet
www	NOM	www
.	SENT	.
bison-fute	NOM	bison-fute
.	SENT	.
equipement	NOM	equipement
.	SENT	.
gouv	NOM	gouv
.	SENT	.
fr	NOM	fr
