perdu	VER:pper	perdre
le	DET:ART	le
15	NUM	@card@
janvier	NOM	janvier
,	PUN	,
chien	NOM	chien
adulte	ADJ	adulte
,	PUN	,
griffon	NOM	griffon
croisé	ADJ	croisé
,	PUN	,
noir	ADJ	noir
.	SENT	.
particularité	NOM	particularité
:	PUN	:
il	PRO:PER	il
croise	VER:pres	croiser
les	DET:ART	le
oreilles	NOM	oreille
.	SENT	.
récompense	NOM	récompense
.	SENT	.
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
88.56	NUM	@card@
.	SENT	.
64	NUM	@card@
ou	KON	ou
06.76	NUM	@card@
.	SENT	.
71.22	NUM	@card@
.	SENT	.
55	NUM	@card@
