«	PUN:cit	«
comment	ADV	comment
un	DET:ART	un
président	NOM	président
peut-il	ADJ	peut-il
quitter	VER:infi	quitter
le	DET:ART	le
navire	NOM	navire
et	KON	et
baisser	VER:infi	baisser
les	DET:ART	le
bras	NOM	bras
,	PUN	,
lorsqu'on	NOM	lorsqu'on
lit	VER:pres	lire
le	DET:ART	le
bilan	NOM	bilan
et	KON	et
l'	DET:ART	le
exposé	NOM	exposé
élogieux	ADJ	élogieux
de	PRP	de
son	DET:POS	son
association	NOM	association
,	PUN	,
développés	VER:pper	développer
dans	PRP	dans
l'	DET:ART	le
article	NOM	article
de	PRP	de
''	NOM	''
l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
''	NOM	''
du	PRP:det	du
23	NUM	@card@
janvier	NOM	janvier
?	SENT	?
le	DET:ART	le
maire	NOM	maire
et	KON	et
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
de	PRP	de
vignot	NOM	vignot
s'	PRO:PER	se
interrogent	VER:pres	interroger
sur	PRP	sur
les	DET:ART	le
véritables	ADJ	véritable
causes	NOM	cause
qui	PRO:REL	qui
ont	VER:pres	avoir
conduit	VER:pper	conduire
ce	PRO:DEM	ce
président	NOM	président
à	PRP	à
prendre	VER:infi	prendre
cette	PRO:DEM	ce
décision	NOM	décision
.	SENT	.
en	PRP	en
effet	NOM	effet
,	PUN	,
lors	ADV	lors
d'	PRP	de
un	DET:ART	un
récent	ADJ	récent
entretien	NOM	entretien
avec	PRP	avec
mme	NOM	madame
la	DET:ART	le
maire	NOM	maire
et	KON	et
quatre	NUM	quatre
conseillers	NOM	conseiller
municipaux	ADJ	municipal
,	PUN	,
le	DET:ART	le
président	NOM	président
de	PRP	de
l'	DET:ART	le
avenir	NOM	avenir
,	PUN	,
accompagné	VER:pper	accompagner
d'	PRP	de
un	DET:ART	un
membre	NOM	membre
de	PRP	de
son	DET:POS	son
bureau	NOM	bureau
,	PUN	,
a	VER:pres	avoir
expliqué	VER:pper	expliquer
qu'	KON	que
il	PRO:PER	il
présidait	VER:impf	présider
son	DET:POS	son
association	NOM	association
par	PRP	par
devoir	NOM	devoir
,	PUN	,
cette	PRO:DEM	ce
responsabilité	NOM	responsabilité
lui	PRO:PER	lui
pesait	VER:impf	peser
et	KON	et
il	PRO:PER	il
n'	ADV	ne
en	PRO:PER	en
tirait	VER:impf	tirer
aucune	PRO:IND	aucun
satisfaction	NOM	satisfaction
personnelle	ADJ	personnel
.	SENT	.
aussi	ADV	aussi
,	PUN	,
la	DET:ART	le
municipalité	NOM	municipalité
refuse	VER:pres	refuser
de	PRP	de
servir	VER:infi	servir
de	PRP	de
bouc	NOM	bouc
émissaire	ADJ	émissaire
dans	PRP	dans
cette	PRO:DEM	ce
démission	NOM	démission
!	SENT	!
lors	ADV	lors
de	PRP	de
la	DET:ART	le
réunion	NOM	réunion
publique	ADJ	publique
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
du	PRP:det	du
25	NUM	@card@
novembre	NOM	novembre
,	PUN	,
avec	ADV	avec
,	PUN	,
à	PRP	à
l'	DET:ART	le
ordre	NOM	ordre
du	PRP:det	du
jour	NOM	jour
,	PUN	,
le	DET:ART	le
vote	NOM	vote
des	PRP:det	du
subventions	NOM	subvention
(	PUN	(
aucun	PRO:IND	aucun
membre	NOM	membre
de	PRP	de
l'	DET:ART	le
avenir	NOM	avenir
n'	ADV	ne
était	VER:impf	être
présent	ADJ	présent
à	PRP	à
cette	PRO:DEM	ce
réunion	NOM	réunion
),	ADJ	),
le	DET:ART	le
maire	NOM	maire
a	VER:pres	avoir
rappelé	VER:pper	rappeler
que	KON	que
le	DET:ART	le
budget	NOM	budget
attribué	VER:pper	attribuer
aux	PRP:det	au
associations	NOM	association
locales	ADJ	local
,	PUN	,
n'	ADV	ne
était	VER:impf	être
pas	ADV	pas
extensible	ADJ	extensible
et	KON	et
que	KON	que
la	DET:ART	le
répartition	NOM	répartition
se	PRO:PER	se
faisait	VER:impf	faire
sur	PRP	sur
une	DET:ART	un
base	NOM	base
de	PRP	de
critères	NOM	critère
identiques	ADJ	identique
aux	PRP:det	au
