hier	ADV	hier
matin	NOM	matin
,	PUN	,
la	DET:ART	le
section	NOM	section
des	PRP:det	du
anciens	NOM	ancien
combattants	ADJ	combattant
acpg-catm-toe	VER:subp	acpg-catm-toe
veuves	ADJ	veuf|veuve
de	PRP	de
saint-mansuy-beauregard	NOM	saint-mansuy-beauregard
tenait	VER:impf	tenir
son	DET:POS	son
assemblée	NOM	assemblée
générale	ADJ	général
dans	PRP	dans
les	DET:ART	le
locaux	NOM	local
du	PRP:det	du
centre	NOM	centre
social	ADJ	social
beauregard	NOM	beauregard
,	PUN	,
en	PRP	en
présence	NOM	présence
du	PRP:det	du
président	NOM	président
départemental	ADJ	départemental
,	PUN	,
jean-marie	NOM	jean-marie
nicolas	NOM	nicolas
.	SENT	.
le	DET:ART	le
président	NOM	président
de	PRP	de
la	DET:ART	le
section	NOM	section
,	PUN	,
yves	ADJ	yves
egloffe	NOM	egloffe
,	PUN	,
après	PRP	après
une	DET:ART	un
minute	NOM	minute
de	PRP	de
silence	NOM	silence
en	PRP	en
mémoire	NOM	mémoire
des	PRP:det	du
anciens	NOM	ancien
disparus	VER:pper	disparaître
,	PUN	,
a	VER:pres	avoir
rappelé	VER:pper	rappeler
que	KON	que
la	DET:ART	le
section	NOM	section
comptait	VER:impf	compter
une	DET:ART	un
centaine	NOM	centaine
de	PRP	de
membres	NOM	membre
dont	PRO:REL	dont
trois	NUM	trois
nouveaux	ADJ	nouveau
adhérents	NOM	adhérent
.	SENT	.
la	DET:ART	le
commémoration	NOM	commémoration
marquant	VER:ppre	marquer
la	DET:ART	le
fin	NOM	fin
de	PRP	de
la	DET:ART	le
guerre	NOM	guerre
d'	PRP	de
algérie	NOM	algérie
fut	VER:simp	être
évoquée	VER:pper	évoquer
quant	PRP	quant
à	PRP	à
la	DET:ART	le
date	NOM	date
souhaitée	VER:pper	souhaiter
pour	PRP	pour
marquer	VER:infi	marquer
l'	DET:ART	le
événement	NOM	événement
,	PUN	,
certains	ADJ	certain
souhaitant	VER:ppre	souhaiter
le	DET:ART	le
19	NUM	@card@
mars	NOM	mars
,	PUN	,
et	KON	et
d'	PRP	de
autres	ADJ	autre
le	DET:ART	le
16	NUM	@card@
octobre	NOM	octobre
.	SENT	.
un	DET:ART	un
compte-rendu	NOM	compte-rendu
fut	VER:simp	être
donné	VER:pper	donner
de	PRP	de
l'	DET:ART	le
inauguration	NOM	inauguration
par	PRP	par
le	DET:ART	le
président	NOM	président
de	PRP	de
la	DET:ART	le
république	NOM	république
le	DET:ART	le
5	NUM	@card@
décembre	NOM	décembre
2002	NUM	@card@
du	PRP:det	du
mémorial	NOM	mémorial
national	ADJ	national
en	PRP	en
hommage	NOM	hommage
aux	PRP:det	au
soldats	NOM	soldat
morts	VER:pper	mourir
pendant	PRP	pendant
la	DET:ART	le
guerre	NOM	guerre
d'	PRP	de
algérie	NOM	algérie
,	PUN	,
et	KON	et
les	DET:ART	le
combats	NOM	combat
de	PRP	de
tunisie	NOM	tunisie
et	KON	et
du	PRP:det	du
maroc	NOM	maroc
.	SENT	.
ce	PRO:DEM	ce
mémorial	NOM	mémorial
a	VER:pres	avoir
été	VER:pper	être
érigé	VER:pper	ériger
quai	NOM	quai
branly	NOM	branly
à	PRP	à
paris	NOM	pari
.	SENT	.
la	DET:ART	le
date	NOM	date
d'	PRP	de
inauguration	NOM	inauguration
pourrait	VER:cond	pouvoir
servir	VER:infi	servir
de	PRP	de
référence	NOM	référence
pour	PRP	pour
une	DET:ART	un
commémoration	NOM	commémoration
unique	ADJ	unique
.	SENT	.
après	PRP	après
lecture	NOM	lecture
des	PRP:det	du
rapports	NOM	rapport
moral	ADJ	moral
et	KON	et
financier	ADJ	financier
,	PUN	,
le	DET:ART	le
président	NOM	président
jean-marie	NOM	jean-marie
nicolas	VER:simp	nicolas
a	VER:pres	avoir
remis	VER:pper	remettre
trois	NUM	trois
croix	NOM	croix
du	PRP:det	du
combattant	NOM	combattant
à	PRP	à
des	PRP:det	du
anciens	NOM	ancien
d'	PRP	de
algérie	NOM	algérie
:	PUN	:
bernard	NOM	bernard
gix	ADJ	gix
,	PUN	,
michel	NOM	michel
beldicot	NOM	beldicot
et	KON	et
alain	NOM	alain
viville	NOM	viville
.	SENT	.
le	DET:ART	le
pot	NOM	pot
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
a	VER:pres	avoir
clos	VER:pper	clore
cette	PRO:DEM	ce
assemblée	NOM	assemblée
.	SENT	.
