comme	KON	comme
elle	PRO:PER	elle
le	PRO:PER	le
fait	VER:pres	faire
régulièrement	ADV	régulièrement
tous	PRO:IND	tout
les	DET:ART	le
ans	NOM	an
,	PUN	,
lucienne	ADJ	lucienne
perrin	NOM	perrin
,	PUN	,
la	DET:ART	le
présidente	NOM	président
de	PRP	de
la	DET:ART	le
section	NOM	section
conjoints	VER:pper	conjoindre
survivants	ADJ	survivant
d'	PRP	de
eloyes	NOM	eloyes
réunit	VER:pres	réunir
tous	PRO:IND	tout
les	DET:ART	le
adhérents	NOM	adhérent
pour	PRP	pour
une	DET:ART	un
journée	NOM	journée
basée	VER:pper	baser
sur	PRP	sur
l'	DET:ART	le
amitié	NOM	amitié
.	SENT	.
ce	PRO:DEM	ce
dimanche	NOM	dimanche
,	PUN	,
près	ADV	près
d'	PRP	de
une	DET:ART	un
cinquantaine	NOM	cinquantaine
de	PRP	de
convives	NOM	convive
étaient	VER:impf	être
donc	ADV	donc
regroupé	VER:pper	regrouper
autour	ADV	autour
d'	PRP	de
une	DET:ART	un
bonne	ADJ	bon
table	NOM	table
avec	PRP	avec
un	DET:ART	un
repas	NOM	repas
de	PRP	de
circonstance	NOM	circonstance
...	PUN	...
en	PRP	en
effet	NOM	effet
le	DET:ART	le
temps	NOM	temps
qu'	PRO:REL	que
il	PRO:PER	il
faisait	VER:impf	faire
au	PRP:det	au
dehors	NOM	dehors
était	VER:impf	être
véritablement	ADV	véritablement
de	PRP	de
nature	NOM	nature
à	PRP	à
déguster	VER:infi	déguster
une	DET:ART	un
bonne	ADJ	bon
choucroute	NOM	choucroute
...	PUN	...
prochain	ADJ	prochain
rendez	VER:pres	rendre
vous	PRO:PER	vous
de	PRP	de
la	DET:ART	le
section	NOM	section
locale	ADJ	local
:	PUN	:
le	DET:ART	le
samedi	NOM	samedi
22	NUM	@card@
février	NOM	février
2003	NUM	@card@
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
de	PRP	de
convivialité	NOM	convivialité
pour	PRP	pour
la	DET:ART	le
réunion	NOM	réunion
de	PRP	de
section	NOM	section
d'	PRP	de
eloyes	NOM	eloyes
.	SENT	.
