secrétariat	NOM	secrétariat
de	PRP	de
mairies	NOM	mairie
:	PUN	:
vigneulles	NOM	vigneulles
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
viéville-sous-les-côtes	NOM	viéville-sous-les-côtes
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
billy-sous-les-côtes	NOM	billy-sous-les-côtes
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
saint-benoit	NOM	saint-benoit
de	PRP	de
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
hattonville	NOM	hattonville
de	PRP	de
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
permanences	NOM	permanence
des	PRP:det	du
maires	NOM	maire
délégués	VER:pper	déléguer
:	PUN	:
saint-benoît	NOM	saint-benoît
de	PRP	de
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
hattonchâtel	NOM	hattonchâtel
de	PRP	de
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
permanence	NOM	permanence
du	PRP:det	du
ccas	NOM	ccas
:	PUN	:
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
en	PRP	en
mairie	NOM	mairie
.	SENT	.
codecom	NOM	codecom
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
:	PUN	:
03.29	NUM	@card@
.	SENT	.
90.00	NUM	@card@
.	SENT	.
60	NUM	@card@
permanences	NOM	permanence
du	PRP:det	du
canton	NOM	canton
:	PUN	:
lachaussée	VER:pper	lachaussée
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
nonsard	NOM	nonsard
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
buxerulles	NOM	buxerulles
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
buxières-sous-les-côtes	NOM	buxières-sous-les-côtes
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
woinville	NOM	woinville
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
