profitant	VER:ppre	profiter
des	PRP:det	du
installations	NOM	installation
sportives	ADJ	sportif
mises	VER:pper	mettre
en	PRP	en
place	NOM	place
par	PRP	par
les	DET:ART	le
responsables	ADJ	responsable
de	PRP	de
l'	DET:ART	le
as	NOM	as
plateau	NOM	plateau
lors	ADV	lors
de	PRP	de
leur	DET:POS	leur
tournoi	NOM	tournoi
annuel	ADJ	annuel
,	PUN	,
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
du	PRP:det	du
centre	NOM	centre
de	PRP	de
secours	NOM	secours
de	PRP	de
vercel	NOM	vercel
ont	VER:pres	avoir
invité	VER:pper	inviter
leurs	DET:POS	leur
homologues	NOM	homologue
du	PRP:det	du
secteur	NOM	secteur
pour	PRP	pour
une	DET:ART	un
journée	NOM	journée
de	PRP	de
football	NOM	football
en	PRP	en
salle	NOM	salle
.	SENT	.
venus	VER:pper	venir
de	PRP	de
quingey	NOM	quingey
,	PUN	,
laviron	NOM	laviron
,	PUN	,
l'	DET:ART	le
isle-sur-le-doubs	NOM	isle-sur-le-doubs
,	PUN	,
ornans	ADJ	ornans
,	PUN	,
gilley	NAM	gilley
,	PUN	,
valdahon	NOM	valdahon
...	PUN	...
les	DET:ART	le
soldats	NOM	soldat
du	PRP:det	du
feu	NOM	feu
ont	VER:pres	avoir
prouvé	VER:pper	prouver
qu'	KON	que
ils	PRO:PER	il
entretiennent	VER:pres	entretenir
une	DET:ART	un
bonne	ADJ	bon
forme	NOM	forme
physique	ADJ	physique
.	SENT	.
journée	NOM	journée
de	PRP	de
football	NOM	football
,	PUN	,
certes	ADV	certes
,	PUN	,
mais	KON	mais
également	ADV	également
journée	NOM	journée
de	PRP	de
retrouvailles	NOM	retrouvaille
,	PUN	,
d'	PRP	de
amitié	NOM	amitié
,	PUN	,
familiale	ADJ	familial
avec	PRP	avec
la	DET:ART	le
présence	NOM	présence
des	PRP:det	du
épouses	NOM	épouse
et	KON	et
des	PRP:det	du
enfants	NOM	enfant
.	SENT	.
au	PRP:det	au
terme	NOM	terme
de	PRP	de
l'	DET:ART	le
après-midi	NOM	après-midi
,	PUN	,
albert	NOM	albert
grosperrin	ADJ	grosperrin
,	PUN	,
maire	NOM	maire
de	PRP	de
vercel	NOM	vercel
,	PUN	,
accompagné	VER:pper	accompagner
de	PRP	de
ses	DET:POS	son
adjoints	NOM	adjoint
et	KON	et
de	PRP	de
quelques	PRO:IND	quelque
élus	NOM	élu
,	PUN	,
de	PRP	de
nombreux	ADJ	nombreux
sponsors	NOM	sponsor
,	PUN	,
sont	VER:pres	être
venus	VER:pper	venir
remettre	VER:infi	remettre
coupes	NOM	coupe
et	KON	et
trophées	NOM	trophée
à	PRP	à
toutes	PRO:IND	tout
les	DET:ART	le
équipes	NOM	équipe
participantes	ADJ	participant
.	SENT	.
un	DET:ART	un
heureux	ADJ	heureux
également	ADV	également
en	PRP	en
la	DET:ART	le
personne	NOM	personne
de	PRP	de
patrice	NOM	patrice
perrin	NOM	perrin
qui	PRO:REL	qui
a	VER:pres	avoir
eu	VER:pper	avoir
la	DET:ART	le
main	NOM	main
sûre	ADJ	sûr
pour	PRP	pour
la	DET:ART	le
pesée	NOM	pesée
du	PRP:det	du
jambon	NOM	jambon
de	PRP	de
montagne	NOM	montagne
.	SENT	.
de	PRP	de
belles	ADJ	beau
dégustations	NOM	dégustation
en	PRP	en
perspective	NOM	perspective
.	SENT	.
le	DET:ART	le
classement	NOM	classement
général	ADJ	général
:	PUN	:
1	NUM	@card@
la	DET:ART	le
chaux-de-gilley	NAM	chaux-de-gilley
;	PUN	;
2	NUM	@card@
les	DET:ART	le
brenets	NOM	brenets
;	PUN	;
3	NUM	@card@
quingey	NOM	quingey
;	PUN	;
4	NUM	@card@
laviron	NOM	laviron
;	PUN	;
5	NUM	@card@
l'	DET:ART	le
isle-sur-le-doubs	NOM	isle-sur-le-doubs
;	PUN	;
6	NUM	@card@
ornans	NOM	ornans
;	PUN	;
7	NUM	@card@
lavans-vuillafans	NOM	lavans-vuillafans
;	PUN	;
8	NUM	@card@
gilley	NOM	gilley
;	PUN	;
9	NUM	@card@
vercel	NOM	vercel
;	PUN	;
10	NUM	@card@
valdahon	NOM	valdahon
.	SENT	.
1	NUM	@card@
e	NOM	e
r	VER:subi	r
centre	NOM	centre
de	PRP	de
première	NUM	premier
intervention	NOM	intervention
:	PUN	:
la	DET:ART	le
chaux-de-gilley	NAM	chaux-de-gilley
;	PUN	;
2	NUM	@card@
m	NOM	m
e	VER:subi	e
centre	NOM	centre
de	PRP	de
première	NUM	premier
intervention	NOM	intervention
:	PUN	:
laviron	NOM	laviron
et	KON	et
lavans-vuillafans	NOM	lavans-vuillafans
3	NUM	@card@
e.	ABR	e.
meilleure	ADJ	meilleur
attaque	NOM	attaque
:	PUN	:
gilley	NAM	gilley
.	SENT	.
meilleure	ADJ	meilleur
défense	NOM	défense
:	PUN	:
lavans-vuillafans	NOM	lavans-vuillafans
.	SENT	.
