hier	ADV	hier
,	PUN	,
vers	PRP	vers
13	NUM	@card@
h	ABR	heure
35	NUM	@card@
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
spinaliens	ADJ	spinaliens
sont	VER:pres	être
intervenus	VER:pper	intervenir
rue	NOM	rue
de	PRP	de
la	DET:ART	le
chipotte	NOM	chipotte
,	PUN	,
en	PRP	en
face	NOM	face
du	PRP:det	du
collège	NOM	collège
clémenceau	ADJ	clémenceau
,	PUN	,
pour	PRP	pour
une	DET:ART	un
fumée	NOM	fumée
suspecte	ADJ	suspect
se	PRO:PER	se
dégageant	VER:ppre	dégager
du	PRP:det	du
moteur	NOM	moteur
d'	PRP	de
un	DET:ART	un
véhicule	NOM	véhicule
en	PRP	en
stationnement	NOM	stationnement
.	SENT	.
les	DET:ART	le
soldats	NOM	soldat
du	PRP:det	du
feu	NOM	feu
ont	VER:pres	avoir
été	VER:pper	être
obligés	VER:pper	obliger
de	PRP	de
casser	VER:infi	casser
une	DET:ART	un
vitre	NOM	vitre
de	PRP	de
la	DET:ART	le
voiture	NOM	voiture
pour	PRP	pour
procéder	VER:infi	procéder
à	PRP	à
l'	DET:ART	le
extinction	NOM	extinction
du	PRP:det	du
foyer	NOM	foyer
.	SENT	.
la	DET:ART	le
cause	NOM	cause
du	PRP:det	du
sinistre	NOM	sinistre
semble	VER:pres	sembler
être	VER:infi	être
un	DET:ART	un
court-circuit	NOM	court-circuit
.	SENT	.
les	DET:ART	le
policiers	NOM	policier
ont	VER:pres	avoir
procédé	VER:pper	procéder
aux	PRP:det	au
constatations	NOM	constatation
d'	PRP	de
usage	NOM	usage
.	SENT	.
