cette	PRO:DEM	ce
photo	NOM	photo
de	PRP	de
classe	NOM	classe
prise	VER:pper	prendre
en	PRP	en
1960	NUM	@card@
-	PUN	-
1961	NUM	@card@
au	PRP:det	au
groupe	NOM	groupe
scolaire	ADJ	scolaire
de	PRP	de
banvoie	NOM	banvoie
ravivera	VER:futu	raviver
bien	ADV	bien
des	PRP:det	du
souvenirs	NOM	souvenir
.	SENT	.
première	NUM	premier
rangée	NOM	rangée
en	PRP	en
bas	NOM	bas
de	PRP	de
gauche	NOM	gauche
à	PRP	à
droite	NOM	droit|droite
:	PUN	:
andrée	ADJ	andrée
mahu	NOM	mahu
,	PUN	,
ghislainbe	ADJ	ghislainbe
yung	NOM	yung
,	PUN	,
jeanine	NOM	jeanine
francin	ADJ	francin
,	PUN	,
francine	NOM	francine
dasle	NOM	dasle
,	PUN	,
claudine	ADJ	claudine
labroche	NOM	labroche
,	PUN	,
nicole	ADJ	nicole
broccard	NOM	broccard
,	PUN	,
brigitte	VER:pres	brigitte
dallé	VER:pper	daller
.	SENT	.
deuxième	NUM	deuxième
rangée	NOM	rangée
:	PUN	:
lucie	NOM	lucie
marceau	NOM	marceau
,	PUN	,
maryse	NOM	maryse
bigaut	NOM	bigaut
,	PUN	,
agnés	VER:pper	agnés
pierron	NOM	pierron
,	PUN	,
martine	VER:pres	martiner
granger	NOM	granger
,	PUN	,
danièle	ADJ	danièle
flonner	NOM	flonner
.	SENT	.
troisième	NUM	troisième
rangée	NOM	rangée
:	PUN	:
evelyne	NOM	evelyne
figel	ADJ	figel
,	PUN	,
anne	VER:simp	anne
marie	VER:pres	marier
lambert	NOM	lambert
,	PUN	,
michèle	NOM	michèle
jacques	NOM	jacque|jacques
,	PUN	,
jocelyne	ADJ	jocelyne
béraut	NOM	béraut
,	PUN	,
jacqueline	NOM	jacqueline
goninet	ADJ	goninet
,	PUN	,
michèle	NOM	michèle
mampey	ADJ	mampey
,	PUN	,
monique	ADJ	monique
ruer	VER:infi	ruer
,	PUN	,
bernadette	NOM	bernadette
perrot	ADJ	perrot
,	PUN	,
l'	DET:ART	le
institutrice	NOM	instituteur
marie	VER:pres	marier
lepage	NOM	lepage
.	SENT	.
quatrième	NUM	quatrième
rangée	NOM	rangée
:	PUN	:
noëlle	VER:simp	noëlle
maix	VER:pper	maix
,	PUN	,
joëlle	VER:simp	joëlle
gaudin	NOM	gaudin
,	PUN	,
roberte	NOM	roberte
muckensturm	NOM	muckensturm
,	PUN	,
michèle	NOM	michèle
oger	ADJ	oger
,	PUN	,
evelyne	NOM	evelyne
juy	ADJ	juy
,	PUN	,
jacqueline	NOM	jacqueline
morèle	NOM	morèle
,	PUN	,
colette	NOM	colette
fenot	NOM	fenot
,	PUN	,
chantal	NOM	chantal
petit	ADJ	petit
.	SENT	.
contact	NOM	contact
auprès	ADV	auprès
de	PRP	de
m.	NOM	monsieur
charbonnier	ADJ	charbonnier
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
47.01	NUM	@card@
.	SENT	.
39	NUM	@card@
