chaque	PRO:IND	chaque
année	NOM	année
,	PUN	,
le	DET:ART	le
centre	NOM	centre
de	PRP	de
secours	NOM	secours
de	PRP	de
bouligny	NAM	bouligny
fête	VER:pres	fêter
sa	DET:POS	son
sainte-barbe	NOM	sainte-barbe
par	PRP	par
une	DET:ART	un
réception	NOM	réception
suivie	VER:pper	suivre
du	PRP:det	du
repas	NOM	repas
,	PUN	,
elle	PRO:PER	elle
a	VER:pres	avoir
eu	VER:pper	avoir
lieu	NOM	lieu
à	PRP	à
la	DET:ART	le
salle	NOM	salle
germinal	ADJ	germinal
de	PRP	de
bouligny	NAM	bouligny
.	SENT	.
après	PRP	après
avoir	VER:infi	avoir
formulé	VER:pper	formuler
ses	DET:POS	son
v	NOM	v
	ADJ	
ux	ADJ	ux
,	PUN	,
l'	DET:ART	le
adjudant-chef	NOM	adjudant-chef
andré	ADJ	andré
gilson	NOM	gilson
,	PUN	,
commandant	VER:ppre	commander
le	DET:ART	le
centre	NOM	centre
de	PRP	de
secours	NOM	secours
de	PRP	de
bouligny	NAM	bouligny
,	PUN	,
a	VER:pres	avoir
dressé	VER:pper	dresser
le	DET:ART	le
bilan	NOM	bilan
des	PRP:det	du
interventions	NOM	intervention
(	PUN	(
246	NUM	@card@
en	PRP	en
tout	ADV	tout
)	PUN	)
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
cette	PRO:DEM	ce
année	NOM	année
2002	NUM	@card@
:	PUN	:
-	PUN	-
118	NUM	@card@
assistances	NOM	assistance
à	PRP	à
personnes	NOM	personne
à	PRP	à
domicile	NOM	domicile
,	PUN	,
14	NUM	@card@
assistances	NOM	assistance
à	PRP	à
personnes	NOM	personne
en	PRP	en
lieu	NOM	lieu
public	ADJ	public
,	PUN	,
12	NUM	@card@
assistances	NOM	assistance
à	PRP	à
personnes	NOM	personne
sur	PRP	sur
la	DET:ART	le
voie	NOM	voie
publique	ADJ	publique
,	PUN	,
32	NUM	@card@
feux	NOM	feu
,	PUN	,
19	NUM	@card@
accidents	NOM	accident
de	PRP	de
la	DET:ART	le
circulation	NOM	circulation
,	PUN	,
1	NUM	@card@
pollution	NOM	pollution
,	PUN	,
et	KON	et
50	NUM	@card@
interventions	NOM	intervention
diverses	ADJ	divers
(	PUN	(
inondations	NOM	inondation
,	PUN	,
captures	NOM	capture
d'	PRP	de
animaux	NOM	animal
,	PUN	,
nids	NOM	nid
de	PRP	de
guêpes	NOM	guêpe
,	PUN	,
matériaux	NOM	matériau|matériaux
menaçant	VER:ppre	menacer
de	PRP	de
tomber	VER:infi	tomber
)...	VER:pper	)...
il	PRO:PER	il
a	VER:pres	avoir
ensuite	ADV	ensuite
procédé	VER:pper	procéder
à	PRP	à
la	DET:ART	le
remise	NOM	remise
des	PRP:det	du
diplômes	NOM	diplôme
et	KON	et
des	PRP:det	du
nominations	NOM	nomination
comme	ADV	comme
suit	VER:pres	suivre
:	PUN	:
attestation	NOM	attestation
formation	NOM	formation
aux	PRP:det	au
premiers	NUM	premier
secours	NOM	secours
,	PUN	,
sapeur	NOM	sapeur
marion	NOM	marion
chateau	NOM	chateau
;	PUN	;
certificat	NOM	certificat
formation	NOM	formation
premiers	NUM	premier
secours	NOM	secours
en	PRP	en
équipe	NOM	équipe
,	PUN	,
sapeur	NOM	sapeur
mohamed	NOM	mohamed
larbi	NOM	larbi
;	PUN	;
attestation	NOM	attestation
recyclage	NOM	recyclage
quiquennal	NOM	quiquennal
,	PUN	,
adjudant-chef	NOM	adjudant-chef
andré	ADJ	andré
gilson	NOM	gilson
;	PUN	;
caporaux-chefs	NOM	caporaux-chefs
lionel	NOM	lionel
domange	NOM	domange
,	PUN	,
patrice	NOM	patrice
vicario	ADJ	vicario
,	PUN	,
guy	ADJ	guy
lauvergne	NOM	lauvergne
,	PUN	,
patrice	NOM	patrice
garnier	ADJ	garnier
;	PUN	;
caporaux	NOM	caporal
david	NOM	david
debowski	NOM	debowski
,	PUN	,
cédric	NOM	cédric
panato	ADJ	panato
;	PUN	;
sapeur	NOM	sapeur
1	NUM	@card@
è	NOM	è
re	VER:subi	re
classe	NOM	classe
ludovic	NOM	ludovic
mietton	ADJ	mietton
;	PUN	;
sapeurs	NOM	sapeur
2	NUM	@card@
è	NOM	è
me	PRO:PER	me
classe	NOM	classe
sabrina	VER:simp	sabrina
mietton	NOM	mietton
,	PUN	,
régis	VER:pper	régir
gillot	NOM	gillot
,	PUN	,
laurent	VER:pres	laurer
dieu	NOM	dieu
,	PUN	,
nadjim	NOM	nadjim
anki	ADJ	anki
.	SENT	.
attestation	NOM	attestation
stage	NOM	stage
binôme	ADJ	binôme
,	PUN	,
caporal-chef	NOM	caporal-chef
patrice	NOM	patrice
garnier	ADJ	garnier
;	PUN	;
sapeurs	NOM	sapeur
stéphane	ADJ	stéphane
blandin	NOM	blandin
,	PUN	,
mohamed	NOM	mohamed
larbi	NOM	larbi
,	PUN	,
nicolas	VER:simp	nicolas
andrez	ADJ	andrez
,	PUN	,
medhi	NOM	medhi
sédiri	NOM	sédiri
,	PUN	,
grégory	ADJ	grégory
legrand	NOM	legrand
,	PUN	,
jessica	NOM	jessica
bazard	NOM	bazard
,	PUN	,
valérie	NOM	valérie
bravetti	NOM	bravetti
.	SENT	.
attestation	NOM	attestation
stage	NOM	stage
appareil	NOM	appareil
respiratoire	ADJ	respiratoire
isolant	VER:ppre	isoler
,	PUN	,
sapeurs	NOM	sapeur
stéphane	ADJ	stéphane
blandin	NOM	blandin
,	PUN	,
mohamed	NOM	mohamed
larbi	NOM	larbi
,	PUN	,
nicolas	VER:simp	nicolas
andrez	ADJ	andrez
,	PUN	,
medhi	NOM	medhi
sédiri	NOM	sédiri
,	PUN	,
grégory	ADJ	grégory
legrand	NOM	legrand
,	PUN	,
jessica	NOM	jessica
bazard	NOM	bazard
,	PUN	,
valérie	NOM	valérie
bravetti	NOM	bravetti
.	SENT	.
stage	NOM	stage
lot	NOM	lot
de	PRP	de
sauvetage	NOM	sauvetage
et	KON	et
protection	NOM	protection
contre	PRP	contre
les	DET:ART	le
chutes	NOM	chute
,	PUN	,
caporal-chef	NOM	caporal-chef
patrice	NOM	patrice
garnier	ADJ	garnier
,	PUN	,
sapeur	NOM	sapeur
david	NOM	david
letrillard	ADJ	letrillard
.	SENT	.
formation	NOM	formation
initiale	ADJ	initial
1	NUM	@card@
e	NOM	e
r	VER:subi	r
cycle	NOM	cycle
,	PUN	,
sapeurs	NOM	sapeur
stéphane	ADJ	stéphane
blandin	NOM	blandin
,	PUN	,
mohamed	NOM	mohamed
larbi	NOM	larbi
,	PUN	,
nicolas	VER:simp	nicolas
andrez	ADJ	andrez
.	SENT	.
formation	NOM	formation
incendie	NOM	incendie
(	PUN	(
va	VER:pres	aller
et	KON	et
vb	NOM	vb
),	ADJ	),
sapeurs	NOM	sapeur
stéphane	ADJ	stéphane
blandin	NOM	blandin
,	PUN	,
mohamed	NOM	mohamed
larbi	NOM	larbi
,	PUN	,
nicolas	VER:simp	nicolas
andrez	ADJ	andrez
,	PUN	,
medhi	NOM	medhi
sédiri	NOM	sédiri
,	PUN	,
grégory	ADJ	grégory
legrand	NOM	legrand
,	PUN	,
jessica	NOM	jessica
bazard	NOM	bazard
,	PUN	,
valérie	NOM	valérie
bravetti	NOM	bravetti
.	SENT	.
culture	NOM	culture
administrative	ADJ	administratif
et	KON	et
gestion	NOM	gestion
opérationnelle	ADJ	opérationnel
de	PRP	de
commandement	NOM	commandement
,	PUN	,
sapeurs	NOM	sapeur
stéphane	ADJ	stéphane
blandin	NOM	blandin
,	PUN	,
mohamed	NOM	mohamed
larbi	NOM	larbi
,	PUN	,
nicolas	VER:simp	nicolas
andrez	ADJ	andrez
,	PUN	,
david	NOM	david
letrillard	ADJ	letrillard
.	SENT	.
opérations	NOM	opération
diverses	ADJ	divers
,	PUN	,
sapeurs	NOM	sapeur
stéphane	ADJ	stéphane
blandin	NOM	blandin
,	PUN	,
mohamed	NOM	mohamed
larbi	NOM	larbi
,	PUN	,
nicolas	VER:simp	nicolas
andrez	ADJ	andrez
.	SENT	.
relations	NOM	relation
publiques	ADJ	publique
,	PUN	,
adjudant-chef	NOM	adjudant-chef
andré	ADJ	andré
gilson	NOM	gilson
,	PUN	,
sapeur	NOM	sapeur
david	NOM	david
letrillard	ADJ	letrillard
.	SENT	.
secours	NOM	secours
à	PRP	à
personnes	NOM	personne
,	PUN	,
sapeur	NOM	sapeur
1	NUM	@card@
è	NOM	è
re	VER:subi	re
classe	NOM	classe
ludovic	NOM	ludovic
mietton	ADJ	mietton
;	PUN	;
sapeurs	NOM	sapeur
régis	VER:pper	régir
gillot	NOM	gillot
,	PUN	,
david	NOM	david
letrillard	ADJ	letrillard
.	SENT	.
technique	NOM	technique
opérationnelle	ADJ	opérationnel
,	PUN	,
sapeur	NOM	sapeur
1	NUM	@card@
è	NOM	è
re	VER:subi	re
classe	NOM	classe
ludovic	NOM	ludovic
mietton	ADJ	mietton
,	PUN	,
sapeur	NOM	sapeur
régis	VER:pper	régir
gillot	NOM	gillot
.	SENT	.
stage	NOM	stage
management	NOM	management
,	PUN	,
caporaux-chefs	NOM	caporaux-chefs
lionel	NOM	lionel
domange	NOM	domange
,	PUN	,
guy	ADJ	guy
lauvergne	NOM	lauvergne
;	PUN	;
caporaux	NOM	caporal
cédric	NOM	cédric
panato	ADJ	panato
,	PUN	,
david	NOM	david
debowski	NOM	debowski
,	PUN	,
frédéric	ADJ	frédéric
bourgadel	NOM	bourgadel
;	PUN	;
sapeur	NOM	sapeur
1	NUM	@card@
è	NOM	è
re	VER:subi	re
classe	NOM	classe
ludovic	NOM	ludovic
mietton	ADJ	mietton
.	SENT	.
stage	NOM	stage
