c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
ancienne	NOM	ancien
mortuacienne	ADJ	mortuacienne
bien	ADV	bien
connue	VER:pper	connaître
qui	PRO:REL	qui
vient	VER:pres	venir
de	PRP	de
décéder	VER:infi	décéder
à	PRP	à
l'	DET:ART	le
âge	NOM	âge
de	PRP	de
82	NUM	@card@
ans	NOM	an
.	SENT	.
charlotte	NOM	charlotte
guinand	NOM	guinand
n'	ADV	ne
avait	VER:impf	avoir
qu'	ADV	qu'
une	DET:ART	un
s	ADJ	s
	NOM	
ur	ADJ	ur
,	PUN	,
georgette	NOM	georgette
,	PUN	,
mariée	VER:pper	marier
avec	PRP	avec
michel	NOM	michel
cuenot	ADJ	cuenot
.	SENT	.
en	PRP	en
1940	NUM	@card@
elle	PRO:PER	elle
se	PRO:PER	se
maria	VER:simp	marier
avec	PRP	avec
marcel	ADJ	marcel
franchon	NOM	franchon
.	SENT	.
le	DET:ART	le
couple	NOM	couple
eut	VER:simp	avoir
trois	NUM	trois
enfants	NOM	enfant
,	PUN	,
dont	PRO:REL	dont
deuxs	NOM	deuxs
sont	VER:pres	être
,	PUN	,
hélas	VER:simp	héler
,	PUN	,
décédés	VER:pper	décéder
:	PUN	:
daniel	ADJ	daniel
,	PUN	,
à	PRP	à
l'	DET:ART	le
âge	NOM	âge
de	PRP	de
4	NUM	@card@
ans	NOM	an
et	KON	et
michelle	NOM	michelle
,	PUN	,
en	PRP	en
1993	NUM	@card@
à	PRP	à
l'	DET:ART	le
âge	NOM	âge
de	PRP	de
48	NUM	@card@
ans	NOM	an
.	SENT	.
jean-claude	NOM	jean-claude
venait	VER:impf	venir
quotidiennement	ADV	quotidiennement
voir	VER:infi	voir
sa	DET:POS	son
maman	NOM	maman
au	PRP:det	au
home	NOM	home
médicalisé	VER:pper	médicaliser
du	PRP:det	du
locle	NOM	locle
où	PRO:REL	où
elle	PRO:PER	elle
s'	PRO:PER	se
est	VER:pres	être
éteinte	VER:pper	éteindre
après	PRP	après
huit	NUM	huit
années	NOM	année
comme	ADV	comme
résidante	ADJ	résidant
.	SENT	.
charlotte	NOM	charlotte
habita	VER:simp	habiter
d'	PRP	de
abord	NOM	abord
le	DET:ART	le
bas	NOM	bas
de	PRP	de
ville	NOM	ville
,	PUN	,
avant	PRP	avant
de	PRP	de
venir	VER:infi	venir
s'	PRO:PER	se
installer	VER:infi	installer
au	PRP:det	au
trépied	NOM	trépied
,	PUN	,
dans	PRP	dans
l'	DET:ART	le
immeuble	ADJ	immeuble
mercier	NOM	mercier
.	SENT	.
elle	PRO:PER	elle
occupa	VER:simp	occuper
plusieurs	PRO:IND	plusieurs
emplois	NOM	emploi
en	PRP	en
france	NOM	france
,	PUN	,
principalement	ADV	principalement
à	PRP	à
la	DET:ART	le
chocolaterie	NOM	chocolaterie
klaus	NOM	klaus
,	PUN	,
puis	ADV	puis
en	PRP	en
suisse	NOM	suisse
,	PUN	,
dans	PRP	dans
divers	ADJ	divers
établissements	NOM	établissement
,	PUN	,
avant	PRP	avant
de	PRP	de
prendre	VER:infi	prendre
sa	DET:POS	son
retraite	NOM	retraite
.	SENT	.
elle	PRO:PER	elle
perdit	VER:simp	perdre
son	DET:POS	son
époux	NOM	époux
marcel	ADJ	marcel
en	PRP	en
1992	NUM	@card@
ses	DET:POS	son
jours	NOM	jour
s'	PRO:PER	se
écoulaient	VER:impf	écouler
avec	PRP	avec
la	DET:ART	le
présence	NOM	présence
de	PRP	de
ses	DET:POS	son
petits-enfants	NOM	petits-enfants
et	KON	et
arrière-petits-enfants	NOM	arrière-petits-enfants
qui	PRO:REL	qui
étaient	VER:impf	être
pour	PRP	pour
elle	PRO:PER	elle
un	DET:ART	un
véritable	ADJ	véritable
réconfort	NOM	réconfort
.	SENT	.
ses	DET:POS	son
obsèques	NOM	obsèques
ont	VER:pres	avoir
été	VER:pper	être
célébrées	VER:pper	célébrer
à	PRP	à
la	DET:ART	le
chaux-de-fonds	NOM	chaux-de-fonds
et	KON	et
ses	DET:POS	son
cendres	NOM	cendre
seront	VER:futu	être
ramenées	VER:pper	ramener
prochainement	ADV	prochainement
à	PRP	à
morteau	NOM	morteau
.	SENT	.
a	VER:pres	avoir
tous	PRO:IND	tout
les	DET:ART	le
siens	PRO:POS	sien
,	PUN	,
notre	DET:POS	notre
journal	NOM	journal
présente	VER:pres	présenter
ses	DET:POS	son
condoléances	NOM	condoléance
.	SENT	.
