hier	ADV	hier
,	PUN	,
aux	PRP:det	au
environs	NOM	environ|environs
de	PRP	de
10	NUM	@card@
h	ABR	heure
45	NUM	@card@
un	DET:ART	un
accident	NOM	accident
de	PRP	de
la	DET:ART	le
circulation	NOM	circulation
a	VER:pres	avoir
eu	VER:pper	avoir
lieu	NOM	lieu
sur	PRP	sur
le	DET:ART	le
territoire	NOM	territoire
d'	PRP	de
aulnois	NOM	aulnois
.	SENT	.
omar	NOM	omar
benslimane	ADJ	benslimane
de	PRP	de
sausheim	NOM	sausheim
(	PUN	(
68	NUM	@card@
),	NOM	),
circulait	VER:impf	circuler
sur	PRP	sur
la	DET:ART	le
rd	NOM	rd
164	NUM	@card@
en	PRP	en
direction	NOM	direction
de	PRP	de
neufchâteau	NOM	neufchâteau
lorsque	KON	lorsque
les	DET:ART	le
conditions	NOM	condition
météorologiques	ADJ	météorologique
ont	VER:pres	avoir
commencé	VER:pper	commencer
à	PRP	à
se	PRO:PER	se
dégrader	VER:infi	dégrader
.	SENT	.
arrivé	VER:pper	arriver
dans	PRP	dans
le	DET:ART	le
dernier	ADJ	dernier
virage	NOM	virage
avant	PRP	avant
l'	DET:ART	le
entrée	NOM	entrée
de	PRP	de
la	DET:ART	le
commune	NOM	commune
d'	PRP	de
aulnois	NOM	aulnois
et	KON	et
pour	PRP	pour
une	DET:ART	un
raison	NOM	raison
indéterminée	ADJ	indéterminé
,	PUN	,
le	DET:ART	le
chauffeur	NOM	chauffeur
a	VER:pres	avoir
perdu	VER:pper	perdre
le	DET:ART	le
contrôle	NOM	contrôle
de	PRP	de
son	DET:POS	son
véhicule	NOM	véhicule
qui	PRO:REL	qui
s'	PRO:PER	se
est	VER:pres	être
retrouvé	VER:pper	retrouver
dans	PRP	dans
le	DET:ART	le
fossé	NOM	fossé
opposé	VER:pper	opposer
à	PRP	à
son	DET:POS	son
sens	NOM	sen|sens
de	PRP	de
circulation	NOM	circulation
.	SENT	.
m.	ABR	m.
benslimane	NOM	benslimane
est	VER:pres	être
parvenu	VER:pper	parvenir
à	PRP	à
sortir	VER:infi	sortir
seul	ADJ	seul
de	PRP	de
sa	DET:POS	son
voiture	NOM	voiture
et	KON	et
les	DET:ART	le
pompiers	NOM	pompier
du	PRP:det	du
centre	NOM	centre
de	PRP	de
châtenois-gironcourt	NOM	châtenois-gironcourt
l'	PRO:PER	la|le
ont	VER:pres	avoir
transporté	VER:pper	transporter
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
de	PRP	de
neufchâteau	NOM	neufchâteau
pour	PRP	pour
contrôle	NOM	contrôle
.	SENT	.
la	DET:ART	le
brigade	NOM	brigade
territoriale	ADJ	territorial
de	PRP	de
bulgnéville	NOM	bulgnéville
assurait	VER:impf	assurer
la	DET:ART	le
sécurité	NOM	sécurité
routière	ADJ	routier
jusqu'à	NOM	jusqu'à
la	DET:ART	le
fin	NOM	fin
d'	PRP	de
évacuation	NOM	évacuation
du	PRP:det	du
véhicule	NOM	véhicule
par	PRP	par
le	DET:ART	le
dépanneur	NOM	dépanneur
.	SENT	.
