ce	PRO:DEM	ce
soir-là	NOM	soir-là
,	PUN	,
michel	NOM	michel
henry	NOM	henry
,	PUN	,
directeur	NOM	directeur
du	PRP:det	du
crédit	NOM	crédit
mutuel	ADJ	mutuel
,	PUN	,
remettait	VER:impf	remettre
à	PRP	à
orphée	NOM	orphée
danaux	NOM	danaux
,	PUN	,
président	NOM	président
de	PRP	de
l'	DET:ART	le
apel	NOM	apel
de	PRP	de
l'	DET:ART	le
école	NOM	école
sainte-marie	NOM	sainte-marie
,	PUN	,
un	DET:ART	un
ordinateur	NOM	ordinateur
,	PUN	,
dans	PRP	dans
les	DET:ART	le
locaux	NOM	local
mêmes	ADJ	même
de	PRP	de
l'	DET:ART	le
école	NOM	école
.	SENT	.
l'	DET:ART	le
occasion	NOM	occasion
pour	PRP	pour
la	DET:ART	le
banque	NOM	banque
de	PRP	de
conforter	VER:infi	conforter
son	DET:POS	son
image	NOM	image
de	PRP	de
première	NUM	premier
banque	NOM	banque
des	PRP:det	du
associations	NOM	association
en	PRP	en
france	NOM	france
et	KON	et
pour	PRP	pour
l'	DET:ART	le
apel	NOM	apel
de	PRP	de
s'	PRO:PER	se
initier	VER:infi	initier
aux	PRP:det	au
b.a	NOM	b.a
.	SENT	.
-	PUN	-
ba	VER:pper	ba
de	PRP	de
l'	DET:ART	le
informatique	NOM	informatique
et	KON	et
d'	PRP	de
internet	NOM	Internet
.	SENT	.
la	DET:ART	le
cérémonie	NOM	cérémonie
s'	PRO:PER	se
est	VER:pres	être
clôturée	VER:pper	clôturer
par	PRP	par
le	DET:ART	le
pot	NOM	pot
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
.	SENT	.
