m.	ABR	m.
marc	NOM	marc
lanquetin	NOM	lanquetin
47	NUM	@card@
rue	NOM	rue
henri-baigue	ADJ	henri-baigue
25000	NUM	@card@
besançon	NOM	besançon
.	SENT	.
de	PRP	de
nombreuses	ADJ	nombreux
entreprises	NOM	entreprise
parfaitement	ADV	parfaitement
compétitives	ADJ	compétitif
en	PRP	en
quota	NOM	quota
horaire	ADJ	horaire
de	PRP	de
pièces	NOM	pièce
produites	VER:pper	produire
par	PRP	par
rapport	NOM	rapport
aux	PRP:det	au
pays	NOM	pays
en	PRP	en
voie	NOM	voie
de	PRP	de
développement	NOM	développement
sont	VER:pres	être
sacrifiées	VER:pper	sacrifier
du	PRP:det	du
fait	NOM	fait
des	PRP:det	du
coûts	NOM	coût
sociaux	ADJ	social
et	KON	et
fiscaux	ADJ	fiscal
trop	ADV	trop
élevés	VER:pper	élever
en	PRP	en
france	NOM	france
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
important	ADJ	important
d'	PRP	de
avoir	VER:infi	avoir
à	PRP	à
l'	DET:ART	le
esprit	NOM	esprit
que	KON	que
les	DET:ART	le
coûts	NOM	coût
sont	VER:pres	être
imposés	VER:pper	imposer
par	PRP	par
le	DET:ART	le
parlement	NOM	parlement
à	PRP	à
travers	NOM	travers
la	DET:ART	le
législation	NOM	législation
sociale	ADJ	social
et	KON	et
fiscale	ADJ	fiscal
qu'	PRO:REL	que
il	PRO:PER	il
vote	VER:pres	voter
.	SENT	.
de	PRP	de
ce	PRO:DEM	ce
fait	NOM	fait
,	PUN	,
ces	PRO:DEM	ce
coûts	NOM	coût
doivent	VER:pres	devoir
pouvoir	VER:infi	pouvoir
être	VER:infi	être
répercutés	VER:pper	répercuter
intégralement	ADV	intégralement
par	PRP	par
les	DET:ART	le
entreprises	NOM	entreprise
sans	PRP	sans
que	KON	que
cela	PRO:DEM	cela
soit	VER:subp	être
préjudiciable	ADJ	préjudiciable
à	PRP	à
leur	DET:POS	leur
viabilité	NOM	viabilité
.	SENT	.
ceci	PRO:DEM	ceci
passe	VER:pres	passer
par	PRP	par
le	DET:ART	le
protectionnisme	NOM	protectionnisme
où	PRO:REL	où
l'	DET:ART	le
etat	NOM	etat
doit	VER:pres	devoir
pouvoir	VER:infi	pouvoir
répercuter	VER:infi	répercuter
intégralement	ADV	intégralement
les	DET:ART	le
coûts	NOM	coût
fiscaux	ADJ	fiscal
et	KON	et
sociaux	ADJ	social
français	ADJ	français
sur	PRP	sur
les	DET:ART	le
produits	NOM	produit
importés	VER:pper	importer
.	SENT	.
on	PRO:PER	on
remarquera	VER:futu	remarquer
que	KON	que
les	DET:ART	le
etats-unis	NOM	etats-unis
,	PUN	,
chantre	NOM	chantre
du	PRP:det	du
libéralisme	NOM	libéralisme
,	PUN	,
ont	VER:pres	avoir
imposé	VER:pper	imposer
la	DET:ART	le
taxe	NOM	taxe
sur	PRP	sur
les	DET:ART	le
aciers	NOM	acier
pour	PRP	pour
sauver	VER:infi	sauver
leur	DET:POS	leur
sidérurgie	NOM	sidérurgie
.	SENT	.
on	PRO:PER	on
signalera	VER:futu	signaler
d'	PRP	de
autre	ADJ	autre
part	NOM	part
que	KON	que
les	DET:ART	le
retraites	NOM	retraite
posent	VER:pres	poser
un	DET:ART	un
problème	NOM	problème
du	PRP:det	du
fait	NOM	fait
de	PRP	de
l'	DET:ART	le
accroissement	NOM	accroissement
des	PRP:det	du
coûts	NOM	coût
que	PRO:REL	que
l'	DET:ART	le
on	PRO:PER	on
ne	ADV	ne
peut	VER:pres	pouvoir
pas	ADV	pas
répercuter	VER:infi	répercuter
du	PRP:det	du
fait	NOM	fait
du	PRP:det	du
libéralisme	NOM	libéralisme
alors	ADV	alors
que	KON	que
les	DET:ART	le
entreprises	NOM	entreprise
industrielles	ADJ	industriel
et	KON	et
agroalimentaires	ADJ	agroalimentaire
ont	VER:pres	avoir
fait	VER:pper	faire
de	PRP	de
tels	PRO:DEM	tel
progrès	NOM	progrès
que	PRO:REL	que
l'	DET:ART	le
on	PRO:PER	on
peut	VER:pres	pouvoir
produire	VER:infi	produire
plus	ADV	plus
avec	PRP	avec
moins	ADV	moins
de	PRP	de
personnes	NOM	personne
,	PUN	,
l'	DET:ART	le
important	ADJ	important
étant	VER:ppre	être
la	DET:ART	le
quantité	NOM	quantité
de	PRP	de
produits	NOM	produit
manufacturés	VER:pper	manufacturer
réalisée	VER:pper	réaliser
et	KON	et
non	ADV	non
leur	DET:POS	leur
coût	NOM	coût
.	SENT	.
de	PRP	de
ce	PRO:DEM	ce
fait	NOM	fait
,	PUN	,
si	KON	si
l'	PRO:PER	la|le
on	PRO:PER	on
ne	ADV	ne
veut	VER:pres	vouloir
pas	ADV	pas
aller	VER:infi	aller
à	PRP	à
la	DET:ART	le
faillite	NOM	faillite
du	PRP:det	du
système	NOM	système
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
nécessaire	ADJ	nécessaire
de	PRP	de
comparer	VER:infi	comparer
la	DET:ART	le
compétitivité	NOM	compétitivité
des	PRP:det	du
entreprises	NOM	entreprise
en	PRP	en
nombre	NOM	nombre
de	PRP	de
produits	NOM	produit
manufacturés	VER:pper	manufacturer
produits	VER:pper	produire
par	PRP	par
heure	NOM	heure
et	KON	et
non	ADV	non
en	PRP	en
coût	NOM	coût
qui	PRO:REL	qui
n'	ADV	ne
est	VER:pres	être
que	KON	que
le	DET:ART	le
reflet	NOM	reflet
des	PRP:det	du
taxes	NOM	taxe
.	SENT	.
on	PRO:PER	on
est	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
nous	PRO:PER	nous
imposer	VER:infi	imposer
une	DET:ART	un
régression	NOM	régression
sociale	ADJ	social
au	PRP:det	au
niveau	NOM	niveau
des	PRP:det	du
retraites	NOM	retraite
et	KON	et
de	PRP	de
la	DET:ART	le
sécurité	NOM	sécurité
sociale	ADJ	social
alors	ADV	alors
que	KON	que
du	PRP:det	du
fait	NOM	fait
des	PRP:det	du
gains	NOM	gain
de	PRP	de
productivité	NOM	productivité
on	PRO:PER	on
produit	VER:pres	produire
plus	ADV	plus
avec	PRP	avec
moins	ADV	moins
de	PRP	de
personnes	NOM	personne
,	PUN	,
tout	ADV	tout
cela	PRO:DEM	cela
parce	KON	parce
que	KON	que
du	PRP:det	du
fait	NOM	fait
du	PRP:det	du
libéralisme	NOM	libéralisme
,	PUN	,
on	PRO:PER	on
ne	ADV	ne
peut	VER:pres	pouvoir
pas	ADV	pas
répercuter	VER:infi	répercuter
les	DET:ART	le
surcoûts	NOM	surcoût
.	SENT	.
