l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
yolande	ADJ	yolande
prud'homme	NOM	prud'homme
,	PUN	,
12	NUM	@card@
rue	NOM	rue
du	PRP:det	du
clos-gérard	NOM	clos-gérard
,	PUN	,
tél	ABR	téléphone
.	SENT	.
/	PUN	/
fax	NOM	fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
70.65	NUM	@card@
.	SENT	.
57	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
becker	NOM	becker
à	PRP	à
seuil	NOM	seuil
d'	PRP	de
argonne	NOM	argonne
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
70.74	NUM	@card@
.	SENT	.
08	NUM	@card@
offices	NOM	office
religieux	ADJ	religieux
:	PUN	:
à	PRP	à
9	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
longchamps-sur-aire	NOM	longchamps-sur-aire
et	KON	et
11	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
louppy-sur-chée	NOM	louppy-sur-chée
et	KON	et
triaucourt	NOM	triaucourt
.	SENT	.
