m.	ABR	m.
albert	NOM	albert
lhosmot	NOM	lhosmot
10	NUM	@card@
rue	NOM	rue
de	PRP	de
tallans	NOM	tallans
25680	NUM	@card@
avilley	NOM	avilley
.	SENT	.
les	DET:ART	le
galettes	NOM	galette
sont	VER:pres	être
arrivées	VER:pper	arriver
(...)	NOM	(...)
nous	PRO:PER	nous
sommes	VER:pres	sommer|être
comblés	VER:pper	combler
!	SENT	!
sauf	PRP	sauf
peut-être	ADV	peut-être
raffarin	ADJ	raffarin
,	PUN	,
qui	PRO:REL	qui
,	PUN	,
dépité	VER:pper	dépiter
de	PRP	de
n'	ADV	ne
avoir	VER:infi	avoir
trouvé	VER:pper	trouver
la	DET:ART	le
fève	NOM	fève
,	PUN	,
donna	VER:simp	donner
quelques	PRO:IND	quelque
coups	NOM	coup
de	PRP	de
pieds	NOM	pied
rageurs	ADJ	rageur
sur	PRP	sur
la	DET:ART	le
plage	NOM	plage
.	SENT	.
et	KON	et
pour	PRP	pour
cause	NOM	cause
,	PUN	,
cette	PRO:DEM	ce
fève	NOM	fève
tant	ADV	tant
convoitée	VER:pper	convoiter
revint	VER:simp	revenir
à	PRP	à
notre	DET:POS	notre
«	PUN:cit	«
prestig	NOM	prestig
...	PUN	...
ieux	NOM	ieux
»	PUN:cit	»
président	NOM	président
chirac	ADJ	chirac
qui	PRO:REL	qui
nous	PRO:PER	nous
gratifia	VER:simp	gratifier
d'	PRP	de
un	DET:ART	un
discours	NOM	discours
dont	PRO:REL	dont
lui	PRO:PER	lui
seul	NOM	seul
a	VER:pres	avoir
le	DET:ART	le
secret	NOM	secret
.	SENT	.
le	DET:ART	le
voilà	ADV	voilà
déterminé	VER:pper	déterminer
à	PRP	à
lutter	VER:infi	lutter
contre	PRP	contre
les	DET:ART	le
voyous	NOM	voyou
des	PRP:det	du
mers	NOM	mer
et	KON	et
les	DET:ART	le
hommes	NOM	homme
d'	PRP	de
affaires	NOM	affaire
véreux	ADJ	véreux
.	SENT	.
quoiqu'il	NOM	quoiqu'il
en	PRO:PER	en
soit	VER:subp	être
,	PUN	,
prévenons	VER:pres	prévenir
vite	ADV	vite
g.	ADJ	g.
bush	NOM	bush
de	PRP	de
notre	DET:POS	notre
désengagement	NOM	désengagement
des	PRP:det	du
préparatifs	NOM	préparatif
de	PRP	de
guerre	NOM	guerre
en	PRP	en
irak	NOM	irak
:	PUN	:
en	PRP	en
effet	NOM	effet
,	PUN	,
nous	PRO:PER	nous
voilà	ADV	voilà
maintenant	ADV	maintenant
couverts	VER:pper	couvrir
de	PRP	de
pétrole	NOM	pétrole
et	KON	et
celui	PRO:DEM	celui
de	PRP	de
saddam	NOM	saddam
ne	ADV	ne
nous	PRO:PER	nous
intéresse	VER:pres	intéresser
plus	ADV	plus
!	SENT	!
(...)	NOM	(...)
voilà	ADV	voilà
,	PUN	,
l'	DET:ART	le
année	NOM	année
ne	ADV	ne
pouvait	VER:impf	pouvoir
mieux	ADV	mieux
commencer	VER:infi	commencer
.	SENT	.
les	DET:ART	le
«	PUN:cit	«
maîtres	NOM	maître
du	PRP:det	du
monde	NOM	monde
»	PUN:cit	»
des	PRP:det	du
mafias	NOM	mafia
politico-fiancières	ADJ	politico-fiancières
saccagent	VER:pres	saccager
impunément	ADV	impunément
la	DET:ART	le
planète	NOM	planète
,	PUN	,
dérèglent	VER:pres	dérégler
le	DET:ART	le
climat	NOM	climat
,	PUN	,
accroissent	VER:pres	accroître
la	DET:ART	le
misère	NOM	misère
et	KON	et
préparent	VER:pres	préparer
la	DET:ART	le
guerre	NOM	guerre
comme	KON	comme
dans	PRP	dans
une	DET:ART	un
fuite	NOM	fuite
en	PRP	en
avant	NOM	avant
,	PUN	,
nous	PRO:PER	nous
entraînant	VER:ppre	entraîner
dans	PRP	dans
une	DET:ART	un
spirale	NOM	spiral|spirale
incontrôlable	ADJ	incontrôlable
et	KON	et
suicidaire	ADJ	suicidaire
.	SENT	.
la	DET:ART	le
dictature	NOM	dictature
des	PRP:det	du
marchés	NOM	marché
,	PUN	,
au	PRP:det	au
service	NOM	service
des	PRP:det	du
produits	NOM	produit
financiers	ADJ	financier
,	PUN	,
règne	NOM	règne
sur	PRP	sur
une	DET:ART	un
économie	NOM	économie
mondialisée	VER:pper	mondialiser
.	SENT	.
mais	KON	mais
quand	KON	quand
allons-nous	NOM	allons-nous
nous	PRO:PER	nous
réveiller	VER:infi	réveiller
?	SENT	?
il	PRO:PER	il
serait	VER:cond	être
urgent	ADJ	urgent
que	KON	que
l'	PRO:PER	la|le
on	PRO:PER	on
ouvre	VER:pres	ouvrer|ouvrir
les	DET:ART	le
yeux	NOM	œil
sur	PRP	sur
notre	DET:POS	notre
monde	NOM	monde
.	SENT	.
«	PUN:cit	«
la	DET:ART	le
planète	NOM	planète
ne	ADV	ne
nous	PRO:PER	nous
est	VER:pres	être
pas	ADV	pas
donnée	VER:pper	donner
,	PUN	,
mais	KON	mais
nous	PRO:PER	nous
l'	PRO:PER	la|le
empruntons	VER:pres	emprunter
à	PRP	à
nos	DET:POS	notre
enfants	NOM	enfant
»	PUN:cit	»
!	SENT	!
et	KON	et
nous	PRO:PER	nous
sommes	VER:pres	sommer|être
en	PRP	en
train	NOM	train
de	PRP	de
la	PRO:PER	la
détruire	VER:infi	détruire
.	SENT	.
en	PRP	en
outre	ADV	outre
,	PUN	,
notre	DET:POS	notre
mode	NOM	mode
de	PRP	de
développement	NOM	développement
,	PUN	,
s'	PRO:PER	se
il	PRO:PER	il
créé	VER:pper	créer
des	PRP:det	du
richesses	NOM	richesse
,	PUN	,
s'	PRO:PER	se
avère	VER:pres	avérer
incapable	ADJ	incapable
de	PRP	de
les	PRO:PER	la|le
répartir	VER:infi	répartir
justement	ADV	justement
(...)	ADJ	(...)
cessons	VER:pres	cesser
d'	PRP	de
être	VER:infi	être
les	DET:ART	le
complices	NOM	complice
passifs	ADJ	passif
de	PRP	de
cette	PRO:DEM	ce
folie	NOM	folie
qui	PRO:REL	qui
mène	VER:pres	mener
le	DET:ART	le
monde	NOM	monde
.	SENT	.
dépassons	VER:pres	dépasser
nos	DET:POS	notre
petits	ADJ	petit
égoïsmes	NOM	égoïsme
!	SENT	!
interrogeons-nous	NOM	interrogeons-nous
sur	PRP	sur
notre	DET:POS	notre
façon	NOM	façon
de	PRP	de
consommer	VER:infi	consommer
,	PUN	,
de	PRP	de
produire	VER:infi	produire
(...)	ADJ	(...)
allons-nous	NOM	allons-nous
accepter	VER:infi	accepter
encore	ADV	encore
longtemps	ADV	longtemps
cette	PRO:DEM	ce
logique	NOM	logique
de	PRP	de
guerre	NOM	guerre
économique	ADJ	économique
(	PUN	(
voire	ADV	voire
militaire	ADJ	militaire
)	PUN	)
qui	PRO:REL	qui
asservit	VER:pres	asservir
les	DET:ART	le
peuples	NOM	peuple
au	PRP:det	au
profit	NOM	profit
de	PRP	de
quelques-uns	PRO:IND	quelques-uns
?	SENT	?
