«	PUN:cit	«
quand	KON	quand
on	PRO:PER	on
est	VER:pres	être
jeune	ADJ	jeune
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
dur	ADJ	dur
de	PRP	de
trouver	VER:infi	trouver
de	PRP	de
l'	DET:ART	le
argent	NOM	argent
pour	PRP	pour
pouvoir	NOM	pouvoir
s'	KON	si
acheter	VER:infi	acheter
son	DET:POS	son
paquet	NOM	paquet
de	PRP	de
cigarettes	NOM	cigarette
.	SENT	.
avec	PRP	avec
cette	PRO:DEM	ce
augmentation	NOM	augmentation
,	PUN	,
mon	DET:POS	mon
budget	NOM	budget
ne	ADV	ne
va	VER:pres	aller
pas	ADV	pas
suivre	VER:infi	suivre
.	SENT	.
j'	PRO:PER	je
envisage	VER:pres	envisager
donc	ADV	donc
d'	PRP	de
arrêter	VER:infi	arrêter
.	SENT	.
même	ADV	même
si	KON	si
cela	PRO:DEM	cela
risque	VER:pres	risquer
d'	PRP	de
être	VER:infi	être
très	ADV	très
difficile	ADJ	difficile
,	PUN	,
je	PRO:PER	je
n'	ADV	ne
ai	VER:pres	avoir
pas	ADV	pas
d'	PRP	de
autre	ADJ	autre
choix	NOM	choix
.	SENT	.
comme	KON	comme
quoi	PRO:REL	quoi
l'	DET:ART	le
etat	NOM	etat
obtient	VER:pres	obtenir
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
souhaite	VER:pres	souhaiter
.	SENT	.
a	VER:pres	avoir
moins	ADV	moins
que	KON	que
ce	PRO:DEM	ce
ne	ADV	ne
soit	KON	soit
engranger	VER:infi	engranger
toujours	ADV	toujours
plus	ADV	plus
d'	PRP	de
argent	NOM	argent
hypocritement	ADV	hypocritement
».	ADJ	».
