ce	PRO:DEM	ce
samedi	NOM	samedi
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
lycée	NOM	lycée
pasteur	NOM	pasteur
à	PRP	à
besançon	NOM	besançon
se	PRO:PER	se
tiendra	VER:futu	tenir
une	DET:ART	un
conférence	NOM	conférence
débat	VER:pres	débattre
organisée	VER:pper	organiser
par	PRP	par
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
anciens	ADJ	ancien
élèves	NOM	élève
du	PRP:det	du
lycée	NOM	lycée
pasteur	NOM	pasteur
de	PRP	de
besançon	NOM	besançon
,	PUN	,
animée	VER:pper	animer
par	PRP	par
m.	ABR	m.
delsalle	NOM	delsalle
,	PUN	,
maître	NOM	maître
de	PRP	de
conférences	NOM	conférence
à	PRP	à
l'	DET:ART	le
université	NOM	université
de	PRP	de
franche-comté	NOM	franche-comté
,	PUN	,
sur	PRP	sur
le	DET:ART	le
thème	NOM	thème
«	PUN:cit	«
les	DET:ART	le
femmes	NOM	femme
à	PRP	à
besançon	NOM	besançon
au	PRP:det	au
temps	NOM	temps
de	PRP	de
la	DET:ART	le
renaissance	NOM	renaissance
»	PUN:cit	»
dédicace	NOM	dédicace
sur	PRP	sur
place	NOM	place
.	SENT	.
