dernièrement	ADV	dernièrement
,	PUN	,
les	DET:ART	le
membres	NOM	membre
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
se	PRO:PER	se
sont	VER:pres	être
réunis	VER:pper	réunir
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
donc	ADV	donc
été	VER:pper	être
décidé	VER:pper	décider
de	PRP	de
passer	VER:infi	passer
un	DET:ART	un
marché	NOM	marché
de	PRP	de
maîtrise	NOM	maîtrise
d'	ADJ	d'
uvre	NOM	uvre
avec	PRP	avec
la	DET:ART	le
direction	NOM	direction
départementale	ADJ	départemental
de	PRP	de
l'	DET:ART	le
agriculture	NOM	agriculture
et	KON	et
de	PRP	de
la	DET:ART	le
forêt	NOM	forêt
pour	PRP	pour
les	DET:ART	le
travaux	NOM	travail
d'	PRP	de
éclairage	NOM	éclairage
public	ADJ	public
avenue	ADJ	avenu
chavane	NOM	chavane
.	SENT	.
un	DET:ART	un
autre	ADJ	autre
marché	NOM	marché
de	PRP	de
maîtrise	NOM	maîtrise
d'	ADJ	d'
uvre	NOM	uvre
est	VER:pres	être
passé	VER:pper	passer
avec	PRP	avec
l'	DET:ART	le
onf	NOM	onf
pour	PRP	pour
un	DET:ART	un
programme	NOM	programme
d'	PRP	de
aménagements	NOM	aménagement
touristiques	ADJ	touristique
en	PRP	en
forêt	NOM	forêt
de	PRP	de
bains-les-bains	NOM	bains-les-bains
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
a	VER:pres	avoir
décidé	VER:pper	décider
de	PRP	de
mettre	VER:infi	mettre
une	DET:ART	un
partie	NOM	partie
des	PRP:det	du
locaux	NOM	local
de	PRP	de
l'	DET:ART	le
espace	NOM	espace
artéria	NOM	artéria
à	PRP	à
la	DET:ART	le
disposition	NOM	disposition
du	PRP:det	du
syndicat	NOM	syndicat
intercommunal	ADJ	intercommunal
du	PRP:det	du
pays	NOM	pays
de	PRP	de
la	DET:ART	le
vôge	NOM	vôge
(	PUN	(
sipv	NOM	sipv
)	PUN	)
