l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
geneviève	NOM	geneviève
grégoire	ADJ	grégoire
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
78.14	NUM	@card@
.	SENT	.
73	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
l'	DET:ART	le
espérance	NOM	espérance
,	PUN	,
64	NUM	@card@
route	NOM	route
nationale	ADJ	national
,	PUN	,
à	PRP	à
tronville	NOM	tronville
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
78.80	NUM	@card@
.	SENT	.
50	NUM	@card@
permanences	NOM	permanence
:	PUN	:
-	PUN	-
admr	NOM	admr
:	PUN	:
permanence	NOM	permanence
de	PRP	de
8	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
2	NUM	@card@
rue	NOM	rue
du	PRP:det	du
finissage	NOM	finissage
.	SENT	.
-	PUN	-
bibliothèque	NOM	bibliothèque
:	PUN	:
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
bâtiment	NOM	bâtiment
de	PRP	de
l'	DET:ART	le
asrst	NOM	asrst
,	PUN	,
4	NUM	@card@
rue	NOM	rue
du	PRP:det	du
finissage	NOM	finissage
.	SENT	.
-	PUN	-
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
