il	PRO:PER	il
devrait	VER:cond	devoir
être	VER:infi	être
implanté	VER:pper	implanter
sur	PRP	sur
un	DET:ART	un
terrain	NOM	terrain
appartenant	VER:ppre	appartenir
à	PRP	à
la	DET:ART	le
commune	NOM	commune
,	PUN	,
en	PRP	en
bordure	NOM	bordure
du	PRP:det	du
rd	NOM	rd
952	NUM	@card@
à	PRP	à
la	DET:ART	le
sortie	NOM	sortie
de	PRP	de
pont-à-mousson	NOM	pont-à-mousson
vers	PRP	vers
pagny	NAM	pagny
,	PUN	,
situé	VER:pper	situer
au	PRP:det	au
«	PUN:cit	«
bas	ADJ	bas
lieux	NOM	lieu
»,	ADJ	»,
d'	PRP	de
une	DET:ART	un
superficie	NOM	superficie
de	PRP	de
48	NUM	@card@
ares	NOM	are
.	SENT	.
la	DET:ART	le
surface	NOM	surface
totale	ADJ	total
affectée	VER:pper	affecter
à	PRP	à
l'	DET:ART	le
opération	NOM	opération
sera	VER:futu	être
d'	PRP	de
environ	ADV	environ
250	NUM	@card@
m	NOM	m
2.	SENT	@ord@
ce	PRO:DEM	ce
centre	NOM	centre
funéraire	ADJ	funéraire
comprend	VER:pres	comprendre
un	DET:ART	un
crématorium	NOM	crématorium
à	PRP	à
un	DET:ART	un
four	NOM	four
(	PUN	(
alimenté	VER:pper	alimenter
au	PRP:det	au
fuel	NOM	fuel
),	ADJ	),
avec	PRP	avec
une	DET:ART	un
salle	NOM	salle
de	PRP	de
cérémonie	NOM	cérémonie
d'	PRP	de
une	DET:ART	un
capacité	NOM	capacité
d'	PRP	de
accueil	NOM	accueil
de	PRP	de
50	NUM	@card@
personnes	NOM	personne
assises	ADJ	assis
et	KON	et
accessible	ADJ	accessible
aux	PRP:det	au
handicapés	NOM	handicapé
.	SENT	.
le	DET:ART	le
cahier	NOM	cahier
des	PRP:det	du
charges	NOM	charge
précise	ADJ	précis
aussi	ADV	aussi
que	KON	que
le	DET:ART	le
crématorium	NOM	crématorium
devra	VER:futu	devoir
comprendre	VER:infi	comprendre
«	PUN:cit	«
un	DET:ART	un
local	NOM	local
d'	PRP	de
accueil	NOM	accueil
et	KON	et
d'	PRP	de
attente	NOM	attente
des	PRP:det	du
familles	NOM	famille
,	PUN	,
une	DET:ART	un
salle	NOM	salle
de	PRP	de
remise	NOM	remise
des	PRP:det	du
cendres	NOM	cendre
,	PUN	,
une	DET:ART	un
salle	NOM	salle
d'	PRP	de
introduction	NOM	introduction
du	PRP:det	du
cercueil	NOM	cercueil
réservée	VER:pper	réserver
à	PRP	à
la	DET:ART	le
famille	NOM	famille
proche	ADJ	proche
,	PUN	,
une	DET:ART	un
salle	NOM	salle
vidéo	ADJ	vidéo
,	PUN	,
un	DET:ART	un
four	NOM	four
crématoire	ADJ	crématoire
avec	PRP	avec
introduction	NOM	introduction
automatique	ADJ	automatique
du	PRP:det	du
cercueil	NOM	cercueil
,	PUN	,
des	PRP:det	du
sanitaires	NOM	sanitaire
pour	PRP	pour
le	DET:ART	le
public	NOM	public
avec	PRP	avec
accès	NOM	accès
pour	PRP	pour
personnes	NOM	personne
handicapées	VER:pper	handicaper
,	PUN	,
des	PRP:det	du
locaux	NOM	local
techniques	ADJ	technique
pour	PRP	pour
permettre	VER:infi	permettre
le	DET:ART	le
bon	ADJ	bon
fonctionnement	NOM	fonctionnement
,	PUN	,
une	DET:ART	un
salle	NOM	salle
de	PRP	de
recueillement	NOM	recueillement
omniculte	ADJ	omniculte
,	PUN	,
une	DET:ART	un
salle	NOM	salle
d'	PRP	de
exposition	NOM	exposition
contigue	ADJ	contigu
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
recueillement	NOM	recueillement
,	PUN	,
un	DET:ART	un
bureau	NOM	bureau
administratif	ADJ	administratif
,	PUN	,
des	PRP:det	du
locaux	NOM	local
pour	PRP	pour
le	DET:ART	le
personnel	NOM	personnel
avec	PRP	avec
vestiaires	NOM	vestiaire
et	KON	et
sanitaires	NOM	sanitaire
.	SENT	.
»	PUN:cit	»
la	DET:ART	le
salle	NOM	salle
de	PRP	de
recueillement	NOM	recueillement
devra	VER:futu	devoir
permettre	VER:infi	permettre
le	DET:ART	le
déroulement	NOM	déroulement
de	PRP	de
toutes	PRO:IND	tout
les	DET:ART	le
cérémonies	NOM	cérémonie
funéraires	ADJ	funéraire
,	PUN	,
quelles	PRO:REL	quel
que	KON	que
soient	VER:subp	être
les	DET:ART	le
opinions	NOM	opinion
religieuses	ADJ	religieux
ou	KON	ou
philosophiques	ADJ	philosophique
.	SENT	.
une	DET:ART	un
partie	NOM	partie
du	PRP:det	du
terrain	NOM	terrain
étant	VER:ppre	être
également	ADV	également
prévue	VER:pper	prévoir
pour	PRP	pour
une	DET:ART	un
possible	ADJ	possible
extension	NOM	extension
de	PRP	de
l'	DET:ART	le
établissement	NOM	établissement
.	SENT	.
