c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
semaine	NOM	semaine
exactement	ADV	exactement
après	PRP	après
avoir	VER:infi	avoir
fêté	VER:pper	fêter
son	DET:POS	son
centième	ADJ	centième
anniversaire	NOM	anniversaire
,	PUN	,
à	PRP	à
son	DET:POS	son
domicile	NOM	domicile
,	PUN	,
que	KON	que
georgette	NOM	georgette
chevillot	ADJ	chevillot
est	VER:pres	être
décédée	VER:pper	décéder
hier	ADV	hier
.	SENT	.
née	VER:pper	naître
demange	NOM	demange
,	PUN	,
à	PRP	à
mossoux	NOM	mossoux
,	PUN	,
le	DET:ART	le
2	NUM	@card@
février	NOM	février
1903	NUM	@card@
mme	NOM	madame
chevillot	ADJ	chevillot
avait	VER:impf	avoir
épousé	VER:pper	épouser
joseph	NOM	joseph
le	DET:ART	le
28	NUM	@card@
novembre	NOM	novembre
1922	NUM	@card@
au	PRP:det	au
village	NOM	village
.	SENT	.
de	PRP	de
leur	DET:POS	leur
union	NOM	union
sont	VER:pres	être
nées	VER:pper	naître
trois	NUM	trois
filles	NOM	fille
,	PUN	,
thérèse	NOM	thérèse
,	PUN	,
79	NUM	@card@
ans	NOM	an
,	PUN	,
anne-marie	NOM	anne-marie
,	PUN	,
74	NUM	@card@
ans	NOM	an
résidant	VER:ppre	résider
à	PRP	à
nossoncourt	NOM	nossoncourt
,	PUN	,
qui	PRO:REL	qui
se	PRO:PER	se
sont	VER:pres	être
occupées	VER:pper	occuper
de	PRP	de
leur	DET:POS	leur
maman	NOM	maman
avec	PRP	avec
sollicitude	NOM	sollicitude
,	PUN	,
et	KON	et
monique	ADJ	monique
,	PUN	,
décédée	VER:pper	décéder
le	DET:ART	le
11	NUM	@card@
novembre	NOM	novembre
1960	NUM	@card@
elle	PRO:PER	elle
avait	VER:impf	avoir
eu	VER:pper	avoir
la	DET:ART	le
douleur	NOM	douleur
de	PRP	de
perdre	VER:infi	perdre
son	DET:POS	son
mari	NOM	mari
et	KON	et
était	VER:impf	être
très	ADV	très
entourée	VER:pper	entourer
de	PRP	de
ses	DET:POS	son
quatre	NUM	quatre
petits-enfants	NOM	petits-enfants
et	KON	et
ses	DET:POS	son
cinq	NUM	cinq
arrière	NOM	arrière
petits-enfants	NOM	petits-enfants
.	SENT	.
elle	PRO:PER	elle
était	VER:impf	être
bisaïeule	NOM	bisaïeul
d'	PRP	de
un	DET:ART	un
arrière	ADV	arrière
arrière	ADJ	arrière
petit-fils	NOM	petit-fils
antoine	NOM	antoine
.	SENT	.
mme	ADJ	mme
chevillot	NOM	chevillot
a	VER:pres	avoir
toujours	ADV	toujours
vécu	VER:pper	vivre
dans	PRP	dans
sa	DET:POS	son
maison	NOM	maison
,	PUN	,
s'	PRO:PER	se
occupant	VER:ppre	occuper
de	PRP	de
ses	DET:POS	son
chats	NOM	chat
,	PUN	,
de	PRP	de
ses	DET:POS	son
fleurs	NOM	fleur
et	KON	et
de	PRP	de
son	DET:POS	son
petit	ADJ	petit
jardin	NOM	jardin
.	SENT	.
lors	ADV	lors
de	PRP	de
la	DET:ART	le
petite	ADJ	petit
fête	NOM	fête
,	PUN	,
qui	PRO:REL	qui
avait	VER:impf	avoir
réuni	VER:pper	réunir
toute	PRO:IND	tout
la	DET:ART	le
famille	NOM	famille
la	DET:ART	le
semaine	NOM	semaine
dernière	ADJ	dernier
,	PUN	,
rien	NOM	rien
ne	ADV	ne
laissait	VER:impf	laisser
présager	VER:infi	présager
un	DET:ART	un
départ	NOM	départ
aussi	ADV	aussi
précipité	VER:pper	précipiter
.	SENT	.
elle	PRO:PER	elle
repose	VER:pres	reposer
au	PRP:det	au
funérarium	NOM	funérarium
rivat	ADJ	rivat
faubourg	NOM	faubourg
de	PRP	de
charmes	NOM	charme
.	SENT	.
ses	DET:POS	son
obsèques	NOM	obsèques
seront	VER:futu	être
célébrées	VER:pper	célébrer
mercredi	NOM	mercredi
12	NUM	@card@
février	NOM	février
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
l'	DET:ART	le
église	NOM	église
de	PRP	de
nossoncourt	NOM	nossoncourt
.	SENT	.
nos	DET:POS	notre
sincères	ADJ	sincère
condoléances	NOM	condoléance
à	PRP	à
ses	DET:POS	son
proches	NOM	proche
.	SENT	.
