aujourd'hui	ADV	aujourd'hui
,	PUN	,
l'	DET:ART	le
école	NOM	école
élémentaire	ADJ	élémentaire
intercommunale	ADJ	intercommunal
de	PRP	de
gondrecourt-le-château	NOM	gondrecourt-le-château
organise	VER:pres	organiser
un	DET:ART	un
loto	NOM	loto
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
.	SENT	.
de	PRP	de
nombreux	ADJ	nombreux
lots	NOM	lot
sont	VER:pres	être
à	PRP	à
gagner	VER:infi	gagner
avec	PRP	avec
une	DET:ART	un
particularité	NOM	particularité
de	PRP	de
la	DET:ART	le
journée	NOM	journée
:	PUN	:
une	DET:ART	un
partie	NOM	partie
spéciale	ADJ	spécial
enfants	NOM	enfant
.	SENT	.
tarif	NOM	tarif
:	PUN	:
2	NUM	@card@
euros	NOM	euro
le	DET:ART	le
carton	NOM	carton
,	PUN	,
5	NUM	@card@
euros	NOM	euro
les	DET:ART	le
3	NUM	@card@
cartons	NOM	carton
et	KON	et
10	NUM	@card@
euros	NOM	euro
les	DET:ART	le
7	NUM	@card@
cartons	NOM	carton
.	SENT	.
buvette	NOM	buvette
et	KON	et
petite	ADJ	petit
restauration	NOM	restauration
sur	PRP	sur
place	NOM	place
.	SENT	.
