«	PUN:cit	«
on	PRO:PER	on
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
changé	VER:pper	changer
!	SENT	!
»,	ADJ	»,
telle	NOM	tel
pourrait	VER:cond	pouvoir
être	VER:infi	être
la	DET:ART	le
devise	NOM	devise
de	PRP	de
madeleine	NOM	madeleine
et	KON	et
rené	VER:pper	renaître
bouché	VER:pper	boucher
,	PUN	,
qui	PRO:REL	qui
ont	VER:pres	avoir
célébré	VER:pper	célébrer
leurs	DET:POS	leur
noces	NOM	noce
d'	PRP	de
or	NOM	or
et	KON	et
affichent	VER:pres	afficher
toujours	ADV	toujours
une	DET:ART	un
mine	NOM	mine
réjouie	VER:pper	réjouir
et	KON	et
un	DET:ART	un
regard	NOM	regard
complice	ADJ	complice
.	SENT	.
50	NUM	@card@
ans	NOM	an
après	ADV	après
!	SENT	!
rené	VER:pper	renaître
est	VER:pres	être
né	VER:pper	naître
le	DET:ART	le
28	NUM	@card@
juin	NOM	juin
1930	NUM	@card@
à	PRP	à
martigny	NAM	martigny
,	PUN	,
dans	PRP	dans
l'	DET:ART	le
aine	NOM	aine
et	KON	et
madeleine	NOM	madeleine
est	VER:pres	être
née	VER:pper	naître
le	DET:ART	le
19	NUM	@card@
juillet	NOM	juillet
1934	NUM	@card@
à	PRP	à
vireux-molhain	NOM	vireux-molhain
,	PUN	,
dans	PRP	dans
les	DET:ART	le
ardennes	NOM	ardennes
.	SENT	.
ils	PRO:PER	il
se	PRO:PER	se
sont	VER:pres	être
rencontrés	VER:pper	rencontrer
dans	PRP	dans
le	DET:ART	le
pays	NOM	pays
de	PRP	de
naissance	NOM	naissance
de	PRP	de
madeleine	NOM	madeleine
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
17	NUM	@card@
janvier	NOM	janvier
1953	NUM	@card@
que	KON	que
les	DET:ART	le
deux	NUM	deux
amoureux	NOM	amoureux
concrétisent	VER:pres	concrétiser
leur	DET:POS	leur
amour	NOM	amour
.	SENT	.
rené	VER:pper	renaître
exerçant	VER:ppre	exercer
le	DET:ART	le
métier	NOM	métier
d'	PRP	de
inspecteur	NOM	inspecteur
central	ADJ	central
des	PRP:det	du
douanes	NOM	douane
,	PUN	,
le	DET:ART	le
couple	NOM	couple
est	VER:pres	être
amené	VER:pper	amener
à	PRP	à
déménager	VER:infi	déménager
plusieurs	PRO:IND	plusieurs
fois	NOM	foi|fois
.	SENT	.
cinq	NUM	cinq
enfants	NOM	enfant
sont	VER:pres	être
nés	VER:pper	naître
,	PUN	,
madeleine	NOM	madeleine
leur	PRO:PER	lui
a	VER:pres	avoir
consacré	VER:pper	consacrer
tout	PRO:IND	tout
son	DET:POS	son
temps	NOM	temps
,	PUN	,
exerçant	VER:ppre	exercer
le	DET:ART	le
plus	ADV	plus
beau	ADJ	beau
métier	NOM	métier
du	PRP:det	du
monde	NOM	monde
,	PUN	,
celui	PRO:DEM	celui
de	PRP	de
maman	NOM	maman
au	PRP:det	au
foyer	NOM	foyer
.	SENT	.
les	DET:ART	le
époux	NOM	époux
bouché	ADJ	bouché
résident	VER:pres	résider
depuis	PRP	depuis
1990	NUM	@card@
à	PRP	à
circourt-sur-mouzon	NOM	circourt-sur-mouzon
,	PUN	,
auprès	ADV	auprès
de	PRP	de
leur	DET:POS	leur
7	NUM	@card@
petits-enfants	NOM	petits-enfants
.	SENT	.
rené	VER:pper	renaître
est	VER:pres	être
retraité	VER:pper	retraiter
depuis	PRP	depuis
avril	NOM	avril
1993	NUM	@card@
pour	PRP	pour
les	DET:ART	le
noces	NOM	noce
d'	PRP	de
or	NOM	or
,	PUN	,
leurs	DET:POS	leur
parents	NOM	parent|parents
et	KON	et
amis	NOM	ami
les	PRO:PER	la|le
ont	VER:pres	avoir
entourés	VER:pper	entourer
et	KON	et
couvert	VER:pper	couvrir
de	PRP	de
fleurs	NOM	fleur
.	SENT	.
nos	DET:POS	notre
félicitations	NOM	félicitation
.	SENT	.
