hier	ADV	hier
après-midi	NOM	après-midi
,	PUN	,
quatre	NUM	quatre
sapeurs-pompiers	NOM	sapeurs-pompiers
et	KON	et
le	DET:ART	le
médecin	NOM	médecin
capitaine	NOM	capitaine
ont	VER:pres	avoir
été	VER:pper	être
appelés	VER:pper	appeler
pour	PRP	pour
un	DET:ART	un
accident	NOM	accident
du	PRP:det	du
travail	NOM	travail
,	PUN	,
place	NOM	place
de	PRP	de
la	DET:ART	le
république	NOM	république
.	SENT	.
un	DET:ART	un
ouvrier	NOM	ouvrier
,	PUN	,
âgé	ADJ	âgé
d'	PRP	de
une	DET:ART	un
quarantaine	NOM	quarantaine
d'	PRP	de
années	NOM	année
,	PUN	,
a	VER:pres	avoir
reçu	VER:pper	recevoir
un	DET:ART	un
coup	NOM	coup
de	PRP	de
godet	NOM	godet
de	PRP	de
pelleteuse	NOM	pelleteuse
mécanique	ADJ	mécanique
au	PRP:det	au
niveau	NOM	niveau
d'	PRP	de
un	DET:ART	un
oeil	NOM	œil
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
été	VER:pper	être
pris	VER:pper	prendre
en	PRP	en
charge	NOM	charge
sur	PRP	sur
place	NOM	place
et	KON	et
emmené	VER:pper	emmener
par	PRP	par
le	DET:ART	le
vsab	NOM	vsab
au	PRP:det	au
service	NOM	service
des	PRP:det	du
urgences	NOM	urgence
de	PRP	de
l'	DET:ART	le
hôpital	NOM	hôpital
de	PRP	de
vittel	NAM	Vittel
.	SENT	.
