hier	ADV	hier
,	PUN	,
à	PRP	à
13	NUM	@card@
h	ABR	heure
50	NUM	@card@
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
du	PRP:det	du
centre	NOM	centre
de	PRP	de
secours	NOM	secours
sont	VER:pres	être
intervenus	VER:pper	intervenir
à	PRP	à
houdreville	NOM	houdreville
,	PUN	,
pour	PRP	pour
un	DET:ART	un
enfant	NOM	enfant
qui	PRO:REL	qui
a	VER:pres	avoir
fait	VER:pper	faire
une	DET:ART	un
chute	NOM	chute
et	KON	et
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
sur	PRP	sur
la	DET:ART	le
rd	NOM	rd
913	NUM	@card@
à	PRP	à
ceintrey	NOM	ceintrey
,	PUN	,
pour	PRP	pour
un	DET:ART	un
accident	NOM	accident
de	PRP	de
la	DET:ART	le
circulation	NOM	circulation
.	SENT	.
